account_id,owner_name,broker,nisa_status,phone_status,bank_status,two_factor,nisa_remaining_yen,order_authority,prebuy_gate,memo
口座1,未入力,未入力,未確認,未確認,未確認,未確認,未入力,本人操作のみ,未入力のため購入不可,本人名義スマホ・本人ログイン・本人操作・NISA口座区分を確認
口座2,未入力,未入力,未確認,未確認,未確認,未確認,未入力,本人操作のみ,未入力のため購入不可,本人名義スマホ・本人ログイン・本人操作・NISA口座区分を確認
口座3,未入力,未入力,未確認,未確認,未確認,未確認,未入力,本人操作のみ,未入力のため購入不可,本人名義スマホ・本人ログイン・本人操作・NISA口座区分を確認
口座4,未入力,未入力,未確認,未確認,未確認,未確認,未入力,本人操作のみ,未入力のため購入不可,本人名義スマホ・本人ログイン・本人操作・NISA口座区分を確認
口座5,未入力,未入力,未確認,未確認,未確認,未確認,未入力,本人操作のみ,未入力のため購入不可,本人名義スマホ・本人ログイン・本人操作・NISA口座区分を確認
口座6,未入力,未入力,未確認,未確認,未確認,未確認,未入力,本人操作のみ,未入力のため購入不可,本人名義スマホ・本人ログイン・本人操作・NISA口座区分を確認
口座7,未入力,未入力,未確認,未確認,未確認,未確認,未入力,本人操作のみ,未入力のため購入不可,本人名義スマホ・本人ログイン・本人操作・NISA口座区分を確認
口座8,未入力,未入力,未確認,未確認,未確認,未確認,未入力,本人操作のみ,未入力のため購入不可,本人名義スマホ・本人ログイン・本人操作・NISA口座区分を確認
口座9,未入力,未入力,未確認,未確認,未確認,未確認,未入力,本人操作のみ,未入力のため購入不可,本人名義スマホ・本人ログイン・本人操作・NISA口座区分を確認
口座10,未入力,未入力,未確認,未確認,未確認,未確認,未入力,本人操作のみ,未入力のため購入不可,本人名義スマホ・本人ログイン・本人操作・NISA口座区分を確認
