supplement_rank,updated_at,ticker,company,sector,theme,source_rank,universe_score_100,supplement_score,growth_quality_score,downside_safety_score,valuation_score,medium_trend_score,data_confidence,per,pbr,roe_pct,revenue_yoy_pct,profit_yoy_pct,ret1y_pct,max_drawdown60_pct,supplement_status,hard_gate,official_source_status,evidence_status,note
1,2026/05/25 18:50,8725.T,MS&AD,保険,金利上昇・保険運用,15,60,69.6,54.6,78.5,78.7,61.8,90,15.06,1.34,17.96,-15,20.6,34.3,-11.1,予備検証候補,売上減少 -15%,公式IR未接続,時流テーマ資料あり,決算後反応を未接続のため購入判断には使わず、6月テスト候補の補充枠として扱う。
2,2026/05/25 18:50,8411.T,みずほFG,銀行,金利上昇・大手銀行,7,66,67.5,60.5,64.8,69.7,72,90,13.79,1.58,11.48,0.6,34.7,88.9,-18.9,予備検証候補,なし,公式IR未接続,時流テーマ資料あり,決算後反応を未接続のため購入判断には使わず、6月テスト候補の補充枠として扱う。
3,2026/05/25 18:50,6098.T,リクルートHD,人材・IT,求人・HRテック,19,59,66,73.8,65.3,38,72.7,90,21.59,8.5,31.05,3.9,28.5,14.1,-9.9,要確認,PBR高め 8.5倍,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
4,2026/05/25 18:50,8766.T,東京海上HD,保険,金利上昇・保険運用,1,74,65.4,46.3,76.5,63.5,73.5,100,17.61,2.7,18.68,5.1,-7.6,37.7,-13,予備検証候補,なし,公式IR/PDF取得済み,時流テーマ資料あり,決算後反応を未接続のため購入判断には使わず、6月テスト候補の補充枠として扱う。
5,2026/05/25 18:50,8750.T,第一生命HD,保険,金利上昇・保険運用,13,63,62.9,48.4,55.5,79,72.7,90,11.78,1.42,11.31,14.5,4.8,58.2,-15.7,予備検証候補,なし,公式IR未接続,時流テーマ資料あり,決算後反応を未接続のため購入判断には使わず、6月テスト候補の補充枠として扱う。
6,2026/05/25 18:50,6702.T,富士通,IT,DX・AI・サービス,27,53,59.4,72.1,36.8,62.5,34.5,90,18.07,2.77,23.87,-1.3,31.4,0.8,-20.8,要確認,なし,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
7,2026/05/25 18:50,6701.T,NEC,IT・防衛,AI・官公庁・防衛,34,48,59.1,69.7,50.6,47.7,45.4,80,,2.51,13.03,4.7,40.3,14.4,-15.8,要確認,未取得: PER,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
8,2026/05/25 18:50,9434.T,ソフトバンク,通信,通信・配当,23,55,58.1,45.8,69.2,53.2,51.2,90,19.25,4.09,19.32,7.6,5.4,4.7,-4.1,予備検証候補,なし,公式IR未接続,時流テーマ資料あり,決算後反応を未接続のため購入判断には使わず、6月テスト候補の補充枠として扱う。
9,2026/05/25 18:50,2503.T,キリンHD,飲料,飲料・医薬,60,14,56.4,0,59.9,0,64,40,,,,,,33.6,-12.8,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
10,2026/05/25 18:50,9432.T,NTT,通信,守り・通信インフラ,39,40,56.3,24.9,74.6,76.3,46.5,90,12.81,1.29,10.4,5.1,3.4,1,-6.7,要確認,なし,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
