priority,ticker,name,current_status,recovery_class,can_be_normal_a_without_rule_change,main_blocker,missing_or_failed_gate,d20_excess_pct,expected_value_pct,risk_score,next_action,reason_for_client
1,8316.T,三井住友FG,通常A標準,通常A済,YES,不足なし,,4.97,14.34,58.6,注文前ゲートで当日価格、NISA区分、本人操作、配分上限だけ確認する。,財務、イベント後反応、質的根拠、期待値、リスク、過熱条件を通過済み。
2,6762.T,TDK,通常A標準,通常A済,YES,不足なし,,41.6,12.5,36.4,注文前ゲートで当日価格、NISA区分、本人操作、配分上限だけ確認する。,財務、イベント後反応、質的根拠、期待値、リスク、過熱条件を通過済み。
3,8750.T,第一生命HD,通常A標準,通常A済,YES,不足なし,,11.53,7.21,61.6,注文前ゲートで当日価格、NISA区分、本人操作、配分上限だけ確認する。,財務、イベント後反応、質的根拠、期待値、リスク、過熱条件を通過済み。
4,6971.T,京セラ,通常A標準,通常A済,YES,不足なし,,25.99,2.66,57.8,注文前ゲートで当日価格、NISA区分、本人操作、配分上限だけ確認する。,財務、イベント後反応、質的根拠、期待値、リスク、過熱条件を通過済み。
5,6954.T,ファナック,通常A標準,通常A済,YES,不足なし,,19.29,1.16,45.4,注文前ゲートで当日価格、NISA区分、本人操作、配分上限だけ確認する。,財務、イベント後反応、質的根拠、期待値、リスク、過熱条件を通過済み。
6,8411.T,みずほFG,通常A未達（イベント不足）,イベント再確認で昇格候補,PENDING,イベント反応が通常A基準にわずかに届かない,イベント反応:未達 / 信頼度:不足,1.91,8.57,50.9,6月イベント後、銀行/業種指数、次の公式開示で指数比+2%以上へ改善するか確認する。,財務・質的根拠は近いが、市場反応が基準に少し不足しているため保留。
7,6503.T,三菱電機,通常A未達（イベント不足）,日数待ち,PENDING,20営業日反応が未到達,イベント反応:未到達,0.0,10.62,56.6,20営業日が到来した日に再取得し、日経平均比+2%以上なら通常A再判定へ進める。,まだ判定に必要な日数が足りないため、見込みで通常Aにしない。
8,4502.T,武田薬品,通常A未達（財務不足）,日数待ち,PENDING,20営業日反応が未到達,財務:不足 / イベント反応:未到達 / 質的根拠:不足 / リスク:防御枠 / 期待値:防御枠 / 信頼度:不足,0.0,0.72,71.9,20営業日が到来した日に再取得し、日経平均比+2%以上なら通常A再判定へ進める。,まだ判定に必要な日数が足りないため、見込みで通常Aにしない。
9,7013.T,IHI,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 信頼度:不足,0.0,6.65,28.2,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
10,7735.T,SCREEN HD,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 信頼度:不足 / 過熱:条件付き,0.0,6.06,28.0,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
11,9984.T,ソフトバンクG,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 過熱:条件付き,0.0,4.92,17.0,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
12,6701.T,NEC,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 信頼度:不足,0.0,3.78,34.2,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
