theme_id,ticker,company,sector,layer,match_reason,capital_flow_logic,numeric_needed,qualitative_fit_reference,current_use,score_policy
AI_DATA_CENTER,5801.T,古河電工,電線/光通信,企業接続層,光ファイバー・電力線需要の連想対象,データセンター増→通信線・電力線需要,PER/PBR/ROE・受注・1年過熱確認,86,探索優先,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
AI_DATA_CENTER,5802.T,住友電工,電線/光通信,企業接続層,光通信・電力インフラ需要の連想対象,データセンター増→光ファイバー・電力網,PER/PBR/ROE・受注・利益率,84,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
AI_DATA_CENTER,6501.T,日立製作所,重電/IT,企業接続層,電力・社会インフラ・デジタル基盤の連想対象,電力網投資→重電・制御・IT,受注・セグメント利益・PER,82,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
AI_DATA_CENTER,6503.T,三菱電機,重電/FA,企業接続層,受変電・FA・データセンター設備の連想対象,電力設備需要→重電機器,受注・営業利益率・株価反応,80,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
AI_DATA_CENTER,6146.T,ディスコ,半導体装置,企業接続層,AI半導体製造投資の連想対象,AI需要→半導体製造装置,決算後反応・PER・下落耐性,78,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
AI_DATA_CENTER,8035.T,東京エレクトロン,半導体装置,企業接続層,半導体設備投資の中核候補,AI需要→装置投資,受注・PER・SOX連動,76,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
RATE_BANK,8306.T,三菱UFJ FG,銀行,企業接続層,金利上昇時の代表候補,金利上昇→利ざや改善期待,信用コスト・自己資本・日銀イベント,82,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
RATE_BANK,8316.T,三井住友FG,銀行,企業接続層,金利上昇時の代表候補,金利上昇→利ざや改善期待,信用コスト・自己資本・配当,82,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
RATE_BANK,8766.T,東京海上HD,保険,企業接続層,金利と保険料・海外事業の連想対象,金利上昇→運用収益期待,自然災害損失・PER・ROE,78,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
YEN_RESOURCE,8058.T,三菱商事,商社,企業接続層,円安・資源・還元の代表候補,資源価格・円安→利益と還元期待,資源価格感応度・自社株買い・PER,82,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
