ticker,銘柄,ゲート,入力ID,入力項目,候補値,候補値あり,取得元,参照URL,参照項目または計算式,公式確認,スコア反映,P1復帰,買付上限,注意
6503.T,三菱電機,財務ゲート,6503_per_official,PER,27.96倍,あり,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,5545 ÷ 198.31,未,禁止,0社,0円,株価が既存JSON基準。PDF値と株価基準日の目視確認後に入力候補。 スコアには反映しない。
6503.T,三菱電機,財務ゲート,6503_pbr_official,PBR,2.53倍,あり,2026年3月期 決算短信〔IFRS〕一部訂正版,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,5545 ÷ 2191.26,未,禁止,0社,0円,BPSはPDF抽出候補。株価基準日とBPSの原文確認後に入力候補。 スコアには反映しない。
6503.T,三菱電機,財務ゲート,6503_roe_official,ROE,9.67%,あり,154_trend_candidate_yahoojp_metrics.csv,https://finance.yahoo.co.jp/quote/6503.T,roe_actual_pct,未,禁止,0社,0円,Yahoo!ファイナンス日本版の既存参照値。公式IR確認前は参考値としてだけ扱う。
6503.T,三菱電機,財務ゲート,6503_operating_margin,営業利益率,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
6503.T,三菱電機,財務ゲート,6503_order_or_segment_growth,受注・事業別売上/利益の伸び,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
6503.T,三菱電機,価格ゲート,6503_price_date,株価計算日,2026-05-20,あり,150_trend_candidate_price_metrics.csv,,latest_date,未,禁止,0社,0円,Yahoo Finance chart APIの既存取得値。基準日と計算範囲を再確認するまでスコアには反映しない。
6503.T,三菱電機,価格ゲート,6503_current_price,直近株価,"5,740円",あり,150_trend_candidate_price_metrics.csv,,close,未,禁止,0社,0円,Yahoo Finance chart APIの既存取得値。基準日と計算範囲を再確認するまでスコアには反映しない。
6503.T,三菱電機,価格ゲート,6503_return_60d,60日騰落率,4.99%,あり,150_trend_candidate_price_metrics.csv,,ret60_pct,未,禁止,0社,0円,Yahoo Finance chart APIの既存取得値。基準日と計算範囲を再確認するまでスコアには反映しない。
6503.T,三菱電機,価格ゲート,6503_return_1y,1年騰落率,95.24%,あり,150_trend_candidate_price_metrics.csv,,ret1y_pct,未,禁止,0社,0円,Yahoo Finance chart APIの既存取得値。基準日と計算範囲を再確認するまでスコアには反映しない。
6503.T,三菱電機,価格ゲート,6503_cagr_5y,5年CAGR,33.3%,あり,784_integrated_recalculation_scores_20260528.csv,,5年CAGR,未,禁止,0社,0円,100社再計算ファイルから拾った既存値。公式確認済み扱いにはせず、入力候補としてだけ使う。
6503.T,三菱電機,価格ゲート,6503_cagr_10y,10年CAGR,20%,あり,784_integrated_recalculation_scores_20260528.csv,,10年CAGR,未,禁止,0社,0円,100社再計算ファイルから拾った既存値。公式確認済み扱いにはせず、入力候補としてだけ使う。
6503.T,三菱電機,価格ゲート,6503_max_drawdown_1y,1年最大下落率,-11.26%,あり,150_trend_candidate_price_metrics.csv,,max_drawdown20_pct,未,禁止,0社,0円,20日最大下落率であり、1年最大下落率ではない。参考値としてのみ表示し、正式入力には転記しない。
6503.T,三菱電機,価格ゲート,6503_sp500_gap_1y,S&P500との差,101.3%,あり,784_integrated_recalculation_scores_20260528.csv,,直近1年S&P500との差,未,禁止,0社,0円,100社再計算ファイルから拾った既存値。公式確認済み扱いにはせず、入力候補としてだけ使う。
6503.T,三菱電機,イベント後ゲート,6503_event_cpi_result,6月CPI結果,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
6503.T,三菱電機,イベント後ゲート,6503_event_boj_result,日銀会合結果,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
6503.T,三菱電機,イベント後ゲート,6503_event_fomc_result,FOMC結果,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
6503.T,三菱電機,イベント後ゲート,6503_post_event_index_reaction,イベント後指数反応,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
6503.T,三菱電機,イベント後ゲート,6503_post_event_ticker_reaction,イベント後個別株反応,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
6503.T,三菱電機,説明可能性ゲート,6503_one_line_reason,1行の残す理由,電力制御・FA・データセンター周辺需要を確認対象にする。ただし全社利益への寄与を公式資料で確認するまでP1復帰しない。,あり,入力キューから作成した説明候補,,説明候補,未,禁止,0社,0円,テーマ名だけで残さないための仮文章。公式数値と接続してから採用する。
6503.T,三菱電機,説明可能性ゲート,6503_keep_condition,残す条件,PER/PBR/ROE、営業利益率、事業別成長、6月イベント後の指数比反応がそろい、過熱・急落条件に抵触しない場合のみ残す。,あり,入力キューから作成した説明候補,,条件候補,未,禁止,0社,0円,最終判断ではなく、未確認項目を埋めるための文章候補。
6503.T,三菱電機,説明可能性ゲート,6503_drop_condition,落とす条件,6月イベント後に指数比で弱い、FA・電力関連の全社寄与が確認できない、または高値圏からの急落リスクが強い場合は落とす。,あり,入力キューから作成した説明候補,,条件候補,未,禁止,0社,0円,最終判断ではなく、未確認項目を埋めるための文章候補。
6503.T,三菱電機,説明可能性ゲート,6503_unconfirmed_items,未確認事項,公式PER/PBR/ROE、営業利益率、事業別成長、イベント後反応、銘柄別上値・下値ルール。,あり,入力キューから作成した説明候補,,未確認事項,未,禁止,0社,0円,人間が確認すべき未完了項目。
