generated_at,screening_stage,ticker,company,theme,role,source_return_pct,estimated_total_contribution,chase_risk,required_data,next_action,use_for_june
2026/05/27 11:07,追加候補A,7011.T,三菱重工業,資本財・重工・景気循環,収益けん引枠,+553.9%,3972.4,高,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,追加データを取得して、現在候補12社と同じ式へ入れる。,6月候補の追加検討枠
2026/05/27 11:07,追加候補A,7173.T,東京きらぼしFG,金利・金融,収益けん引枠,+440.3%,3209.9,高,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,追加データを取得して、現在候補12社と同じ式へ入れる。,6月候補の追加検討枠
2026/05/27 11:07,既存候補照合,8316.T,三井住友FG,金利・金融,収益けん引枠,+279.4%,1910,高,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,既存候補側の警戒条件と照合する。,6月候補の追加検討枠
2026/05/27 11:07,追加候補A,8053.T,住友商事,資本財・重工・景気循環,収益けん引枠,+214.1%,1468.1,高,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,追加データを取得して、現在候補12社と同じ式へ入れる。,6月候補の追加検討枠
2026/05/27 11:07,既存候補照合,8306.T,三菱UFJ FG,金利・金融,収益けん引枠,+160.2%,1120.7,中,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,既存候補側の警戒条件と照合する。,6月候補の追加検討枠
2026/05/27 11:07,追加候補B,6516.T,山洋電気,半導体・AI・大型成長,上昇寄与枠,+292.8%,642.8,高,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,追加データを取得して、現在候補12社と同じ式へ入れる。,6月候補の追加検討枠
2026/05/27 11:07,追加候補B,1321.T,日経225連動型ETF,指数・ETF,市場ベータの土台,+123.3%,603.8,中,指数比較用。個別株比率を下げる判断の基準に使う。,追加データを取得して、現在候補12社と同じ式へ入れる。,比較基準
2026/05/27 11:07,追加候補B,7735.T,SCREEN HD,半導体・AI・大型成長,上昇寄与枠,+109.0%,565.4,中,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,追加データを取得して、現在候補12社と同じ式へ入れる。,6月候補の追加検討枠
2026/05/27 11:07,追加候補B,1306.T,TOPIX連動型ETF,指数・ETF,市場ベータの土台,+99.8%,533.4,低〜中,指数比較用。個別株比率を下げる判断の基準に使う。,追加データを取得して、現在候補12社と同じ式へ入れる。,比較基準
2026/05/27 11:07,既存候補照合,9984.T,ソフトバンクG,半導体・AI・大型成長,上昇寄与枠,+155.0%,519.3,中,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,既存候補側の警戒条件と照合する。,6月候補の追加検討枠
2026/05/27 11:07,追加候補B,2080.T,PBR1倍割れ改善ETF,指数・ETF,市場ベータの土台,+81.9%,481.8,低〜中,指数比較用。個別株比率を下げる判断の基準に使う。,追加データを取得して、現在候補12社と同じ式へ入れる。,比較基準
2026/05/27 11:07,追加候補B,8035.T,東京エレクトロン,半導体・AI・大型成長,分散補助枠,+89.4%,447.4,低〜中,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,追加データを取得して、現在候補12社と同じ式へ入れる。,6月候補の追加検討枠
2026/05/27 11:07,追加候補B,7203.T,トヨタ自動車,資本財・重工・景気循環,分散補助枠,+35.6%,341.8,低〜中,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,追加データを取得して、現在候補12社と同じ式へ入れる。,6月候補の追加検討枠
2026/05/27 11:07,追加候補B,9983.T,ファーストリテイリング,半導体・AI・大型成長,上昇寄与枠,+269.3%,297.6,高,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,追加データを取得して、現在候補12社と同じ式へ入れる。,6月候補の追加検討枠
2026/05/27 11:07,追加候補B,4373.T,シンプレクスHD,中小型・成長,分散補助枠,+92.8%,275.1,低〜中,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,追加データを取得して、現在候補12社と同じ式へ入れる。,6月候補の追加検討枠
2026/05/27 11:07,追加候補B,3612.T,ワールド,個別テーマ,上昇寄与枠,+114.7%,273.3,中,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,追加データを取得して、現在候補12社と同じ式へ入れる。,6月候補の追加検討枠
