ticker,company,priority,next_action
6762.T,TDK,最優先確認,公式決算・PER/PBR/ROE・20営業日反応を先に補完し、6月再判定の中心に置く。
8316.T,三井住友FG,条件付き確認,テーマ接続は維持しつつ、割高感・指数劣後・下方修正の有無を確認する。
2802.T,味の素,条件付き確認,テーマ接続は維持しつつ、割高感・指数劣後・下方修正の有無を確認する。
5020.T,ENEOS HD,比較・観察,中心候補とは分け、同業比較とテーマ数字が確認できる場合のみ上げる。
6367.T,ダイキン工業,比較・観察,中心候補とは分け、同業比較とテーマ数字が確認できる場合のみ上げる。
6503.T,三菱電機,比較・観察,中心候補とは分け、同業比較とテーマ数字が確認できる場合のみ上げる。
8766.T,東京海上HD,条件付き確認,テーマ接続は維持しつつ、割高感・指数劣後・下方修正の有無を確認する。
4385.T,メルカリ,比較・観察,中心候補とは分け、同業比較とテーマ数字が確認できる場合のみ上げる。
8306.T,三菱UFJ FG,比較・観察,中心候補とは分け、同業比較とテーマ数字が確認できる場合のみ上げる。
6146.T,ディスコ,データ補完,未取得データを先に埋め、点数化できる状態になるまで購入候補扱いにしない。
