updated_at,ticker,company,sector,current_status,pre_test_role,nisa_score,data_confidence,completion_score,plus1_status,plus1_excess_pct,hard_gate,remaining_gaps,june_first_check,pass_condition,caution_condition,fail_condition,record_status
2026/05/26 11:15,4385.T,メルカリ,ネット,残す,追加確認対象,79.8,87,68,比較上は通過・ゲート保留,20.15,決算後20営業日未到達,財務指標 / 決算後20営業日反応 / 業種別補正 / イベント後リターン/因果,共通市場ゲート通過後に個別ゲートを確認,共通市場ゲート通過、データ信頼度70点以上、+1%比較で指数優位ではない、停止条件なし,決算後20営業日未到達、イベント後リターン未接続、業種補正不足、過熱・下落率の警戒が残る,共通市場ゲート停止、下方修正、会計・流動性リスク、+1%比較で指数優位が明確,6月イベント後に実績入力
2026/05/26 11:15,2802.T,味の素,食品,残す,追加確認対象,67.8,95,85,比較上は通過・ゲート保留,6.55,決算後20営業日未到達,決算後20営業日反応 / 業種別補正,共通市場ゲート通過後に個別ゲートを確認,共通市場ゲート通過、データ信頼度70点以上、+1%比較で指数優位ではない、停止条件なし,決算後20営業日未到達、イベント後リターン未接続、業種補正不足、過熱・下落率の警戒が残る,共通市場ゲート停止、下方修正、会計・流動性リスク、+1%比較で指数優位が明確,6月イベント後に実績入力
2026/05/26 11:15,8316.T,三井住友FG,銀行,残す,追加確認対象,65.1,95,85,比較上は通過・ゲート保留,19.35,決算後20営業日未到達,決算後20営業日反応 / イベント後リターン/因果,共通市場ゲート通過後に個別ゲートを確認,共通市場ゲート通過、データ信頼度70点以上、+1%比較で指数優位ではない、停止条件なし,決算後20営業日未到達、イベント後リターン未接続、業種補正不足、過熱・下落率の警戒が残る,共通市場ゲート停止、下方修正、会計・流動性リスク、+1%比較で指数優位が明確,6月イベント後に実績入力
2026/05/26 11:15,5020.T,ENEOS HD,エネルギー,残す,追加確認対象,64.3,95,80,比較上は通過・ゲート保留,40.35,決算後20営業日未到達,決算後20営業日反応 / 業種別補正 / イベント後リターン/因果,共通市場ゲート通過後に個別ゲートを確認,共通市場ゲート通過、データ信頼度70点以上、+1%比較で指数優位ではない、停止条件なし,決算後20営業日未到達、イベント後リターン未接続、業種補正不足、過熱・下落率の警戒が残る,共通市場ゲート停止、下方修正、会計・流動性リスク、+1%比較で指数優位が明確,6月イベント後に実績入力
2026/05/26 11:15,8306.T,三菱UFJ FG,銀行,残す,主確認対象,62.1,92,83,比較上は有力,6.25,なし,財務指標 / 業種別補正,共通市場ゲート通過後に個別ゲートを確認,共通市場ゲート通過、データ信頼度70点以上、+1%比較で指数優位ではない、停止条件なし,決算後20営業日未到達、イベント後リターン未接続、業種補正不足、過熱・下落率の警戒が残る,共通市場ゲート停止、下方修正、会計・流動性リスク、+1%比較で指数優位が明確,6月イベント後に実績入力
2026/05/26 11:15,6146.T,ディスコ,半導体装置,残す,追加確認対象,60.9,92,78,比較上は有力,47.15,なし,財務指標 / 業種別補正 / イベント後リターン/因果,共通市場ゲート通過後に個別ゲートを確認,共通市場ゲート通過、データ信頼度70点以上、+1%比較で指数優位ではない、停止条件なし,決算後20営業日未到達、イベント後リターン未接続、業種補正不足、過熱・下落率の警戒が残る,共通市場ゲート停止、下方修正、会計・流動性リスク、+1%比較で指数優位が明確,6月イベント後に実績入力
2026/05/26 11:15,6762.T,TDK,電子部品,残す,主確認対象,60.7,100,95,比較上は有力,55.35,なし,イベント後リターン/因果,共通市場ゲート通過後に個別ゲートを確認,共通市場ゲート通過、データ信頼度70点以上、+1%比較で指数優位ではない、停止条件なし,決算後20営業日未到達、イベント後リターン未接続、業種補正不足、過熱・下落率の警戒が残る,共通市場ゲート停止、下方修正、会計・流動性リスク、+1%比較で指数優位が明確,6月イベント後に実績入力
2026/05/26 11:15,6503.T,三菱電機,総合電機,残す,追加確認対象,55.6,95,85,比較上は通過・ゲート保留,57.65,決算後20営業日未到達,決算後20営業日反応 / イベント後リターン/因果,共通市場ゲート通過後に個別ゲートを確認,共通市場ゲート通過、データ信頼度70点以上、+1%比較で指数優位ではない、停止条件なし,決算後20営業日未到達、イベント後リターン未接続、業種補正不足、過熱・下落率の警戒が残る,共通市場ゲート停止、下方修正、会計・流動性リスク、+1%比較で指数優位が明確,6月イベント後に実績入力
2026/05/26 11:15,8766.T,東京海上HD,保険,予備,予備確認対象,65.4,100,85,指数優位・ゲートあり,-12.85,決算後反応未接続 / なし / 暫定: 20営業日未到達,決算後20営業日反応 / イベント後リターン/因果,20営業日反応と公式説明資料の要因確認を優先,共通市場ゲート通過、データ信頼度70点以上、+1%比較で指数優位ではない、停止条件なし,決算後20営業日未到達、イベント後リターン未接続、業種補正不足、過熱・下落率の警戒が残る,共通市場ゲート停止、下方修正、会計・流動性リスク、+1%比較で指数優位が明確,6月イベント後に実績入力
2026/05/26 11:15,6367.T,ダイキン工業,空調,予備,予備確認対象,52.6,100,85,指数優位・ゲートあり,-0.95,決算後反応未接続 / なし / 暫定: 20営業日未到達,決算後20営業日反応 / イベント後リターン/因果,20営業日反応と公式説明資料の要因確認を優先,共通市場ゲート通過、データ信頼度70点以上、+1%比較で指数優位ではない、停止条件なし,決算後20営業日未到達、イベント後リターン未接続、業種補正不足、過熱・下落率の警戒が残る,共通市場ゲート停止、下方修正、会計・流動性リスク、+1%比較で指数優位が明確,6月イベント後に実績入力
