口座数,ticker,銘柄,チャンネル,役割,株式内比率,元本比率,最終投入額,6/18-24初回,7/15前後追加,8/17-21追加,1年想定レンジ
1,8053.T,住友商事,総合候補,商社・資源・還元,18.8%,13.1%,315000,157500,90000,67500,7〜10%
1,8316.T,三井住友FG,総合候補,銀行・金利・還元,18.8%,13.1%,315000,157500,90000,67500,7〜11%
1,6501.T,日立製作所,データセンター・電力・冷却・電線,電力網・制御・デジタル,18.8%,13.1%,315000,157500,90000,67500,8〜12%
1,6503.T,三菱電機,総合候補,電力制御・FA・複合,6.3%,4.4%,105000,52500,30000,22500,7〜11%
1,6857.T,アドバンテスト,半導体製造装置・材料,AI半導体検査,6.3%,4.4%,105000,52500,30000,22500,10〜18%
1,8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置,6.3%,4.4%,105000,52500,30000,22500,9〜16%
1,7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・防衛,6.3%,4.4%,105000,52500,30000,22500,6〜12%
1,6762.T,TDK,フィジカルAI,電源・センサー・電子部品,6.3%,4.4%,105000,52500,30000,22500,7〜12%
1,6146.T,ディスコ,半導体製造装置・材料,切断・研削・先端PKG,6.3%,4.4%,105000,52500,30000,22500,10〜18%
1,5803.T,フジクラ,データセンター・電力・冷却・電線,光通信・電線,6.3%,4.4%,105000,52500,30000,22500,10〜20%
2,8053.T,住友商事,総合候補,商社・資源・還元,18.8%,13.1%,630000,315000,180000,135000,7〜10%
2,8316.T,三井住友FG,総合候補,銀行・金利・還元,18.8%,13.1%,630000,315000,180000,135000,7〜11%
2,6501.T,日立製作所,データセンター・電力・冷却・電線,電力網・制御・デジタル,18.8%,13.1%,630000,315000,180000,135000,8〜12%
2,6503.T,三菱電機,総合候補,電力制御・FA・複合,6.3%,4.4%,210000,105000,60000,45000,7〜11%
2,6857.T,アドバンテスト,半導体製造装置・材料,AI半導体検査,6.3%,4.4%,210000,105000,60000,45000,10〜18%
2,8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置,6.3%,4.4%,210000,105000,60000,45000,9〜16%
