updated_at,rank,ticker,company,original_role,quantitative_score,original_grade,quantitative_grade,qualitative_grade,integrated_grade,integrated_role,qualitative_driver,integration_reason,next_condition,treatment
2026/05/27 03:18,1,6762.T,TDK,主候補,80.9,S,A,A,A,6月優先確認,AIサーバー、HDD/電源周辺部材、電池・磁性材料,元評価S / 量的評価A / 質的評価A / 統合後A / 質的ゲートまたは量的評価の弱い側を上限として採用,20営業日反応が指数超過で継続し、公式数字で質的仮説を確認できれば主候補継続。,統合後の検証候補整理。投資実行判断ではない。
2026/05/27 03:18,2,8316.T,三井住友FG,主候補,80.9,S,B,B,B,条件付き確認,日銀政策、利ざや、信用コスト、株主還元,元評価S / 量的評価B / 質的評価B / 統合後B / 質的ゲートまたは量的評価の弱い側を上限として採用,公式数字、20営業日反応、指数比較の不足部分を確認してから主候補化を判断。,統合後の検証候補整理。投資実行判断ではない。
2026/05/27 03:18,3,2802.T,味の素,主候補,76.0,A,B,B,B,条件付き確認,食品値上げ耐性、ABF、ヘルスケア、原材料・為替,元評価A / 量的評価B / 質的評価B / 統合後B / 質的ゲートまたは量的評価の弱い側を上限として採用,公式数字、20営業日反応、指数比較の不足部分を確認してから主候補化を判断。,統合後の検証候補整理。投資実行判断ではない。
2026/05/27 03:18,4,5020.T,ENEOS HD,比較枠,72.2,B,C,B,C,観察・比較,原油、精製マージン、中東・海上輸送、脱炭素投資,元評価B / 量的評価C / 質的評価B / 統合後C / 質的ゲートまたは量的評価の弱い側を上限として採用,量的評価または質的確認が弱いため、補完後または比較対象に留める。,統合後の検証候補整理。投資実行判断ではない。
2026/05/27 03:18,5,6367.T,ダイキン工業,比較枠,70.3,B,C,B,C,観察・比較,データセンター冷却、地域別空調需要、中国・為替,元評価B / 量的評価C / 質的評価B / 統合後C / 質的ゲートまたは量的評価の弱い側を上限として採用,量的評価または質的確認が弱いため、補完後または比較対象に留める。,統合後の検証候補整理。投資実行判断ではない。
2026/05/27 03:18,6,6503.T,三菱電機,比較枠,70.0,B,C,B,C,観察・比較,電力・データセンター、FA、設備投資、防衛・宇宙,元評価B / 量的評価C / 質的評価B / 統合後C / 質的ゲートまたは量的評価の弱い側を上限として採用,量的評価または質的確認が弱いため、補完後または比較対象に留める。,統合後の検証候補整理。投資実行判断ではない。
2026/05/27 03:18,7,8766.T,東京海上HD,反応待ち,66.9,B,B,B,B,条件付き確認,保険料率、金利、自然災害、政策保有株売却,元評価B / 量的評価B / 質的評価B / 統合後B,公式数字、20営業日反応、指数比較の不足部分を確認してから主候補化を判断。,統合後の検証候補整理。投資実行判断ではない。
2026/05/27 03:18,8,4385.T,メルカリ,補完待ち,65.1,B,保留,C,保留,補完待ち,国内消費、FinTech、広告、規制・競争,元評価B / 量的評価保留 / 質的評価C / 統合後保留 / 質的ゲートまたは量的評価の弱い側を上限として採用,不足データを補完して再判定。,統合後の検証候補整理。投資実行判断ではない。
2026/05/27 03:18,9,8306.T,三菱UFJ FG,補完待ち,65.0,B,C,C,C,補完待ち,日銀政策、海外金利、株主還元、与信費用,元評価B / 量的評価C / 質的評価C / 統合後C / 質的ゲートまたは量的評価の弱い側を上限として採用,量的評価または質的確認が弱いため、補完後または比較対象に留める。,統合後の検証候補整理。投資実行判断ではない。
2026/05/27 03:18,10,6146.T,ディスコ,検算枠,49.0,C,C,C,C,検算枠,AI半導体、HBM、半導体設備投資、高シェア製造工程,元評価C / 量的評価C / 質的評価C / 統合後C,弱い20営業日反応の理由が説明できなければ、6月テスト候補へ戻さない。,統合後の検証候補整理。投資実行判断ではない。
