rank,ticker,name,portfolio_status,expected_value_pct,raw_expected_value_pct,ev_confidence_pct,data_completion_pct,up_probability_pct,upside_pct,down_probability_pct,downside_pct,cost_pct,formula,inputs,ev_confidence_reason,calculation_note,data_gate
1,8316.T,三井住友FG,配分対象,14.89,15.59,95.5,96.1,66.9,30.0,33.1,12.3,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 39.9 / 10年CAGR 22.7 / 直近1年 66.8 / 最大下落 -19.3,財務1.00 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度1.00,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
2,8053.T,住友商事,配分対象,14.98,15.68,95.5,96.1,66.8,31.6,33.2,15.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 41.2 / 10年CAGR 25.6 / 直近1年 99.8 / 最大下落 -18.8,財務1.00 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度1.00,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
3,6501.T,日立製作所,配分対象,10.76,11.27,95.5,96.1,63.6,27.6,36.4,16.3,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 36.5 / 10年CAGR 28.5 / 直近1年 31.9 / 最大下落 -22.8,財務1.00 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度1.00,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
4,8058.T,三菱商事,配分対象,11.91,15.63,76.2,79.2,64.5,32.6,35.5,14.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 42.5 / 10年CAGR 27.5 / 直近1年 77.3 / 最大下落 -16.8,財務0.64 / イベント0.76 / 質的0.72 / 価格1.00 / 信頼度0.90,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
5,6503.T,三菱電機,配分対象,11.06,12.67,87.3,89.0,65.9,27.2,34.1,14.3,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 33.3 / 10年CAGR 20.0 / 直近1年 128.8 / 最大下落 -16.3,財務0.78 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度0.95,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
6,6762.T,TDK,配分対象,10.63,12.17,87.3,89.0,65.3,29.6,34.7,19.4,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 34.9 / 10年CAGR 26.5 / 直近1年 146.4 / 最大下落 -28.2,財務0.78 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度0.95,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
7,8411.T,みずほFG,配分対象,8.57,12.65,67.7,71.7,63.9,28.4,36.1,14.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 38.3 / 10年CAGR 20.1 / 直近1年 82.1 / 最大下落 -24.6,財務0.64 / イベント0.55 / 質的0.55 / 価格1.00 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
8,8031.T,三井物産,配分対象,8.98,12.71,70.6,74.7,63.0,31.1,37.0,17.5,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 38.5 / 10年CAGR 27.8 / 直近1年 83.4 / 最大下落 -19.3,財務0.64 / イベント0.55 / 質的0.72 / 価格1.00 / 信頼度0.86,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
9,8750.T,第一生命HD,配分対象,6.17,9.12,67.7,71.7,63.0,22.3,37.0,12.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 27.4 / 10年CAGR 20.4 / 直近1年 55.7 / 最大下落 -15.7,財務0.64 / イベント0.55 / 質的0.55 / 価格1.00 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
10,8306.T,三菱UFJ FG,非配分,9.69,12.72,76.2,79.2,63.4,28.4,36.6,13.4,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 41.3 / 10年CAGR 23.0 / 直近1年 57.1 / 最大下落 -16.9,財務0.64 / イベント0.76 / 質的0.72 / 価格1.00 / 信頼度0.90,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
