改善対象,現状,改善した処理,買付判断への接続,未完了時の扱い,次の入力
決算後反応,10社すべて20営業日反応まで接続済み,反応値は参考指標として使い、単独で購入可にしない。反応が弱い銘柄は予定比率を上げない。,20営業日で日経平均に大きく劣後、または反応スコア40未満なら追加停止・比率縮小候補。,接続済み。ただし次回決算後も同じ形式で更新が必要。,次回決算後1日・5日・20営業日の指数比を追加入力
財務データ,確認済み 3/10、未確認または部分確認 7/10,PER/PBR/ROE・利益率・受注・セグメント寄与が未確認の銘柄は、点数を上げる材料に使わない。,partial銘柄は、イベント後に株価が良くても予定比率の引上げ禁止。公式IR確認後に再判定。,未確認値をスコアに混ぜない。画面では未確認として残す。,公式決算短信、決算説明資料、IR資料から不足項目を入力
リスク評価,最大下落・ボラティリティ・停止条件は接続済み。銘柄別の精密補正は改善中。,銘柄別売買ルール表と接続し、高リスク銘柄は初回比率の上限を低くする。,高リスク、最大下落が大きい、または短期反応が弱い場合は、追加停止・縮小候補。,共通ルールを優先し、個別補正が未完成なら買付上限を上げない。,銘柄別の過去急落率、売買代金、決算日、値幅制限確認
税制・口座,NISA・本人操作チェックはあるが、実口座準備は 0/10。保有ロットとは未連動。,口座未確認なら買付上限を0円に固定。税制レイヤーは確認補助に限定する。,本人スマホ、本人ログイン、NISA口座区分、残枠、注文票が未確認なら購入不可。,税制最適化とは表示しない。保有ロット・年間損益・NISA残枠入力後にだけ年末レビューへ接続。,本人別口座状態、NISA残枠、注文画面の口座区分、保有ロット、年間損益
S&P500/TOPIX +1%目標,資金配分スイッチは作成済み。実買付比率・撤退条件への接続を強化。,Green/Yellow/Redの3段階で個別株投入上限を固定し、劣後時の追加停止条件を明文化。,開始時点・20営業日・60営業日の指数比で、追加・半減・停止を判定。,指数比較の開始値が未入力なら、+1%達成見込みを断定しない。,購入日のS&P500、TOPIX、日経平均、為替、候補10社価格
質的テーマ,テーマゲート 6件。うち 3件は証拠不足または監視扱い。,AI、半導体、電力、フィジカルAI、量子などは、仮説・実績・公式数字・株価反応に分ける。,ニュースや連想材料は候補探索の入口。2種類以上の証拠と過去反応がない限り、購入候補スコアへ足さない。,単純加点しない。監視枠に置き、量的スクリーニングを通った場合だけ再確認。,イベント日、ニュース出所、対象セクター、関連企業、業界指標、イベント後リターン
ストップ安・急落対策,共通プロトコルは作成済み。銘柄別の値幅・流動性補正は継続。,急落時の当日買い増し禁止、翌営業日確認、追加停止、縮小、売却検討の順番を固定。,ストップ安級、出来高急増、指数同時急落、材料不明の急落は自動で追加停止扱い。,銘柄別補正が未入力なら、安全側の共通ルールを使う。,値幅制限、過去急落日、売買代金、材料別の回復日数
期待リターン,過去5年・10年CAGR、S&P差、最大下落率、反応スコアはあるが、勝率証明ではない。,期待リターンをA/B/C信頼度で表示し、利回り保証や確率的勝利として扱わない。,信頼度C、最大下落が大きい、反応が弱い銘柄は比率を抑える。,説明は『検証用仮説』に限定。確定利回りとして使わない。,購入後の実績、指数比、予測誤差、継続期待の再計算
100社母集団,条件方針 7項目あり。ただし入力版・抽出日・除外理由の固定が必要。,対象市場、最低データ、除外条件、テーマ枠の扱いを明文化し、80〜120社の再現可能な母集団に寄せる。,母集団外からの手動追加は監視枠に置き、同じゲートを通るまで購入候補にしない。,母集団の抽出条件が未記録なら、選定理由に『暫定』を残す。,抽出日、対象銘柄一覧、採用条件、除外条件、データ欠損一覧
実用画面,画面数が多く、見る順番が散らばりやすい。,最新実用入口、実用判断コックピット、今回の未完了改善ゲートを接続。,毎日見る画面では、購入可否、0円理由、次の入力、止める条件を先頭に置く。,資料画面を見なくても、実用画面だけで購入不可理由が分かるようにする。,6/18以降の実データ反映後に入口の表示を更新
