base_date,channel,channel_name,ticker,name,category,start_date,end_date,price_base,price_1y,return_1y,max_drawdown_1y,sp500_return_1y,topix_proxy_return_1y,nikkei_return_1y,excess_vs_sp500,excess_vs_topix_proxy,excess_vs_nikkei,pass_fail,fail_reason,benchmark_note,data_source,error
2023-06-01,ch1,総合,8316.T,三井住友FG,購入検討候補,2023-06-01,2024-05-31,1719.73,3201.62,86.17,-13.41,25.03,31.20,23.56,61.14,54.97,62.61,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8316.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch1,総合,8306.T,三菱UFJ FG,購入検討候補,2023-06-01,2024-05-31,874.23,1547.81,77.05,-9.82,25.03,31.20,23.56,52.02,45.85,53.48,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8306.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch1,総合,8725.T,MS&AD,購入検討候補,2023-06-01,2024-05-31,1420.07,3013.35,112.20,-8.57,25.03,31.20,23.56,87.17,81.00,88.63,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8725.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch1,総合,8411.T,みずほFG,条件付き,2023-06-01,2024-05-31,1870.64,3009.82,60.90,-12.63,25.03,31.20,23.56,35.87,29.70,37.33,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch1,総合,6503.T,三菱電機,条件付き,2023-06-01,2024-05-31,1752.93,2647.07,51.01,-19.31,25.03,31.20,23.56,25.98,19.81,27.44,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch2,半導体製造装置・材料,6857.T,アドバンテスト,条件付き,2023-06-01,2024-05-31,4428.23,5265.90,18.92,-34.18,25.03,31.20,23.56,-6.11,-12.28,-4.65,FAIL,+1%超過未達,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6857.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch2,半導体製造装置・材料,6146.T,ディスコ,条件付き,2023-06-01,2024-05-31,20025.02,60256.92,200.91,-19.82,25.03,31.20,23.56,175.88,169.71,177.34,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6146.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch2,半導体製造装置・材料,8035.T,東京エレクトロン,観察,2023-06-01,2024-05-31,18623.68,32168.77,72.73,-18.10,25.03,31.20,23.56,47.70,41.53,49.17,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8035.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch2,半導体製造装置・材料,7735.T,SCREEN HD,観察,2023-06-01,2024-05-31,3455.29,7153.20,107.02,-25.00,25.03,31.20,23.56,81.99,75.82,83.46,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/7735.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch2,半導体製造装置・材料,6920.T,レーザーテック,観察,2023-06-01,2024-05-31,21376.26,39384.21,84.24,-22.96,25.03,31.20,23.56,59.21,53.04,60.68,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6920.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
