区分,条件,行動,理由
開始前ゲート,6月CPI、日銀会合、FOMCの確認前,新規購入は確定しない。候補比較とデータ補完だけ進める。,金利、為替、指数反応で候補の優先順位が変わるため。
開始前ゲート,日経平均が直近高値から-10%以上,予定投入額を半分以下に下げ、個別株の一括投入を避ける。,市場全体の下落で個別要因より指数要因が強くなるため。
開始前ゲート,日経平均が75日線を明確に下回る,新規買いを停止し、指数回復または再判定を待つ。,1年保有前提でも、地合い悪化時の初期エントリーを避けるため。
下値共通,購入後-5%,追加購入しない。指数、同業、決算、ニュースを確認し、原因を分類する。,単なる押し目か、仮説崩れかを分けるため。
下値共通,購入後-10%,保有継続を再判定。決算悪化、下方修正、同業劣後なら減額または撤退候補。,NISA 1年保有でも、前提が崩れた損失を放置しないため。
下値共通,ストップ安、急落、出来高急増を伴う下落,その場でナンピンしない。原因確認後に翌営業日以降で判断する。,情報の非対称性が大きく、初動での追加購入が危険なため。
上値共通,購入後+10%,原則保有。日経平均、S&P500、同業比で上昇理由を確認する。,1年保有テストでは、早すぎる利確で上昇余地を捨てないため。
上値共通,購入後+20%,決算前、出来高急増、PER急上昇が重なる場合は25%利確を検討。,利益を一部固定しつつ、残りで1年保有の上昇余地を残すため。
上値共通,購入後+30%以上、または1年騰落率+150%超,過熱確認。利益成長が追いつかない場合は半分利確または新規追加停止。,価格上昇だけを実力と誤認しないため。
ベンチマーク,3か月時点で日経平均・S&P500の双方に劣後,個別株比率を下げる候補。銘柄別の仮説が生きている場合だけ保留。,目標は既存の無難な運用を少なくとも+1%上回ることだから。
ベンチマーク,6か月時点でベンチマーク+1%未満,個別株の追加を停止し、指数運用比率を上げる案を検討。,個別株を選ぶ意味が薄くなるため。
