updated_at,input_id,ticker,company,input_type,task,source_url,source_date,period_or_event_date,metric_1,metric_2,metric_3,metric_4,benchmark_or_basis,unit,field_guide,required_rule,status,score_connection,memo
2026/05/26 19:17,IN-01,6762.T,TDK,event,質的仮説に対応するイベント日と株価反応を確認,,,,,,,,,,metric_1=イベント後株価反応 / metric_2=実績評価S-A-B-C / metric_3=関連度 / metric_4=継続期間,period_or_event_date、source_url、metric_1、metric_2が必須。仮説だけなら採点へ接続しない。,未入力,未接続,
2026/05/26 19:17,IN-02,2802.T,味の素,peer,同業2社以上のPER,,,,,,,,,,metric_1=同業PER中央値 / metric_2=同業PBR中央値 / metric_3=同業ROE中央値 / metric_4=同業社数,source_url、source_date、metric_1、metric_4が必須。同業社数が少ない場合は説明補助に止める。,未入力,未接続,
2026/05/26 19:17,IN-03,2802.T,味の素,valuation,PBR,,,,,,,,,,metric_1=対象指標値 / metric_2=同業中央値 / metric_3=平均との差 / metric_4=採用可否,source_url、source_date、metric_1、benchmark_or_basisが必須。業種比較の基準も記録する。,未入力,未接続,
2026/05/26 19:17,IN-04,2802.T,味の素,valuation,ROE中央値を確認,,,,,,,,,,metric_1=対象指標値 / metric_2=同業中央値 / metric_3=平均との差 / metric_4=採用可否,source_url、source_date、metric_1、benchmark_or_basisが必須。業種比較の基準も記録する。,未入力,未接続,
2026/05/26 19:17,IN-05,2802.T,味の素,reaction,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,,,,,,,,,,metric_1=1日超過リターン / metric_2=5日超過リターン / metric_3=20日超過リターン / metric_4=反応判定,period_or_event_date、source_url、metric_1、metric_2、metric_3が必須。20日未到達なら未接続。,未入力,未接続,
2026/05/26 19:17,IN-06,8766.T,東京海上HD,reaction,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,,,,,,,,,,metric_1=1日超過リターン / metric_2=5日超過リターン / metric_3=20日超過リターン / metric_4=反応判定,period_or_event_date、source_url、metric_1、metric_2、metric_3が必須。20日未到達なら未接続。,未入力,未接続,
2026/05/26 19:17,IN-07,8766.T,東京海上HD,event,質的仮説に対応するイベント日と株価反応を確認,,,,,,,,,,metric_1=イベント後株価反応 / metric_2=実績評価S-A-B-C / metric_3=関連度 / metric_4=継続期間,period_or_event_date、source_url、metric_1、metric_2が必須。仮説だけなら採点へ接続しない。,未入力,未接続,
2026/05/26 19:17,IN-08,8316.T,三井住友FG,reaction,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,,,,,,,,,,metric_1=1日超過リターン / metric_2=5日超過リターン / metric_3=20日超過リターン / metric_4=反応判定,period_or_event_date、source_url、metric_1、metric_2、metric_3が必須。20日未到達なら未接続。,未入力,未接続,
2026/05/26 19:17,IN-09,8316.T,三井住友FG,event,質的仮説に対応するイベント日と株価反応を確認,,,,,,,,,,metric_1=イベント後株価反応 / metric_2=実績評価S-A-B-C / metric_3=関連度 / metric_4=継続期間,period_or_event_date、source_url、metric_1、metric_2が必須。仮説だけなら採点へ接続しない。,未入力,未接続,
2026/05/26 19:17,IN-10,8306.T,三菱UFJ FG,financial,PERなど不足する財務指標を公式IR、EDINET、J-Quants等で確認,,,,,,,,,,metric_1=予想PERまたは実績PER / metric_2=EPS基準 / metric_3=PBR / metric_4=ROE,source_url、source_date、metric_1が必須。出典不明なら採点へ接続しない。,未入力,未接続,
2026/05/26 19:17,IN-11,8306.T,三菱UFJ FG,peer,同業2社以上のPER,,,,,,,,,,metric_1=同業PER中央値 / metric_2=同業PBR中央値 / metric_3=同業ROE中央値 / metric_4=同業社数,source_url、source_date、metric_1、metric_4が必須。同業社数が少ない場合は説明補助に止める。,未入力,未接続,
2026/05/26 19:17,IN-12,8306.T,三菱UFJ FG,valuation,PBR,,,,,,,,,,metric_1=対象指標値 / metric_2=同業中央値 / metric_3=平均との差 / metric_4=採用可否,source_url、source_date、metric_1、benchmark_or_basisが必須。業種比較の基準も記録する。,未入力,未接続,
2026/05/26 19:17,IN-13,8306.T,三菱UFJ FG,valuation,ROE中央値を確認,,,,,,,,,,metric_1=対象指標値 / metric_2=同業中央値 / metric_3=平均との差 / metric_4=採用可否,source_url、source_date、metric_1、benchmark_or_basisが必須。業種比較の基準も記録する。,未入力,未接続,
2026/05/26 19:17,IN-14,6367.T,ダイキン工業,reaction,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,,,,,,,,,,metric_1=1日超過リターン / metric_2=5日超過リターン / metric_3=20日超過リターン / metric_4=反応判定,period_or_event_date、source_url、metric_1、metric_2、metric_3が必須。20日未到達なら未接続。,未入力,未接続,
2026/05/26 19:17,IN-15,6367.T,ダイキン工業,event,質的仮説に対応するイベント日と株価反応を確認,,,,,,,,,,metric_1=イベント後株価反応 / metric_2=実績評価S-A-B-C / metric_3=関連度 / metric_4=継続期間,period_or_event_date、source_url、metric_1、metric_2が必須。仮説だけなら採点へ接続しない。,未入力,未接続,
2026/05/26 19:17,IN-16,6503.T,三菱電機,reaction,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,,,,,,,,,,metric_1=1日超過リターン / metric_2=5日超過リターン / metric_3=20日超過リターン / metric_4=反応判定,period_or_event_date、source_url、metric_1、metric_2、metric_3が必須。20日未到達なら未接続。,未入力,未接続,
2026/05/26 19:17,IN-17,6503.T,三菱電機,event,質的仮説に対応するイベント日と株価反応を確認,,,,,,,,,,metric_1=イベント後株価反応 / metric_2=実績評価S-A-B-C / metric_3=関連度 / metric_4=継続期間,period_or_event_date、source_url、metric_1、metric_2が必須。仮説だけなら採点へ接続しない。,未入力,未接続,
2026/05/26 19:17,IN-18,5020.T,ENEOS HD,peer,同業2社以上のPER,,,,,,,,,,metric_1=同業PER中央値 / metric_2=同業PBR中央値 / metric_3=同業ROE中央値 / metric_4=同業社数,source_url、source_date、metric_1、metric_4が必須。同業社数が少ない場合は説明補助に止める。,未入力,未接続,
2026/05/26 19:17,IN-19,5020.T,ENEOS HD,valuation,PBR,,,,,,,,,,metric_1=対象指標値 / metric_2=同業中央値 / metric_3=平均との差 / metric_4=採用可否,source_url、source_date、metric_1、benchmark_or_basisが必須。業種比較の基準も記録する。,未入力,未接続,
2026/05/26 19:17,IN-20,5020.T,ENEOS HD,valuation,ROE中央値を確認,,,,,,,,,,metric_1=対象指標値 / metric_2=同業中央値 / metric_3=平均との差 / metric_4=採用可否,source_url、source_date、metric_1、benchmark_or_basisが必須。業種比較の基準も記録する。,未入力,未接続,
2026/05/26 19:17,IN-21,5020.T,ENEOS HD,reaction,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,,,,,,,,,,metric_1=1日超過リターン / metric_2=5日超過リターン / metric_3=20日超過リターン / metric_4=反応判定,period_or_event_date、source_url、metric_1、metric_2、metric_3が必須。20日未到達なら未接続。,未入力,未接続,
2026/05/26 19:17,IN-22,5020.T,ENEOS HD,event,質的仮説に対応するイベント日と株価反応を確認,,,,,,,,,,metric_1=イベント後株価反応 / metric_2=実績評価S-A-B-C / metric_3=関連度 / metric_4=継続期間,period_or_event_date、source_url、metric_1、metric_2が必須。仮説だけなら採点へ接続しない。,未入力,未接続,
