axis,layer,item,weight,score_method,grade_s,grade_a,grade_b,grade_c,guardrail
質的,仮説データ層,因果経路の明確さ,25,出来事→需要/供給→売上/利益→株価の経路を0-100点化,80点以上,70-79点,60-69点,60点未満,因果経路が説明できない材料はC
質的,仮説データ層,対象企業への感応度,25,その会社の売上/利益にどれだけ関係するかを0-100点化,80点以上,70-79点,60-69点,60点未満,企業別KPIに落ちないテーマはB上限
質的,仮説データ層,継続期間,20,数日材料か数か月/数年材料かを0-100点化,12か月以上,6-12か月,1-6か月,1か月未満,短期ニュースは購入候補ではなく監視
質的,仮説データ層,逆方向リスク,15,材料が外れた場合の下落・失望リスクを逆数で点数化,低い,やや低い,普通,高い,下振れが大きい場合はS禁止
質的,仮説データ層,情報源信頼度,15,公式・一次情報・報道・SNSの信頼度を0-100点化,公式/一次情報,大手報道,複数報道確認待ち,SNS/未確認,未確認情報はC
質的,実績データ層,過去イベント後の超過リターン,35,類似イベント後1日/5日/20日/60日の対指数超過リターンを評価,+5%pt以上,+2-5%pt,0-2%pt,マイナス,事例数3未満はB上限
質的,実績データ層,イベント指標との相関,25,原油/BTC/金利/為替/業界統計などと株価の相関を評価,|相関|0.5以上,0.3-0.5,0.15-0.3,0.15未満,相関だけで因果扱いしない
質的,実績データ層,業績KPIへの接続,25,販売数・受注・単価・原価・稼働率などへ接続できるかを評価,公式KPIで確認済み,代替統計で確認,確認途中,接続不可,業績KPIに接続不可ならS禁止
質的,実績データ層,再現性/事例数,15,同じ条件で複数回確認できるかを評価,10例以上,5-9例,3-4例,3例未満,事例が少ない場合は探索扱い
量的,企業・財務データ層,成長性,25,売上成長率・利益成長率・EPS成長率を評価,80点以上,70-79点,60-69点,60点未満,未取得なら加点しない
量的,企業・財務データ層,収益性,20,ROE・営業利益率・FCFを評価,80点以上,70-79点,60-69点,60点未満,業種差を補正する
量的,企業・財務データ層,割高/割安,20,PER・PBR・EV/EBITDA等を業種別に評価,80点以上,70-79点,60-69点,60点未満,極端なPER/PBRはハードゲート
量的,企業・財務データ層,財務安全性,15,自己資本比率・負債・営業CFを評価,80点以上,70-79点,60-69点,60点未満,財務不安は購入候補にしない
量的,企業・財務データ層,株主還元,10,配当・増配・自社株買いを評価,80点以上,70-79点,60-69点,60点未満,NISA長期保有では補助項目
量的,企業・財務データ層,データ信頼度,10,取得元・未取得数・公式確認状況を評価,90点以上,80-89点,70-79点,70点未満,70点未満は購入候補にしない
量的,株価・反応データ層,中期トレンド,20,60日/1年騰落率・200日線乖離を評価,80点以上,70-79点,60-69点,60点未満,過熱は別途減点
量的,株価・反応データ層,決算後反応,25,決算後1日/5日/20日の対指数超過リターンを評価,80点以上,70-79点,60-69点,60点未満,20営業日未満はB上限
量的,株価・反応データ層,下落耐性,25,60日最大下落率・ボラティリティを評価,80点以上,70-79点,60-69点,60点未満,急落リスク大はハードゲート
量的,株価・反応データ層,出来高/流動性,15,出来高倍率・売買代金を評価,80点以上,70-79点,60-69点,60点未満,流動性不足は候補外
量的,株価・反応データ層,ベンチマーク比較,15,S&P500・日経平均・TOPIXに対する超過リターンを評価,+3%pt以上,+1-3%pt,0-1%pt,マイナス,目標は指数を1%以上上回ること
