updated_at,priority,ticker,company,current_status,next_task,expected_output
2026/05/26 20:43,1,6146.T,ディスコ,1日/5日復元済み / 20営業日到達済み・再取得必要,20営業日反応の再取得,20営業日超過リターンを取得し、採点接続候補にできるか検算する。
2026/05/26 20:43,1,6367.T,ダイキン工業,未接続 / イベント日未接続,公式決算日と基準株価の接続,公式発表日、基準終値、1日/5日反応を取得する。
2026/05/26 20:43,1,8766.T,東京海上HD,未接続 / イベント日未接続,公式決算日と基準株価の接続,公式発表日、基準終値、1日/5日反応を取得する。
2026/05/26 20:43,2,6762.T,TDK,1日/5日復元済み / 20営業日未到達,復元済み1日/5日反応の出典確認,イベント日、基準株価、指数比較が説明資料に使える状態か確認する。
2026/05/26 20:43,2,8306.T,三菱UFJ FG,1日/5日復元済み / 20営業日未到達,復元済み1日/5日反応の出典確認,イベント日、基準株価、指数比較が説明資料に使える状態か確認する。
2026/05/26 20:43,3,2802.T,味の素,1日/5日接続済み / 20営業日未到達,20営業日反応の到達待ち,20営業日到達後に終値、日経平均、超過リターンを再計算する。
2026/05/26 20:43,3,4385.T,メルカリ,1日/5日接続済み / 20営業日未到達,20営業日反応の到達待ち,20営業日到達後に終値、日経平均、超過リターンを再計算する。
2026/05/26 20:43,3,5020.T,ENEOS HD,1日/5日接続済み / 20営業日未到達,20営業日反応の到達待ち,20営業日到達後に終値、日経平均、超過リターンを再計算する。
2026/05/26 20:43,3,6503.T,三菱電機,1日/5日接続済み / 20営業日未到達,20営業日反応の到達待ち,20営業日到達後に終値、日経平均、超過リターンを再計算する。
2026/05/26 20:43,3,8316.T,三井住友FG,1日/5日接続済み / 20営業日未到達,20営業日反応の到達待ち,20営業日到達後に終値、日経平均、超過リターンを再計算する。
