updated_at,ticker,company,task_no,task,expected_output,score_policy
2026/05/26 19:01,6762.T,TDK,1,質的仮説に対応するイベント日と株価反応を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,2802.T,味の素,1,同業2社以上のPER,同業中央値の成立可否,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,2802.T,味の素,2,PBR,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,2802.T,味の素,3,ROE中央値を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,2802.T,味の素,4,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,イベント後リターン判定,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,8766.T,東京海上HD,1,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,イベント後リターン判定,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,8766.T,東京海上HD,2,質的仮説に対応するイベント日と株価反応を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,8316.T,三井住友FG,1,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,イベント後リターン判定,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,8316.T,三井住友FG,2,質的仮説に対応するイベント日と株価反応を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,8306.T,三菱UFJ FG,1,PERなど不足する財務指標を公式IR、EDINET、J-Quants等で確認,不足財務指標の採用可否,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,8306.T,三菱UFJ FG,2,同業2社以上のPER,同業中央値の成立可否,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,8306.T,三菱UFJ FG,3,PBR,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,8306.T,三菱UFJ FG,4,ROE中央値を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,6367.T,ダイキン工業,1,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,イベント後リターン判定,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,6367.T,ダイキン工業,2,質的仮説に対応するイベント日と株価反応を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,6503.T,三菱電機,1,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,イベント後リターン判定,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,6503.T,三菱電機,2,質的仮説に対応するイベント日と株価反応を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,5020.T,ENEOS HD,1,同業2社以上のPER,同業中央値の成立可否,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,5020.T,ENEOS HD,2,PBR,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,5020.T,ENEOS HD,3,ROE中央値を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,5020.T,ENEOS HD,4,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,イベント後リターン判定,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,5020.T,ENEOS HD,5,質的仮説に対応するイベント日と株価反応を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,6146.T,ディスコ,1,PERなど不足する財務指標を公式IR、EDINET、J-Quants等で確認,不足財務指標の採用可否,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,6146.T,ディスコ,2,同業2社以上のPER,同業中央値の成立可否,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,6146.T,ディスコ,3,PBR,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,6146.T,ディスコ,4,ROE中央値を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,6146.T,ディスコ,5,質的仮説に対応するイベント日と株価反応を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,4385.T,メルカリ,1,PERなど不足する財務指標を公式IR、EDINET、J-Quants等で確認,不足財務指標の採用可否,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,4385.T,メルカリ,2,同業2社以上のPER,同業中央値の成立可否,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,4385.T,メルカリ,3,PBR,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,4385.T,メルカリ,4,ROE中央値を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,4385.T,メルカリ,5,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,イベント後リターン判定,確認後に採用可否を判定。未確認のまま加点しない
2026/05/26 19:01,4385.T,メルカリ,6,質的仮説に対応するイベント日と株価反応を確認,質的仮説の実績確認,確認後に採用可否を判定。未確認のまま加点しない
