分野,分野内順位,コード,銘柄,役割,扱い,実用スコア,4項目平均,信頼度,5年CAGR,10年CAGR,1年騰落,60日騰落,5年S&P差,5年最大下落,1年最大下落,PER,PBR,ROE,警戒点,判断理由
半導体製造装置・材料,1,6857.T,アドバンテスト,AI半導体テスター,条件付きテスト候補,56.7,56.7,100,61.2,57.8,237.4,-0.3,48.7,-51.4,-28.9,42,24.6,57.7,1年急騰 / ボラ高い,実用スコア56.7点、5年CAGR61.2%、10年CAGR57.8%、5年S&P差48.7%、5年最大下落-51.4%。警戒点: 1年急騰、ボラ高い。
半導体製造装置・材料,2,6146.T,ディスコ,切断・研削・先端パッケージ,条件付きテスト候補,52.7,53.6,92,44,36.4,86.1,-13.7,31.5,-65.2,-24.7,,12.3,25.2,5年下落深い,実用スコア52.7点、5年CAGR44%、10年CAGR36.4%、5年S&P差31.5%、5年最大下落-65.2%。警戒点: 5年下落深い。
半導体製造装置・材料,3,8035.T,東京エレクトロン,前工程装置,補欠,48,48.8,92,29.6,38.3,120.8,21.3,17.1,-55.8,-28.8,,10.8,29.6,5年下落深い,実用スコア48点、5年CAGR29.6%、10年CAGR38.3%、5年S&P差17.1%、5年最大下落-55.8%。警戒点: 5年下落深い。
半導体製造装置・材料,4,7735.T,SCREEN HD,洗浄装置,補欠,44.8,44.8,100,36.6,25.6,108.4,-0.7,24.1,-59.1,-23.8,18.6,4.2,20.3,5年下落深い,実用スコア44.8点、5年CAGR36.6%、10年CAGR25.6%、5年S&P差24.1%、5年最大下落-59.1%。警戒点: 5年下落深い。
半導体製造装置・材料,5,6920.T,レーザーテック,EUV検査,補欠,44.5,44.5,100,14.8,62.4,161.8,14.8,2.4,-76.6,-27.1,48,15.3,46.9,1年急騰 / 5年下落深い / ボラ高い,実用スコア44.5点、5年CAGR14.8%、10年CAGR62.4%、5年S&P差2.4%、5年最大下落-76.6%。警戒点: 1年急騰、5年下落深い、ボラ高い。
半導体製造装置・材料,6,4186.T,東京応化工業,フォトレジスト,データ補完後に再判定,54.6,60.2,53,39.6,30.5,194,12.5,27.1,-44.4,-23.5,,,,信頼度90未満 / 主要4項目未充足 / 1年急騰,実用スコア54.6点、5年CAGR39.6%、10年CAGR30.5%、5年S&P差27.1%、5年最大下落-44.4%。警戒点: 信頼度90未満、主要4項目未充足、1年急騰。
半導体製造装置・材料,7,6525.T,KOKUSAI ELECTRIC,成膜・熱処理,データ補完後に再判定,52.2,57.6,53,63.3,63.3,166.7,30.2,50.9,-69.9,-33.9,,,,信頼度90未満 / 主要4項目未充足 / 1年急騰 / 60日急騰 / 5年下落深い / 1年下落深い / ボラ高い,実用スコア52.2点、5年CAGR63.3%、10年CAGR63.3%、5年S&P差50.9%、5年最大下落-69.9%。警戒点: 信頼度90未満、主要4項目未充足、1年急騰、60日急騰、5年下落深い、1年下落深い、ボラ高い。
半導体製造装置・材料,8,4063.T,信越化学工業,ウェハ・材料,除外,32.9,35,70,17.8,22,67.9,22.1,5.3,-47.1,-14.9,,,,信頼度90未満,実用スコア32.9点、5年CAGR17.8%、10年CAGR22%、5年S&P差5.3%、5年最大下落-47.1%。警戒点: 信頼度90未満。
半導体製造装置・材料,9,3436.T,SUMCO,シリコンウェハ,除外,21.7,24,53,11.7,20.5,298.8,121,-0.7,-71.8,-33.1,,,,信頼度90未満 / 主要4項目未充足 / 1年急騰 / 60日急騰 / 5年下落深い / 1年下落深い / ボラ高い,実用スコア21.7点、5年CAGR11.7%、10年CAGR20.5%、5年S&P差-0.7%、5年最大下落-71.8%。警戒点: 信頼度90未満、主要4項目未充足、1年急騰、60日急騰、5年下落深い、1年下落深い、ボラ高い。
半導体製造装置・材料,10,4369.T,トリケミカル研究所,高純度化学品,除外,15.1,16.7,53,2.3,22.8,23,-0.5,-10.1,-62.8,-31.5,,,,信頼度90未満 / 主要4項目未充足 / 5年下落深い / 1年下落深い,実用スコア15.1点、5年CAGR2.3%、10年CAGR22.8%、5年S&P差-10.1%、5年最大下落-62.8%。警戒点: 信頼度90未満、主要4項目未充足、5年下落深い、1年下落深い。
データセンター・電力・冷却・電線,1,7011.T,三菱重工業,電力・冷却・大型インフラ,テスト候補,57.9,57.9,100,65.7,27,15,-27.2,53.2,-35.8,-27.2,34.7,4.3,12.2,,実用スコア57.9点、5年CAGR65.7%、10年CAGR27%、5年S&P差53.2%、5年最大下落-35.8%。警戒点: 重大な警戒表示なし。
データセンター・電力・冷却・電線,2,6503.T,三菱電機,電力機器・冷却・FA,テスト候補,55.7,55.7,100,33.7,20,123.1,8.9,21.3,-34,-16.3,26.1,2.8,9.7,,実用スコア55.7点、5年CAGR33.7%、10年CAGR20%、5年S&P差21.3%、5年最大下落-34%。警戒点: 重大な警戒表示なし。
データセンター・電力・冷却・電線,3,6501.T,日立製作所,送配電・電力制御,テスト候補,52.9,52.9,100,37.8,28.9,30.3,4.3,25.3,-38.7,-22.8,26.8,3.5,12.9,,実用スコア52.9点、5年CAGR37.8%、10年CAGR28.9%、5年S&P差25.3%、5年最大下落-38.7%。警戒点: 重大な警戒表示なし。
データセンター・電力・冷却・電線,4,5803.T,フジクラ,光配線・高速ケーブル,条件付きテスト候補,69.4,69.4,100,132.4,50.3,314.9,-0.3,119.9,-50.7,-45.3,48.5,13.5,32.5,1年急騰 / 1年下落深い / ボラ高い,実用スコア69.4点、5年CAGR132.4%、10年CAGR50.3%、5年S&P差119.9%、5年最大下落-50.7%。警戒点: 1年急騰、1年下落深い、ボラ高い。
データセンター・電力・冷却・電線,5,5801.T,古河電工,光ファイバー・電力線・放熱,条件付きテスト候補,68.1,68.1,100,80.6,37.2,622.5,69,68.1,-52.1,-19.5,43,8.5,19.1,1年急騰 / 60日急騰 / ボラ高い,実用スコア68.1点、5年CAGR80.6%、10年CAGR37.2%、5年S&P差68.1%、5年最大下落-52.1%。警戒点: 1年急騰、60日急騰、ボラ高い。
