順位,ticker,銘柄,業種,長期安定性点,長期順位,5年CAGR,10年CAGR,5年S&P差,5年年率変動,5年最大下落,量的点,量的順位,質的接続数,質的接続強度,質的接続,現在の扱い,判断理由,補完項目
1,8316.T,三井住友FG,銀行,83.6,1,39.9,22.7,27.5,22.2,-29.4,69,3,1,82,金利・銀行/保険(82),優先深掘り,長期安定性、既存の量的評価、質的接続が同時に確認できる。,追加確認へ
2,8766.T,東京海上HD,保険,76.2,9,37.8,23.4,25.4,21.8,-38.7,74,1,1,78,金利・銀行/保険(78),優先深掘り,長期安定性、既存の量的評価、質的接続が同時に確認できる。,追加確認へ
3,8411.T,みずほFG,銀行,79.5,4,38.3,20.1,26,23,-33.4,66,7,0,,,量的優先確認,長期安定性と既存の量的評価は強い。質的接続の根拠を追加確認する。,質的接続
4,8306.T,三菱UFJ FG,銀行,81.6,2,41.3,23,29,23.8,-31.8,,,1,82,金利・銀行/保険(82),長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応
5,8053.T,住友商事,商社,81.5,3,41.2,25.6,28.9,23.1,-35.8,,,0,,,長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
6,8002.T,丸紅,商社,79.1,5,45.2,31,32.8,28.6,-37.3,,,0,,,長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
7,8725.T,MS&AD,保険,78.5,6,36.3,20.1,23.9,20.5,-32.6,,,0,,,長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
8,8058.T,三菱商事,商社,78.2,7,42.5,27.5,30.2,29.6,-33.7,,,1,82,円安・資源・商社(82),長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応
9,7011.T,三菱重工,重工・防衛,78.1,8,65.9,27.4,53.5,36.5,-35.8,,,1,84,防衛・政策(84),長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応
10,1605.T,INPEX,エネルギー,75.8,10,43.3,19.1,30.9,30.7,-32.9,,,0,,,長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
11,8031.T,三井物産,商社,75.6,11,38.5,27.8,26.2,25,-41.7,,,1,77,円安・資源・商社(77),長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応
12,1812.T,鹿島,建設,75.1,12,35.4,18.4,23,25.2,-29,,,0,,,長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
13,6501.T,日立製作所,総合電機・IT,73.8,13,36.5,28.5,24.1,28.8,-38.7,,,2,82,AI・データセンター(82) / 防衛・政策(72),長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応
14,8001.T,伊藤忠商事,商社,72.7,14,27.2,25.4,14.8,21.1,-27.9,,,1,79,円安・資源・商社(79),長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応
15,1802.T,大林組,建設,72.4,15,34.3,15,21.9,26.9,-26.8,,,1,70,防災・インフラ更新(70),長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応
16,6701.T,NEC,IT・防衛周辺,71.6,16,34,25.2,21.6,28.9,-39.5,,,0,,,長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
17,5802.T,住友電工,電線・通信,71.4,17,52.3,26.2,40,40.3,-41.4,,,1,84,AI・データセンター(84),長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応
18,2802.T,味の素,食品,71.2,18,34.3,16.2,22,31.8,-25.6,,,1,76,価格転嫁・消費(76),長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応
19,6503.T,三菱電機,総合電機・FA,70.3,19,33.3,20,20.9,27.9,-34,,,1,80,AI・データセンター(80),長期浮上・量的補完,100社の長期計算で浮上。PER/PBR/ROE、成長率、決算後反応を補完して評価する。,PER/PBR/ROE・成長率・決算後反応
