updated_at,ticker,company,keep_condition,hold_condition,remove_condition,current_decision
2026/05/26 19:01,6762.T,TDK,6月のCPI、FOMC、日銀後の市場環境を確認 / イベント反応が弱い場合は時流根拠を外す,不足データが残る、またはイベント反応が弱い場合は保留,不足データが重大、または量的条件と質的仮説が矛盾する場合は候補から外す,購入判断ではない
2026/05/26 19:01,2802.T,味の素,6月のCPI、FOMC、日銀後の市場環境を確認 / 同業比較が成立しない場合は割安判断を保留,不足データが残る、またはイベント反応が弱い場合は保留,不足データが重大、または量的条件と質的仮説が矛盾する場合は候補から外す,購入判断ではない
2026/05/26 19:01,8766.T,東京海上HD,6月のCPI、FOMC、日銀後の市場環境を確認 / イベント反応が弱い場合は時流根拠を外す,不足データが残る、またはイベント反応が弱い場合は保留,不足データが重大、または量的条件と質的仮説が矛盾する場合は候補から外す,購入判断ではない
2026/05/26 19:01,8316.T,三井住友FG,6月のCPI、FOMC、日銀後の市場環境を確認 / イベント反応が弱い場合は時流根拠を外す,不足データが残る、またはイベント反応が弱い場合は保留,不足データが重大、または量的条件と質的仮説が矛盾する場合は候補から外す,購入判断ではない
2026/05/26 19:01,8306.T,三菱UFJ FG,6月のCPI、FOMC、日銀後の市場環境を確認 / 不足財務指標が取得できない場合は候補順位を下げる / 同業比較が成立しない場合は割安判断を保留,不足データが残る、またはイベント反応が弱い場合は保留,不足データが重大、または量的条件と質的仮説が矛盾する場合は候補から外す,購入判断ではない
2026/05/26 19:01,6367.T,ダイキン工業,6月のCPI、FOMC、日銀後の市場環境を確認 / イベント反応が弱い場合は時流根拠を外す,不足データが残る、またはイベント反応が弱い場合は保留,不足データが重大、または量的条件と質的仮説が矛盾する場合は候補から外す,購入判断ではない
2026/05/26 19:01,6503.T,三菱電機,6月のCPI、FOMC、日銀後の市場環境を確認 / イベント反応が弱い場合は時流根拠を外す,不足データが残る、またはイベント反応が弱い場合は保留,不足データが重大、または量的条件と質的仮説が矛盾する場合は候補から外す,購入判断ではない
2026/05/26 19:01,5020.T,ENEOS HD,6月のCPI、FOMC、日銀後の市場環境を確認 / 同業比較が成立しない場合は割安判断を保留 / イベント反応が弱い場合は時流根拠を外す,不足データが残る、またはイベント反応が弱い場合は保留,不足データが重大、または量的条件と質的仮説が矛盾する場合は候補から外す,購入判断ではない
2026/05/26 19:01,6146.T,ディスコ,6月のCPI、FOMC、日銀後の市場環境を確認 / 不足財務指標が取得できない場合は候補順位を下げる / 同業比較が成立しない場合は割安判断を保留 / イベント反応が弱い場合は時流根拠を外す,不足データが残る、またはイベント反応が弱い場合は保留,不足データが重大、または量的条件と質的仮説が矛盾する場合は候補から外す,購入判断ではない
2026/05/26 19:01,4385.T,メルカリ,6月のCPI、FOMC、日銀後の市場環境を確認 / 不足財務指標が取得できない場合は候補順位を下げる / 同業比較が成立しない場合は割安判断を保留 / イベント反応が弱い場合は時流根拠を外す,不足データが残る、またはイベント反応が弱い場合は保留,不足データが重大、または量的条件と質的仮説が矛盾する場合は候補から外す,購入判断ではない
