updated_at,ticker,name,role,target_weight_pct,current_branch,current_action,current_amount_yen,green_reference_yen,yellow_reference_yen,red_reference_yen,required_checks,final_action_text,stop_condition
2026/06/13 23:28,8053.T,住友商事,中心候補,18.75,未入力あり,購入しない,0,157500,67500,0,リスク・下落耐性 / NISA・税制・本人操作,待機。注文画面へ進まない。,資源価格急落、円高急進、決算で利益見通しが弱い場合は保留。
2026/06/13 23:28,8316.T,三井住友FG,中心候補,18.75,未入力あり,購入しない,0,157500,67500,0,リスク・下落耐性 / NISA・税制・本人操作,待機。注文画面へ進まない。,日銀後に銀行株全体が急落、または信用コスト懸念が強まる場合は保留。
2026/06/13 23:28,6501.T,日立製作所,中心候補,18.75,未入力あり,購入しない,0,157500,67500,0,リスク・下落耐性 / NISA・税制・本人操作,待機。注文画面へ進まない。,大型株指数が弱く、同社が指数より弱い場合は保留。
2026/06/13 23:28,6503.T,三菱電機,条件付き候補,6.25,未入力あり,購入しない,0,52500,22500,0,財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,待機。注文画面へ進まない。,FA関連や設備投資関連が弱い場合は小比率または保留。
2026/06/13 23:28,6857.T,アドバンテスト,条件付き候補,6.25,未入力あり,購入しない,0,52500,22500,0,財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,待機。注文画面へ進まない。,米金利急騰、SOX急落、株価急騰後の反落リスクが強い場合は買わない。
2026/06/13 23:28,8035.T,東京エレクトロン,条件付き候補,6.25,未入力あり,購入しない,0,52500,22500,0,財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,待機。注文画面へ進まない。,SOX/NASDAQが弱い、または高PER株売りが強い場合は保留。
2026/06/13 23:28,7011.T,三菱重工業,条件付き候補,6.25,未入力あり,購入しない,0,52500,22500,0,財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,待機。注文画面へ進まない。,短期過熱後の反落、受注材料の織り込み過多が見える場合は保留。
2026/06/13 23:28,6762.T,TDK,条件付き候補,6.25,未入力あり,購入しない,0,52500,22500,0,財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,待機。注文画面へ進まない。,電子部品株が指数より弱い、または為替悪化時は保留。
2026/06/13 23:28,6146.T,ディスコ,条件付き候補,6.25,未入力あり,購入しない,0,52500,22500,0,価格・出来高データ / 財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,待機。注文画面へ進まない。,急騰後、出来高を伴わない上昇、SOX弱化時は保留。
2026/06/13 23:28,5803.T,フジクラ,条件付き候補,6.25,未入力あり,購入しない,0,52500,22500,0,価格・出来高データ / 財務・公式決算 / リスク・下落耐性 / NISA・税制・本人操作,待機。注文画面へ進まない。,データセンター関連が反落、または短期過熱が強い場合は保留。
