種別,コード,名称,状態,件数,開始日,終了日,取得元
候補銘柄,8316.T,三井住友FG,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,2802.T,味の素,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6762.T,TDK,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8053.T,住友商事,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8306.T,三菱UFJ FG,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7173.T,東京きらぼしFG,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,9984.T,ソフトバンクG,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7735.T,SCREEN HD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6146.T,ディスコ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7011.T,三菱重工業,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
ベンチマーク,^GSPC,S&P500,取得済み,2518,2016-05-20,2026-05-27,Yahoo Finance chart API
ベンチマーク,^N225,日経平均,取得済み,2448,2016-05-20,2026-05-28,Yahoo Finance chart API
