作成時刻,入力ID,キュー種別,優先度,ticker,銘柄またはテーマ,入力項目,入力状況,不足項目,反映判定,スコア反映,注意
2026/6/16 2:55:24,HQ-01-6503.T-PER,財務入力,高,6503.T,三菱電機,PER,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映 / 株価基準日とEPS/BPSの期間を分けて記録
2026/6/16 2:55:24,HQ-02-6503.T-PBR,財務入力,高,6503.T,三菱電機,PBR,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映 / 株価基準日とEPS/BPSの期間を分けて記録
2026/6/16 2:55:24,HQ-03-6503.T-ROE,財務入力,高,6503.T,三菱電機,ROE,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映
2026/6/16 2:55:24,HQ-04-6503.T-_,財務入力,高,6503.T,三菱電機,営業利益率,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映
2026/6/16 2:55:24,HQ-05-6503.T-_,財務入力,高,6503.T,三菱電機,今期会社予想,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映
2026/6/16 2:55:24,HQ-06-6503.T-_,財務入力,高,6503.T,三菱電機,前期比増減,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映
2026/6/16 2:55:24,HQ-07-6503.T-_,財務入力,高,6503.T,三菱電機,受注またはセグメント寄与,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映 / テーマが全社業績へ効く比率を確認
2026/6/16 2:55:24,HQ-08-6762.T-PER,財務入力,高,6762.T,TDK,PER,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映 / 株価基準日とEPS/BPSの期間を分けて記録
2026/6/16 2:55:24,HQ-09-6762.T-PBR,財務入力,高,6762.T,TDK,PBR,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映 / 株価基準日とEPS/BPSの期間を分けて記録
2026/6/16 2:55:24,HQ-10-6762.T-ROE,財務入力,高,6762.T,TDK,ROE,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映
2026/6/16 2:55:24,HQ-11-6762.T-_,財務入力,高,6762.T,TDK,営業利益率,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映
2026/6/16 2:55:24,HQ-12-6762.T-_,財務入力,高,6762.T,TDK,今期会社予想,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映
2026/6/16 2:55:24,HQ-13-6762.T-_,財務入力,高,6762.T,TDK,前期比増減,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映
2026/6/16 2:55:24,HQ-14-6762.T-_,財務入力,高,6762.T,TDK,受注またはセグメント寄与,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,公式資料または計算式で確認できる財務値のみ反映 / テーマが全社業績へ効く比率を確認
2026/6/16 2:55:24,HQ-15-_-_,質的テーマ検証,高,複数,半導体製造装置・材料,仮説・実績・反証,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,仮説だけでは不可。イベント後反応または業績接続が必要 / 単独で買付候補化しない
2026/6/16 2:55:24,HQ-16-_-_,質的テーマ検証,高,複数,AIインフラ・データセンター,仮説・実績・反証,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,仮説だけでは不可。イベント後反応または業績接続が必要 / 単独で買付候補化しない
2026/6/16 2:55:24,HQ-17-_-_,質的テーマ検証,高,複数,金利・金融,仮説・実績・反証,未完了,入力値 / 資料名 / 資料日付 / URL / 確認者 / 対象期間,反映禁止,ランキング・比率・買付上限へ反映しない,仮説だけでは不可。イベント後反応または業績接続が必要 / 単独で買付候補化しない
