category,data,status,importance,source,current,next
市場データ,株価・出来高,取得済み,最重要,Yahoo Finance chart API,1年の日次データと週次相当の確認に利用可能。移動平均、騰落率、出来高変化、イベント後リターン計算に使える。,対象銘柄を増やす場合は同じ取得処理を横展開する。
市場データ,為替、米10年金利、VIX、DXY、SOX指数など,取得済み,最重要,Yahoo Finance / FRED,金利上昇、円高円安、半導体指数、リスク許容度の確認に使える。,NISA 1年保有スコアの市場環境補正に接続する。
マクロ,米CPI / PPI,取得済み,高,FRED,米インフレ再加速や金利イベント前後の確認に使える。,イベント日付と株価を結合し、発表後リターンの統計に使う。
イベント,日銀・FRBイベント日程,取得済み,最重要,日銀・FRB公式情報,6月購入判断前の定点確認日として利用可能。,カレンダー表示と購入前チェックリストに反映する。
イベント,TDnet直近イベント,取得済み,高,TDnet公開ページ,直近開示を取得し、自社株買い、上方修正、下方修正、増配などの分類を開始済み。,候補銘柄の直近イベントだけを抽出し、スコア補正に使う。
イベント,イベント後リターン,取得済み,最重要,TDnetイベント + 株価時系列,イベント日から営業日後の株価変化を計算する流れを作成済み。,イベント種別ごとの勝率、平均上昇率、平均下落率をスコアに接続する。
米国開示,SEC EDGAR直近開示,取得済み,中,SEC submissions API,米国・ADR銘柄の直近開示を取得する入口を作成済み。,S-1/F-1などIPO関連イベントの代替取得に使う。
企業IR,候補銘柄IR PDF本文抽出,取得済み（NEW）,高,企業IR PDF,候補IR PDF 5件で本文抽出の動作を確認済み。,PDFの出所URLと対象資料名を固定し、候補銘柄ごとに広げる。
企業IR,IR PDF数値候補,取得済み（NEW）,高,企業IR PDF本文,数値候補 379行、構造化候補 36行を作成済み。ただし正式値ではない。,正式入力候補に絞り、誤読しやすい数字を除外する。
企業IR,IR PDF正式入力表,取得済み（NEW）,高,企業IR PDF + 確認用入力表,正式入力待ち 36行を作成済み。まだ人間確認後の正式値は未入力。,売上、営業利益、EPS、自己株買いなどをPDF原文と照合して入力する。
企業IR,IR PDFから本体スコアへの反映,一部取得,最重要,正式入力表 + 反映ゲート,反映ゲートは作成済み。ただし正式値未入力のため、本体スコアへ反映可能な行は0件。,正式値が入った行だけをスコア反映する。候補抽出だけで点数を変えない。
EDINET,EDINETコード・有価証券報告書 / XBRL,一部取得,高,EDINET API,EDINETコード確認の入口は作成済み。XBRLから財務値を安定抽出する処理は未完成。,対象銘柄のEDINETコード、対象書類、XBRLタグを固定して小さく検証する。
業界統計,鉱工業生産、自動車販売、電力需要,取得予定,高,経産省、自販連、全軽自協、OCCTOなど,公開ページと取得ルートは確認済み。安定した時系列DBにはまだ入っていない。,1系列ずつCSV/Excel化して、業界テーマ検証に接続する。
業界統計,ナフサ・原油・化学品価格,未取得（制約あり）,中,経産省、貿易統計、商品市況など,テーマ検証には有用だが、安定取得できる系列と単位の確定が未完了。,公開統計で代替できる系列を選び、化学・素材銘柄に限定して検証する。
企業財務,企業別海外売上比率、原価率、値上げ実績,未取得（制約あり）,中,有価証券報告書、決算説明資料、企業IR,スコア精度向上には有効。ただし企業ごとに表記が違い、完全自動取得はまだ現実的でない。,重要銘柄だけ正式入力表で扱う。
予想データ,コンセンサスEPS,未取得（制約あり）,高,有料DB、証券会社、手動入力,決算サプライズ計算には有用だが、現時点のMVPには未実装。,無料で安定取得できない場合は、会社予想の変化率で代替する。
有料情報,四季報本文、QUICK、日経、Bloomberg、Refinitiv系データ,未取得（制約あり）,中,有料・ライセンス契約データ,本文や独自データは契約が必要。現在のシステムで自動取得済みとは扱わない。,契約する場合のみ取り込み対象にする。初期MVPは公開データ中心で進める。
イベント,TDnet長期履歴、自社株買い・上方修正・下方修正の長期DB,一部取得,高,TDnet / 企業IR,直近イベント分類は開始済み。長期履歴DBとしては未完成。,期間を区切って蓄積し、イベント種別ごとのリターン統計を作る。
IPO,Nasdaq IPOカレンダー,未取得（制約あり）,中,Nasdaq / SEC代替,Nasdaqページの安定取得は未完了。SEC S-1/F-1を代替ルートにする方針。,監視対象のIPO関連イベントをSEC開示から抽出する。
