generated_at,priority,ticker,company,theme,role,source_return_pct,estimated_total_contribution,already_in_current_candidates,reason_to_review,caution
2026/05/27 11:01,A,7011.T,三菱重工業,資本財・重工・景気循環,収益けん引枠,+553.9%,+3972.4,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,過去上昇が大きいため、後追い買いにならないかを最優先確認。
2026/05/27 11:01,A,7173.T,東京きらぼしFG,金利・金融,収益けん引枠,+440.3%,+3209.9,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,過去上昇が大きいため、後追い買いにならないかを最優先確認。
2026/05/27 11:01,既存候補,8316.T,三井住友FG,金利・金融,収益けん引枠,+279.4%,+1910.0,あり,既存候補内で、プロ参照データとの整合性を再確認する。,過去上昇が大きいため、後追い買いにならないかを最優先確認。
2026/05/27 11:01,A,8053.T,住友商事,資本財・重工・景気循環,収益けん引枠,+214.1%,+1468.1,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,過去上昇が大きいため、後追い買いにならないかを最優先確認。
2026/05/27 11:01,既存候補,8306.T,三菱UFJ FG,金利・金融,収益けん引枠,+160.2%,+1120.7,あり,既存候補内で、プロ参照データとの整合性を再確認する。,過去上昇が大きいため、後追い買いにならないかを最優先確認。
2026/05/27 11:01,B,6516.T,山洋電気,半導体・AI・大型成長,上昇寄与枠,+292.8%,+642.8,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,過去上昇が大きいため、後追い買いにならないかを最優先確認。
2026/05/27 11:01,B,1321.T,日経225連動型ETF,指数・ETF,市場ベータの土台,+123.3%,+603.8,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,現在の地合い・最新決算を確認する。
2026/05/27 11:01,B,7735.T,SCREEN HD,半導体・AI・大型成長,上昇寄与枠,+109.0%,+565.4,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,現在の地合い・最新決算を確認する。
2026/05/27 11:01,B,1306.T,TOPIX連動型ETF,指数・ETF,市場ベータの土台,+99.8%,+533.4,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,現在の地合い・最新決算を確認する。
2026/05/27 11:01,既存候補,9984.T,ソフトバンクG,半導体・AI・大型成長,上昇寄与枠,+155.0%,+519.3,あり,既存候補内で、プロ参照データとの整合性を再確認する。,過去上昇が大きいため、後追い買いにならないかを最優先確認。
2026/05/27 11:01,B,2080.T,PBR1倍割れ改善ETF,指数・ETF,市場ベータの土台,+81.9%,+481.8,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,現在の地合い・最新決算を確認する。
2026/05/27 11:01,B,8035.T,東京エレクトロン,半導体・AI・大型成長,分散補助枠,+89.4%,+447.4,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,現在の地合い・最新決算を確認する。
2026/05/27 11:01,B,7203.T,トヨタ自動車,資本財・重工・景気循環,分散補助枠,+35.6%,+341.8,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,現在の地合い・最新決算を確認する。
2026/05/27 11:01,B,9983.T,ファーストリテイリング,半導体・AI・大型成長,上昇寄与枠,+269.3%,+297.6,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,過去上昇が大きいため、後追い買いにならないかを最優先確認。
2026/05/27 11:01,B,4373.T,シンプレクスHD,中小型・成長,分散補助枠,+92.8%,+275.1,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,現在の地合い・最新決算を確認する。
2026/05/27 11:01,B,3612.T,ワールド,個別テーマ,上昇寄与枠,+114.7%,+273.3,なし,勝者ポートフォリオの高寄与銘柄。現在のPER、PBR、ROE、決算反応、下落耐性を取得して再スクリーニングする価値がある。,現在の地合い・最新決算を確認する。
