優先,区分,ticker,銘柄,ゲート,入力ID,入力項目,不足,取得ルート,作業内容,通過条件,現在状態,スコア反映,P1復帰,買付上限
1,公式IR・財務確認,6503.T,三菱電機,財務ゲート,6503_operating_margin,営業利益率,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,決算短信、決算説明資料、有価証券報告書、会社IRの数値を確認する。,年度、単位、ページ、計算式をそろえ、公式確認を済にする。,入力値、出所、ページ、公式確認がそろう。,未完了,禁止,0社,0円
1,公式IR・財務確認,6503.T,三菱電機,財務ゲート,6503_order_or_segment_growth,受注・事業別売上/利益の伸び,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,決算短信、決算説明資料、有価証券報告書、会社IRの数値を確認する。,年度、単位、ページ、計算式をそろえ、公式確認を済にする。,入力値、出所、ページ、公式確認がそろう。,未完了,禁止,0社,0円
1,公式IR・財務確認,6503.T,三菱電機,財務ゲート,6503_pbr_official,PBR,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,決算短信、決算説明資料、有価証券報告書、会社IRの数値を確認する。,年度、単位、ページ、計算式をそろえ、公式確認を済にする。,入力値、出所、ページ、公式確認がそろう。,未完了,禁止,0社,0円
1,公式IR・財務確認,6503.T,三菱電機,財務ゲート,6503_per_official,PER,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,決算短信、決算説明資料、有価証券報告書、会社IRの数値を確認する。,年度、単位、ページ、計算式をそろえ、公式確認を済にする。,入力値、出所、ページ、公式確認がそろう。,未完了,禁止,0社,0円
1,公式IR・財務確認,6503.T,三菱電機,財務ゲート,6503_roe_official,ROE,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,決算短信、決算説明資料、有価証券報告書、会社IRの数値を確認する。,年度、単位、ページ、計算式をそろえ、公式確認を済にする。,入力値、出所、ページ、公式確認がそろう。,未完了,禁止,0社,0円
1,公式IR・財務確認,8035.T,東京エレクトロン,財務ゲート,8035_operating_margin,営業利益率,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,決算短信、決算説明資料、有価証券報告書、会社IRの数値を確認する。,年度、単位、ページ、計算式をそろえ、公式確認を済にする。,入力値、出所、ページ、公式確認がそろう。,未完了,禁止,0社,0円
1,公式IR・財務確認,8035.T,東京エレクトロン,財務ゲート,8035_order_or_segment_growth,受注・事業別売上/利益の伸び,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,決算短信、決算説明資料、有価証券報告書、会社IRの数値を確認する。,年度、単位、ページ、計算式をそろえ、公式確認を済にする。,入力値、出所、ページ、公式確認がそろう。,未完了,禁止,0社,0円
1,公式IR・財務確認,8035.T,東京エレクトロン,財務ゲート,8035_pbr_official,PBR,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,決算短信、決算説明資料、有価証券報告書、会社IRの数値を確認する。,年度、単位、ページ、計算式をそろえ、公式確認を済にする。,入力値、出所、ページ、公式確認がそろう。,未完了,禁止,0社,0円
1,公式IR・財務確認,8035.T,東京エレクトロン,財務ゲート,8035_per_official,PER,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,決算短信、決算説明資料、有価証券報告書、会社IRの数値を確認する。,年度、単位、ページ、計算式をそろえ、公式確認を済にする。,入力値、出所、ページ、公式確認がそろう。,未完了,禁止,0社,0円
1,公式IR・財務確認,8035.T,東京エレクトロン,財務ゲート,8035_roe_official,ROE,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,決算短信、決算説明資料、有価証券報告書、会社IRの数値を確認する。,年度、単位、ページ、計算式をそろえ、公式確認を済にする。,入力値、出所、ページ、公式確認がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,6503.T,三菱電機,価格ゲート,6503_cagr_10y,10年CAGR,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,6503.T,三菱電機,価格ゲート,6503_cagr_5y,5年CAGR,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,6503.T,三菱電機,価格ゲート,6503_current_price,直近株価,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,6503.T,三菱電機,価格ゲート,6503_max_drawdown_1y,1年最大下落率,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,6503.T,三菱電機,価格ゲート,6503_price_date,株価計算日,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
