rank,ticker,name,theme_or_channel,rating,qualitative_score,event_score,hypothesis_layer,observed_layer,evidence_source,score_usage,risks,next_check
1,8053.T,住友商事,総合候補,B,65.0,50.0,既存10社側で、商社・資源・還元・長期株価の総合確認に使う。,6月イベント後: 確認 / -0.61% / 黄: 注意あり,チャンネル比較CSV / 6月イベント / 過去イベント反応,比較・監視根拠として使用。量的スコアの裏付けが必要,資源価格・為替・景気循環に左右される。,6月イベント後に資源価格、ドル円、日経/TOPIX、決算後反応を確認。
2,8316.T,三井住友FG,総合候補,B,65.0,58.0,金利・銀行・配当/還元の軸として、既存10社側で中心確認。,6月イベント後: 確認 / 4.31% / 黄: 注意あり,チャンネル比較CSV / 6月イベント / 過去イベント反応,比較・監視根拠として使用。量的スコアの裏付けが必要,日銀方針、信用コスト、景気悪化、銀行株全体の反応。,日銀会合後の金利、銀行株指数、信用コスト見通しを確認。
3,8058.T,三菱商事,円安・資源・商社,B,65.0,54.3,材料強度70 / 資金流入連鎖82 / 企業適合82,過去イベント4件、5日超過2.29%、20日超過1.01%、強2件/弱2件,質的探索CSV / 6月イベント / 過去イベント反応,比較・監視根拠として使用。量的スコアの裏付けが必要,資源価格感応度・自社株買い・PER,購入スコアではない
4,6501.T,日立製作所,データセンター・電力・冷却・電線,B,65.0,50.0,電力網、変圧器、制御、デジタル基盤の複合テーマ。,6月イベント後: 確認 / 2.11% / 黄: 注意あり,チャンネル比較CSV / 6月イベント / 過去イベント反応,比較・監視根拠として使用。量的スコアの裏付けが必要,大型株でテーマ寄与の分離が必要。,電力・送配電・デジタル事業の受注と利益率を確認。
5,6503.T,三菱電機,総合候補,C,64.0,58.0,総合、データセンター/電力、フィジカルAI、量子周辺の複合テーマにまたがる。,6月イベント後: 確認 / 3.29% / 黄: 注意あり,チャンネル比較CSV / 6月イベント / 過去イベント反応,仮説層。過去反応または公式数値が不足,テーマが広いため、どの事業が実際に伸びているか分離が必要。,セグメント別売上、受注、営業利益率、電力/FAの寄与を確認。
6,8411.T,みずほFG,金融,C,50.0,50.0,質的データ未接続,未接続。点数ではなく監視メモ扱い,スコア表の質的メモのみ,質的根拠は弱い。購入候補の根拠にしない,ニュース本文・公式資料・過去反応の接続が不足,購入根拠に使う前に公式資料またはイベント反応を追加
7,6762.T,TDK,フィジカルAI,C,56.0,50.0,既存100社データに接続済み。電源、センサー、電子部品、AIサーバー周辺の複合候補。,6月イベント後: 確認 / 0.65% / 黄: 注意あり,チャンネル比較CSV / 6月イベント / 過去イベント反応,質的根拠は弱い。購入候補の根拠にしない,電子部品サイクル、スマホ需要、テーマ別売上寄与の分離。,電源・センサー寄与、決算後反応、電子部品サイクルを確認。
8,8031.T,三井物産,円安・資源・商社,C,55.0,50.0,材料強度70 / 資金流入連鎖82 / 企業適合77,未接続。点数ではなく監視メモ扱い,質的探索CSV / 6月イベント / 過去イベント反応,質的根拠は弱い。購入候補の根拠にしない,資源依存度・原油金属価格・PER,購入スコアではない
9,8750.T,第一生命HD,金融,C,50.0,50.0,質的データ未接続,未接続。点数ではなく監視メモ扱い,スコア表の質的メモのみ,質的根拠は弱い。購入候補の根拠にしない,ニュース本文・公式資料・過去反応の接続が不足,購入根拠に使う前に公式資料またはイベント反応を追加
10,8306.T,三菱UFJ FG,金利上昇・銀行保険,B,65.0,41.3,材料強度74 / 資金流入連鎖84 / 企業適合82,過去イベント4件、5日超過1.13%、20日超過-0.36%、強0件/弱1件,質的探索CSV / 6月イベント / 過去イベント反応,比較・監視根拠として使用。量的スコアの裏付けが必要,信用コスト・自己資本・日銀イベント,購入スコアではない
