updated_at,source,year,month,year_month,sales_units,yoy_pct,source_file
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2022,1,2022-01,329696,85.8,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2022,2,2022-02,354665,82,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2022,3,2022-03,512860,83.7,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2022,4,2022-04,299615,85.6,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2022,5,2022-05,261431,81.9,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2022,6,2022-06,327894,89.7,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2022,7,2022-07,349327,92.6,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2022,8,2022-08,290041,90.7,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2022,9,2022-09,395160,124.1,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2022,10,2022-10,359143,128.6,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2022,11,2022-11,377068,107,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2022,12,2022-12,344362,102.4,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2023,1,2023-01,382327,116,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2023,2,2023-02,426724,120.3,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2023,3,2023-03,572470,111.6,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2023,4,2023-04,349583,116.7,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2023,5,2023-05,326720,125,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2023,6,2023-06,392702,119.8,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2023,7,2023-07,379022,108.5,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2023,8,2023-08,340316,117.3,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2023,9,2023-09,437478,110.7,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2023,10,2023-10,397658,110.7,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2023,11,2023-11,411057,109,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2023,12,2023-12,362804,105.4,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2024,1,2024-01,334807,87.6,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2024,2,2024-02,344809,80.8,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2024,3,2024-03,451426,78.9,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2024,4,2024-04,310338,88.8,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
