コード,銘柄,長期株価指標,NISA配分候補,PER/PBR/ROE,決算成長率参考値,決算後反応,購入判断への扱い
8053.T,住友商事,取得済み,取得済み,一部取得,一部取得,一部取得,候補比較の参考に使用可。購入前に公式再確認
8002.T,丸紅,取得済み,取得済み,未取得,未取得,未取得,候補比較の補助まで。購入判断には補完が必要
8058.T,三菱商事,取得済み,取得済み,一部取得,一部取得,未取得,候補比較の補助まで。購入判断には補完が必要
8316.T,三井住友FG,取得済み,取得済み,一部取得,一部取得,一部取得,候補比較の参考に使用可。購入前に公式再確認
8306.T,三菱UFJ FG,取得済み,取得済み,一部取得,一部取得,一部取得,候補比較の参考に使用可。購入前に公式再確認
1605.T,INPEX,取得済み,取得済み,未取得,未取得,未取得,候補比較の補助まで。購入判断には補完が必要
6503.T,三菱電機,取得済み,取得済み,未取得,未取得,未取得,候補比較の補助まで。購入判断には補完が必要
8031.T,三井物産,取得済み,取得済み,未取得,未取得,未取得,候補比較の補助まで。購入判断には補完が必要
8411.T,みずほFG,取得済み,取得済み,未取得,未取得,未取得,候補比較の補助まで。購入判断には補完が必要
8725.T,MS&AD,取得済み,取得済み,未取得,未取得,未取得,候補比較の補助まで。購入判断には補完が必要
