情報分類,観測例,伝播経路,企業接続条件,実績検証,初期扱い
金利・金融政策,日銀政策変更、FRB金利見通し、長期金利上昇,利ざや、運用利回り、信用コスト、株式バリュエーション,銀行、保険、リースなどで金利感応度と信用コストを確認できる,金利変化日から1日、5日、20日の対TOPIX超過リターンを確認,A: 公式金利データと株価反応を取りやすい
半導体設備投資,生成AI投資、先端半導体増産、製造装置需要,設備投資、受注残、稼働率、消耗部材、保守需要,対象企業の対象工程シェア、顧客分散、受注残、利益率を確認できる,SOX指数、装置株、対象企業の決算後反応を比較,B: 強い仮説だが、過熱と顧客集中の検証が必要
AIデータセンター投資,クラウド投資拡大、サーバー増設、冷却・電源需要,電源、冷却、光通信、電線、変圧器、建設、保守,売上内訳にデータセンター関連が確認できる,受注増、部門売上、関連指数、同業株との連動を確認,B: 連想は強いが、企業別の売上接続が必須
防衛・安全保障,防衛予算、宇宙、防衛装備、地政学リスク,政府予算、受注、長期契約、研究開発費,防衛関連売上、受注残、採算性、輸出規制を確認できる,予算発表、受注発表、決算説明後の株価反応を確認,B: 国策性はあるが、利益寄与の確認が必要
資源・商品価格,原油、天然ガス、銅、鉄鉱石、ナフサ価格変動,販売価格、在庫評価、原価、商社利益、素材企業利益率,資源価格感応度、上流権益、調達構造、価格転嫁力を確認できる,商品価格と対象株の相関、決算説明の価格前提を確認,B: データは取れるが、企業別感応度が必要
円安・為替,ドル円変動、輸出採算、海外利益換算,売上換算、原価増、輸出利益、海外子会社利益,海外売上比率、為替感応度、ヘッジ方針を確認できる,為替変化と株価反応、決算資料の感応度表を確認,A: 為替データは取りやすいが、企業感応度は資料確認
M&A・TOB・資本政策,TOB、合併、自社株買い、増配、政策保有株売却,1株利益、資本効率、支配権プレミアム、再編期待,発行株数、買付価格、取得規模、還元方針を確認できる,発表日リターン、過去同種案件、EPS影響を確認,A: 公式発表があれば検証しやすい
新商品・大型発売,ゲーム機、医薬品承認、大型サービス開始,販売数量、単価、利益率、関連ソフト・消耗品、継続収益,対象商品の売上寄与、粗利率、供給制約を確認できる,過去発売サイクル、発売後決算、株価反応を確認,B: 期待先行になりやすく、実売確認が必要
上場・IPO・未上場大型企業,大型IPO観測、関連会社上場、出資先評価,持分評価、関連需要、取引先拡大、テーマ資金流入,直接投資、取引関係、上場時の持分価値を確認できる,保有比率、簿価、類似IPO時の反応を確認,C: 観測段階では根拠が弱く、別枠管理
著名投資家・大口保有,バフェット関連、5%ルール、大量保有変更報告,需給、信用、資本政策期待、業種評価の変化,取得・売却主体、保有比率、取得理由、継続性を確認できる,報告日後リターン、同業波及、保有変更の継続確認,B: 補助材料。単独採用はしない
