updated_at,event_id,ticker,company,lane,event_theme,qualitative_signal,hypothesis_layer,prior_hypothesis_note,event_date,event_source,benchmark,stock_price_before,stock_price_1d,stock_price_5d,stock_price_20d,benchmark_before,benchmark_1d,benchmark_5d,benchmark_20d,stock_return_1d_pct,stock_return_5d_pct,stock_return_20d_pct,benchmark_return_1d_pct,benchmark_return_5d_pct,benchmark_return_20d_pct,excess_return_1d_pct,excess_return_5d_pct,excess_return_20d_pct,direction_match,evidence_rating,score_policy,purchase_status,note
2026/05/26 16:45,6762-01,6762.T,TDK,A 先行観察,AIサーバー需要,データセンター増設、AIサーバー投資、電源部品需要,電子部品需要の増加が確認できれば追い風,AIサーバーと電源・受動部品需要が伸びるとTDKの電子部品需要へ接続する可能性。,,,日経平均 / TOPIX / 電子部品同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,6762-02,6762.T,TDK,A 先行観察,為替・海外売上,円安、海外売上比率、材料費,円安は売上換算に追い風だが材料費上昇は逆風,AIサーバーと電源・受動部品需要が伸びるとTDKの電子部品需要へ接続する可能性。,,,日経平均 / ドル円,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,6762-03,6762.T,TDK,A 先行観察,電池・磁性材料,EV、蓄電池、HDD/データセンター関連部品,AI周辺需要が電子部品の構造需要へ波及するか確認,AIサーバーと電源・受動部品需要が伸びるとTDKの電子部品需要へ接続する可能性。,,,日経平均 / 電子部品同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,2802-01,2802.T,味の素,B 補完後候補,食品値上げ耐性,食品価格、原材料価格、値上げ浸透,値上げ後も販売数量が崩れなければ利益率改善の可能性,食品の値上げ耐性とABF/ヘルスケア成長が利益率を支えれば評価される可能性。,,,TOPIX / 食品同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,2802-02,2802.T,味の素,B 補完後候補,ABF・ヘルスケア,半導体材料ABF、アミノ酸、ヘルスケア売上,高PERを正当化できる成長が続くか確認,食品の値上げ耐性とABF/ヘルスケア成長が利益率を支えれば評価される可能性。,,,TOPIX / 食品同業 / 半導体材料関連,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,2802-03,2802.T,味の素,B 補完後候補,円安・原材料,為替、穀物、物流費、エネルギー価格,原価上昇が利益を圧迫しないか確認,食品の値上げ耐性とABF/ヘルスケア成長が利益率を支えれば評価される可能性。,,,日経平均 / ドル円,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,8766-01,8766.T,東京海上HD,B 補完後候補,保険料率・金利,保険料改定、国内外金利、運用収益,金利上昇と保険料率改善が利益へつながるか確認,金利上昇と政策保有株売却・還元が評価されやすい一方、災害損失で揺れる。,,,TOPIX / 保険同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,8766-02,8766.T,東京海上HD,B 補完後候補,自然災害・損害率,台風、豪雨、地震、損害率,大規模災害による損害率悪化を確認,金利上昇と政策保有株売却・還元が評価されやすい一方、災害損失で揺れる。,,,TOPIX / 保険同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,8766-03,8766.T,東京海上HD,B 補完後候補,政策保有株売却,政策保有株売却、自己株買い、株主還元,資本効率改善が株価評価に反映されるか確認,金利上昇と政策保有株売却・還元が評価されやすい一方、災害損失で揺れる。,,,TOPIX / 保険同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,8316-01,8316.T,三井住友FG,B 補完後候補,日銀・金利,日銀会合、長短金利、利ざや,金利上昇が利ざや改善につながるか確認,金利上昇は利ざや改善に効くが、急な景気悪化や信用コスト上昇で相殺される。,,,TOPIX / 銀行指数,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,8316-02,8316.T,三井住友FG,B 補完後候補,信用コスト,貸倒引当、景気悪化、企業倒産,利ざや改善を信用コストが相殺しないか確認,金利上昇は利ざや改善に効くが、急な景気悪化や信用コスト上昇で相殺される。,,,TOPIX / 銀行指数,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,8316-03,8316.T,三井住友FG,B 補完後候補,海外金利・為替,米金利、ドル円、海外事業,海外金利と為替が利益に与える影響を確認,金利上昇は利ざや改善に効くが、急な景気悪化や信用コスト上昇で相殺される。,,,TOPIX / ドル円,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,8306-01,8306.T,三菱UFJ FG,B 補完後候補,日銀・金利,日銀会合、短期金利、長期金利,金利正常化が利ざや改善につながるか確認,金利正常化・海外金利環境が利益に接続しやすいが、急変時は相場全体の下落も受ける。,,,TOPIX / 銀行指数,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,8306-02,8306.T,三菱UFJ FG,B 補完後候補,海外金利・景気,米金利、海外融資、信用コスト,海外景気悪化時の下押しを確認,金利正常化・海外金利環境が利益に接続しやすいが、急変時は相場全体の下落も受ける。,,,TOPIX / 銀行指数,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,8306-03,8306.T,三菱UFJ FG,B 補完後候補,株主還元,自社株買い、配当、資本効率,大型銀行の還元強化が評価されるか確認,金利正常化・海外金利環境が利益に接続しやすいが、急変時は相場全体の下落も受ける。,,,TOPIX / 銀行指数,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,6367-01,6367.T,ダイキン工業,B 補完後候補,データセンター冷却,AIデータセンター、空調・冷却需要,AI電力・冷却需要が空調需要に波及するか確認,空調・冷却需要とデータセンター投資が追い風。ただし中国・住宅・為替で鈍化もある。,,,TOPIX / 機械同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,6367-02,6367.T,ダイキン工業,B 補完後候補,地域別空調需要,猛暑、住宅投資、商業施設投資,気候・設備投資が売上に反映されるか確認,空調・冷却需要とデータセンター投資が追い風。ただし中国・住宅・為替で鈍化もある。,,,TOPIX / 機械同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,6367-03,6367.T,ダイキン工業,B 補完後候補,中国・為替,中国需要、欧米需要、ドル円,地域需要の弱さと円安効果の綱引きを確認,空調・冷却需要とデータセンター投資が追い風。ただし中国・住宅・為替で鈍化もある。,,,TOPIX / ドル円,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,6503-01,6503.T,三菱電機,B 補完後候補,電力・データセンター,電力投資、データセンター、受配電設備,AIインフラ投資が電力機器需要につながるか確認,電力制御・FA・インフラ需要が伸びれば追い風。ただし設備投資循環の影響を受ける。,,,TOPIX / 電機同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,6503-02,6503.T,三菱電機,B 補完後候補,FA・設備投資,FA受注、製造業投資、半導体設備投資,設備投資サイクルの改善が確認できるか確認,電力制御・FA・インフラ需要が伸びれば追い風。ただし設備投資循環の影響を受ける。,,,TOPIX / 電機同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,6503-03,6503.T,三菱電機,B 補完後候補,防衛・宇宙,防衛予算、衛星、宇宙関連,政策テーマが売上に結び付くか確認,電力制御・FA・インフラ需要が伸びれば追い風。ただし設備投資循環の影響を受ける。,,,TOPIX / 電機同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,5020-01,5020.T,ENEOS HD,C 補完優先,原油・精製マージン,原油価格、精製マージン、在庫評価,原油高だけでなく利益率が改善するか確認,原油・精製マージンが利益に直結。地政学や原油急落で逆方向にも大きく振れる。,,,TOPIX / エネルギー同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,5020-02,5020.T,ENEOS HD,C 補完優先,中東・海上輸送,ホルムズ海峡、中東情勢、輸送費,供給不安が価格とマージンへどう出るか確認,原油・精製マージンが利益に直結。地政学や原油急落で逆方向にも大きく振れる。,,,TOPIX / 原油先物,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,5020-03,5020.T,ENEOS HD,C 補完優先,脱炭素・構造転換,再エネ、水素、素材、設備投資,長期テーマが収益化しているか確認,原油・精製マージンが利益に直結。地政学や原油急落で逆方向にも大きく振れる。,,,TOPIX / エネルギー同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,6146-01,6146.T,ディスコ,C 補完優先,AI半導体・HBM,AI半導体、HBM、先端パッケージ,高精度加工需要が強いか確認,切断・研削・精密加工の構造需要は強いが、半導体設備投資サイクルと高評価に注意。,,,日経平均 / SOX / 半導体装置同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,6146-02,6146.T,ディスコ,C 補完優先,半導体設備投資,メモリ投資、ロジック投資、装置受注,設備投資サイクルの上向きを確認,切断・研削・精密加工の構造需要は強いが、半導体設備投資サイクルと高評価に注意。,,,日経平均 / SOX,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,6146-03,6146.T,ディスコ,C 補完優先,高PER・過熱,PER、SOX下落、決算期待,好材料でも過熱時に下落しやすいか確認,切断・研削・精密加工の構造需要は強いが、半導体設備投資サイクルと高評価に注意。,,,日経平均 / SOX,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,4385-01,4385.T,メルカリ,D 補欠保留,国内消費,個人消費、フリマ流通総額、景気,消費環境が取引量に効くか確認,利益成長は魅力だが、事業構成・競争・規制・消費感応度の確認が不足。,,,TOPIX / ネット同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,4385-02,4385.T,メルカリ,D 補欠保留,FinTech・広告,決済、与信、広告、セグメント利益,周辺事業の利益化が確認できるか確認,利益成長は魅力だが、事業構成・競争・規制・消費感応度の確認が不足。,,,TOPIX / ネット同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
2026/05/26 16:45,4385-03,4385.T,メルカリ,D 補欠保留,規制・競争,規制、手数料、競合、ユーザー成長,成長鈍化や規制の逆風を確認,利益成長は魅力だが、事業構成・競争・規制・消費感応度の確認が不足。,,,TOPIX / ネット同業,,,,,,,,,,,,,,,,,,,未判定,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,6月イベント後に実数を入力して判定する。
