candidate_order,generated_at,priority_group,ticker,company,source_type,reference_effect,current_decision,score_status,existing_adjusted_score,reference_priority_score,evidence_summary,required_checks,june_use,note
1,2026/05/27 11:13,既存主候補,2802.T,味の素,既存候補・独立確認,補強なし,6月再判定候補,既存スコアあり,69.5,45,プロ参照では補強できないため、既存の量的データと決算確認で独立評価する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応,既存の6月再判定へ接続。,既存候補側の数値が優先。プロ参照は説明補強・警戒確認に使う。
2,2026/05/27 11:13,第2候補,6762.T,TDK,既存候補・テーマ参照,参照点64,比較継続,既存スコアあり,70.1,64,成果ポートフォリオの近いテーマに接続。参照先は6516 山洋電気、テーマは半導体・AI・大型成長。業績接続の確認が必須。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応 / テーマが売上・受注・利益率へ接続しているか,購入検討へ直接進めない。確認優先。,既存候補側の数値が優先。プロ参照は説明補強・警戒確認に使う。
3,2026/05/27 11:13,第2候補,6146.T,ディスコ,既存候補・テーマ参照,参照点64,比較継続,既存スコアあり,69.0,64,成果ポートフォリオの近いテーマに接続。参照先は6516 山洋電気、テーマは半導体・AI・大型成長。業績接続の確認が必須。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応 / テーマが売上・受注・利益率へ接続しているか,購入検討へ直接進めない。確認優先。,既存候補側の数値が優先。プロ参照は説明補強・警戒確認に使う。
4,2026/05/27 11:13,優先追加確認,7011.T,三菱重工業,追加候補A,資本財・重工・景気循環 / 収益けん引枠,未採点・追加確認,追加データ未投入,未採点,89.0,成果ポートフォリオから追加抽出。テーマは資本財・重工・景気循環、参照リターン+553.9%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,6月候補の追加検討枠,追加データを取得してから既存候補と同じ式へ入れる。
5,2026/05/27 11:13,優先追加確認,8053.T,住友商事,追加候補A,資本財・重工・景気循環 / 収益けん引枠,未採点・追加確認,追加データ未投入,未採点,41.0,成果ポートフォリオから追加抽出。テーマは資本財・重工・景気循環、参照リターン+214.1%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,6月候補の追加検討枠,追加データを取得してから既存候補と同じ式へ入れる。
6,2026/05/27 11:13,反応再確認,9984.T,ソフトバンクG,既存候補・直接参照,参照点76,反応再確認,既存スコアあり,67.8,76,成果ポートフォリオと直接一致。参照リターン+155.0%。ただし現在価格での後追いリスクを別判定する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応,既存の6月再判定へ接続。,既存候補側の数値が優先。プロ参照は説明補強・警戒確認に使う。
7,2026/05/27 11:13,警戒解除待ち,8316.T,三井住友FG,既存候補・直接参照,過去勝ち筋あり,警戒,既存スコアあり,58.4,76,成果ポートフォリオと直接一致。参照リターン+279.4%。ただし現在価格での後追いリスクを別判定する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応 / 警戒条件の解除可否,購入検討へ直接進めない。確認優先。,既存候補側の数値が優先。プロ参照は説明補強・警戒確認に使う。
8,2026/05/27 11:13,警戒解除待ち,8306.T,三菱UFJ FG,既存候補・直接参照,過去勝ち筋あり,警戒,既存スコアあり,56.6,76,成果ポートフォリオと直接一致。参照リターン+160.2%。ただし現在価格での後追いリスクを別判定する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応 / 警戒条件の解除可否,購入検討へ直接進めない。確認優先。,既存候補側の数値が優先。プロ参照は説明補強・警戒確認に使う。
9,2026/05/27 11:13,比較追加確認,7735.T,SCREEN HD,追加候補B,半導体・AI・大型成長 / 上昇寄与枠,未採点・追加確認,追加データ未投入,未採点,12.7,成果ポートフォリオから追加抽出。テーマは半導体・AI・大型成長、参照リターン+109.0%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,6月候補の追加検討枠,追加データを取得してから既存候補と同じ式へ入れる。
10,2026/05/27 11:13,優先追加確認,7173.T,東京きらぼしFG,追加候補A,金利・金融 / 収益けん引枠,未採点・追加確認,追加データ未投入,未採点,73.8,成果ポートフォリオから追加抽出。テーマは金利・金融、参照リターン+440.3%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,6月候補の追加検討枠,追加データを取得してから既存候補と同じ式へ入れる。
11,2026/05/27 11:13,比較追加確認,8035.T,東京エレクトロン,追加候補B,半導体・AI・大型成長 / 分散補助枠,未採点・追加確認,追加データ未投入,未採点,10.2,成果ポートフォリオから追加抽出。テーマは半導体・AI・大型成長、参照リターン+89.4%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,6月候補の追加検討枠,追加データを取得してから既存候補と同じ式へ入れる。
12,2026/05/27 11:13,比較追加確認,6516.T,山洋電気,追加候補B,半導体・AI・大型成長 / 上昇寄与枠,未採点・追加確認,追加データ未投入,未採点,24.3,成果ポートフォリオから追加抽出。テーマは半導体・AI・大型成長、参照リターン+292.8%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,6月候補の追加検討枠,追加データを取得してから既存候補と同じ式へ入れる。
13,2026/05/27 11:13,比較追加確認,7203.T,トヨタ自動車,追加候補B,資本財・重工・景気循環 / 分散補助枠,未採点・追加確認,追加データ未投入,未採点,5.9,成果ポートフォリオから追加抽出。テーマは資本財・重工・景気循環、参照リターン+35.6%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,6月候補の追加検討枠,追加データを取得してから既存候補と同じ式へ入れる。
14,2026/05/27 11:13,比較追加確認,4373.T,シンプレクスHD,追加候補B,中小型・成長 / 分散補助枠,未採点・追加確認,追加データ未投入,未採点,8.5,成果ポートフォリオから追加抽出。テーマは中小型・成長、参照リターン+92.8%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,6月候補の追加検討枠,追加データを取得してから既存候補と同じ式へ入れる。
15,2026/05/27 11:13,比較追加確認,3612.T,ワールド,追加候補B,個別テーマ / 上昇寄与枠,未採点・追加確認,追加データ未投入,未採点,9.8,成果ポートフォリオから追加抽出。テーマは個別テーマ、参照リターン+114.7%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,6月候補の追加検討枠,追加データを取得してから既存候補と同じ式へ入れる。
16,2026/05/27 11:13,反応再確認,7012.T,川崎重工業,既存候補・テーマ参照,参照点64,反応再確認,既存スコアあり,64.1,64,成果ポートフォリオの近いテーマに接続。参照先は8053 住友商事、テーマは資本財・重工・景気循環。業績接続の確認が必須。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応 / テーマが売上・受注・利益率へ接続しているか,購入検討へ直接進めない。確認優先。,既存候補側の数値が優先。プロ参照は説明補強・警戒確認に使う。
17,2026/05/27 11:13,保留継続,4385.T,メルカリ,既存候補・独立確認,補強なし,保留,既存スコアあり,60.2,45,プロ参照では補強できないため、既存の量的データと決算確認で独立評価する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応,既存の6月再判定へ接続。,既存候補側の数値が優先。プロ参照は説明補強・警戒確認に使う。
18,2026/05/27 11:13,警戒解除待ち,5020.T,ENEOS HD,既存候補・独立確認,補強なし,警戒,既存スコアあり,53.4,45,プロ参照では補強できないため、既存の量的データと決算確認で独立評価する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応 / 警戒条件の解除可否,既存の6月再判定へ接続。,既存候補側の数値が優先。プロ参照は説明補強・警戒確認に使う。
19,2026/05/27 11:13,保留継続,6503.T,三菱電機,既存候補・独立確認,補強なし,保留,既存スコアあり,55.4,45,プロ参照では補強できないため、既存の量的データと決算確認で独立評価する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応,既存の6月再判定へ接続。,既存候補側の数値が優先。プロ参照は説明補強・警戒確認に使う。
20,2026/05/27 11:13,保留継続,6501.T,日立製作所,既存候補・独立確認,補強なし,保留,既存スコアあり,52.2,45,プロ参照では補強できないため、既存の量的データと決算確認で独立評価する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応,既存の6月再判定へ接続。,既存候補側の数値が優先。プロ参照は説明補強・警戒確認に使う。
21,2026/05/27 11:13,保留継続,8002.T,丸紅,既存候補・独立確認,補強なし,保留,既存スコアあり,49.4,45,プロ参照では補強できないため、既存の量的データと決算確認で独立評価する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応,既存の6月再判定へ接続。,既存候補側の数値が優先。プロ参照は説明補強・警戒確認に使う。
22,2026/05/27 11:13,比較追加確認,9983.T,ファーストリテイリング,追加候補B,半導体・AI・大型成長 / 上昇寄与枠,未採点・追加確認,追加データ未投入,未採点,19.1,成果ポートフォリオから追加抽出。テーマは半導体・AI・大型成長、参照リターン+269.3%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,6月候補の追加検討枠,追加データを取得してから既存候補と同じ式へ入れる。
