updated_at,ticker,company,cik,filing_date,report_date,form,accession,primary_document,description,source_url
2026/05/21 17:39,NVDA,NVIDIA,0001045810,2026-05-20,2026-04-26,10-Q,0001045810-26-000052,nvda-20260426.htm,10-Q,https://data.sec.gov/submissions/CIK0001045810.json
2026/05/21 17:39,NVDA,NVIDIA,0001045810,2026-05-20,2026-05-20,8-K,0001045810-26-000051,nvda-20260520.htm,8-K,https://data.sec.gov/submissions/CIK0001045810.json
2026/05/21 17:39,NVDA,NVIDIA,0001045810,2026-05-15,,SD,0001045810-26-000043,a2026formsd.htm,SD,https://data.sec.gov/submissions/CIK0001045810.json
2026/05/21 17:39,NVDA,NVIDIA,0001045810,2026-05-15,2026-03-31,13F-HR,0001045810-26-000042,xslForm13F_X02/primary_doc.xml,,https://data.sec.gov/submissions/CIK0001045810.json
2026/05/21 17:39,NVDA,NVIDIA,0001045810,2026-05-14,2026-05-04,3,0001243821-26-000003,xslF345X06/wk-form3_1778790402.xml,FORM 3,https://data.sec.gov/submissions/CIK0001045810.json
2026/05/21 17:39,NVDA,NVIDIA,0001045810,2026-05-13,,PX14A6G,0001214659-26-006075,b513262px14a6g.htm,,https://data.sec.gov/submissions/CIK0001045810.json
2026/05/21 17:39,NVDA,NVIDIA,0001045810,2026-05-12,2026-01-25,ARS,0001045810-26-000038,a2026-annualxreportxwebxfi.pdf,ARS,https://data.sec.gov/submissions/CIK0001045810.json
2026/05/21 17:39,NVDA,NVIDIA,0001045810,2026-05-12,,DEFA14A,0001045810-26-000037,noticeof2026annualmeeting.htm,DEFA14A,https://data.sec.gov/submissions/CIK0001045810.json
2026/05/21 17:39,NVDA,NVIDIA,0001045810,2026-05-12,2026-06-24,DEF 14A,0001045810-26-000036,nvda-20260512.htm,DEF 14A,https://data.sec.gov/submissions/CIK0001045810.json
2026/05/21 17:39,NVDA,NVIDIA,0001045810,2026-05-08,2026-05-07,8-K,0001045810-26-000028,nvda-20260507.htm,8-K,https://data.sec.gov/submissions/CIK0001045810.json
2026/05/21 17:39,GOOGL,Alphabet,0001652044,2026-05-20,2026-05-18,4,0001193125-26-233121,xslF345X06/ownership.xml,4,https://data.sec.gov/submissions/CIK0001652044.json
2026/05/21 17:39,GOOGL,Alphabet,0001652044,2026-05-19,2026-05-15,4,0001193125-26-231383,xslF345X06/ownership.xml,4,https://data.sec.gov/submissions/CIK0001652044.json
2026/05/21 17:39,GOOGL,Alphabet,0001652044,2026-05-18,2026-05-14,4,0001168404-26-000025,xslF345X06/form4-05182026_100553.xml,,https://data.sec.gov/submissions/CIK0001652044.json
2026/05/21 17:39,GOOGL,Alphabet,0001652044,2026-05-18,,424B5,0001193125-26-228923,d137872d424b5.htm,424B5,https://data.sec.gov/submissions/CIK0001652044.json
2026/05/21 17:39,GOOGL,Alphabet,0001652044,2026-05-18,,PX14A6G,0001214659-26-006524,d518261px14a6g.htm,,https://data.sec.gov/submissions/CIK0001652044.json
2026/05/21 17:39,GOOGL,Alphabet,0001652044,2026-05-15,,144,0001969223-26-000558,xsl144X01/primary_doc.xml,,https://data.sec.gov/submissions/CIK0001652044.json
2026/05/21 17:39,GOOGL,Alphabet,0001652044,2026-05-15,,FWP,0001193125-26-225046,d104539dfwp.htm,FWP,https://data.sec.gov/submissions/CIK0001652044.json
2026/05/21 17:39,GOOGL,Alphabet,0001652044,2026-05-12,,144,0001950047-26-004400,xsl144X01/primary_doc.xml,,https://data.sec.gov/submissions/CIK0001652044.json
2026/05/21 17:39,GOOGL,Alphabet,0001652044,2026-05-12,,144,0001950047-26-004389,xsl144X01/primary_doc.xml,,https://data.sec.gov/submissions/CIK0001652044.json
2026/05/21 17:39,GOOGL,Alphabet,0001652044,2026-05-11,2026-05-11,8-K,0001193125-26-216986,d109021d8k.htm,8-K,https://data.sec.gov/submissions/CIK0001652044.json
2026/05/21 17:39,MSFT,Microsoft,0000789019,2026-05-18,2026-05-14,4,0000789019-26-000075,xslF345X06/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,https://data.sec.gov/submissions/CIK0000789019.json
2026/05/21 17:39,MSFT,Microsoft,0000789019,2026-05-18,2026-05-13,3,0000789019-26-000074,xslF345X06/form3.xml,INITIAL STATEMENT OF BENEFICIAL OWNERSHIP OF SECURITIES,https://data.sec.gov/submissions/CIK0000789019.json
2026/05/21 17:39,MSFT,Microsoft,0000789019,2026-05-14,2026-05-13,8-K,0001193125-26-224155,d125909d8k.htm,8-K,https://data.sec.gov/submissions/CIK0000789019.json
2026/05/21 17:39,MSFT,Microsoft,0000789019,2026-05-14,,144,0001959173-26-003593,xsl144X01/primary_doc.xml,,https://data.sec.gov/submissions/CIK0000789019.json
2026/05/21 17:39,MSFT,Microsoft,0000789019,2026-04-30,,SCHEDULE 13G,0002100119-26-000820,xslSCHEDULE_13G_X02/primary_doc.xml,,https://data.sec.gov/submissions/CIK0000789019.json
2026/05/21 17:39,MSFT,Microsoft,0000789019,2026-04-29,2026-03-31,10-Q,0001193125-26-191507,msft-20260331.htm,10-Q,https://data.sec.gov/submissions/CIK0000789019.json
2026/05/21 17:39,MSFT,Microsoft,0000789019,2026-04-29,2026-04-29,8-K,0001193125-26-191457,msft-20260429.htm,8-K,https://data.sec.gov/submissions/CIK0000789019.json
2026/05/21 17:39,MSFT,Microsoft,0000789019,2026-04-15,2026-04-15,4,0000789019-26-000070,xslF345X06/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,https://data.sec.gov/submissions/CIK0000789019.json
