category,input_value,numeric_rule,judgement_use
定量,良好,データ10/10、売上前年比+5%以上、利益前年比+10%以上、ROE10%以上、決算後反応スコア60点以上、60日最大下落率-15%以内のうち大半を満たす,企業数字と株価反応が同じ方向にそろっている場合だけ良好にする。
定量,中立,データ9/10以上、利益成長はプラスだが弱い、決算後反応50-59点、60日最大下落率-15%から-25%程度,悪くはないが、追加確認なしに中心候補へ上げない。
定量,不十分,重要指標未取得、利益成長マイナス、決算後反応50点未満、60日最大下落率-25%以下、PER/PBRの割高を利益成長で説明できない,再判定では原則として外す。質的イベントだけでは上書きしない。
マクロ,良好,米CPIが市場予想以下、FOMC後の米10年金利上昇が+10bp以内、日銀後に急激な円高・金利急騰がない,市場全体がリスクを取りやすい状態として扱う。
マクロ,中立,米CPIが市場予想比+0.1から+0.2pt程度、米10年金利上昇が+10から+25bp程度、為替変動が通常範囲,候補は残せるが、投入判断は市場確認とセットにする。
マクロ,悪化,米CPIが市場予想比+0.3pt以上、米10年金利が+25bp超上昇、日銀後に円高ショックまたは日本金利急騰,高PER株・半導体・輸出株は特に慎重に扱う。
市場,良好,日経平均/TOPIXが75日線上、イベント後5営業日で-2%以内、VIX20以下、売買代金が極端に縮小していない,候補スコアをそのまま使いやすい状態。
市場,中立,75日線近辺、イベント後5営業日で-2%から-5%、VIX20から25,候補を絞るが、全体停止ではない。
市場,悪化,日経平均/TOPIXが75日線を明確に下回る、イベント後5営業日で-5%超、VIX25超,個別株候補は原則保留または外す。
業種,良好,対象業種指数または代表ETFがイベント後5営業日でTOPIXを+2%以上上回る。関連マクロも追い風。,同じテーマ内で候補順位を上げる根拠にする。
業種,中立,対象業種がTOPIX比±2%以内。追い風と逆風が混在。,個別数字を優先して判定する。
業種,悪化,対象業種がTOPIXを-2%以上下回る。半導体ならSOX急落、銀行なら銀行株指数下落など。,個別に良い材料があっても、候補を一段下げる。
個別,良好,下方修正なし、決算後20営業日でTOPIXを+3%以上上回る、出来高を伴って75日線上を維持,中心候補へ残す根拠にする。
個別,中立,決算後反応はTOPIX比±3%以内、悪材料なし、価格位置は横ばい,追加確認が必要な候補として扱う。
個別,悪化,下方修正、決算後20営業日でTOPIXを-3%以上下回る、75日線を明確に下回る、急落時の出来高増,原則として保留または外す。
質的イベント,追い風,新製品、TOB、政策、提携、供給不足、価格改定などがあり、対象企業の売上・利益・シェアへつながる経路を説明できる,+3点まで。定量・マクロ・市場の悪化を単独で打ち消さない。
質的イベント,中立,イベントはあるが、売上・利益への経路や時期が未確認,点数に影響させず、メモとして残す。
質的イベント,逆風,規制、事故、供給過多、価格下落、競争激化、地政学リスクなどがあり、業績悪化の経路を説明できる,-8点。重大停止に該当する場合は別途カウントする。
