作成時刻,入力ID,キュー種別,優先度,ticker,銘柄またはテーマ,入力項目,入力値,単位,対象期間,資料名,資料日付,URL,確認者,確認区分,反映判定,メモ
2026/6/16 2:52:04,HQ-01-6503.T-PER,財務入力,高,6503.T,三菱電機,PER,,,,,,,,未確認,反映禁止,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。
2026/6/16 2:52:04,HQ-02-6503.T-PBR,財務入力,高,6503.T,三菱電機,PBR,,,,,,,,未確認,反映禁止,BPSまたは自己資本、株価基準日、計算式、出所を揃える。
2026/6/16 2:52:04,HQ-03-6503.T-ROE,財務入力,高,6503.T,三菱電機,ROE,,,,,,,,未確認,反映禁止,親会社株主に帰属する利益と自己資本、または会社公表ROEの出所を記録する。
2026/6/16 2:52:04,HQ-04-6503.T-_,財務入力,高,6503.T,三菱電機,営業利益率,,,,,,,,未確認,反映禁止,売上収益と営業利益を同じ期間で確認し、営業利益率の計算式を残す。
2026/6/16 2:52:04,HQ-05-6503.T-_,財務入力,高,6503.T,三菱電機,今期会社予想,,,,,,,,未確認,反映禁止,今期会社予想の売上・営業利益・純利益・EPSの有無を確認する。
2026/6/16 2:52:04,HQ-06-6503.T-_,財務入力,高,6503.T,三菱電機,前期比増減,,,,,,,,未確認,反映禁止,売上・営業利益・EPSの前年比を、同じ会計基準で確認する。
2026/6/16 2:52:04,HQ-07-6503.T-_,財務入力,高,6503.T,三菱電機,受注またはセグメント寄与,,,,,,,,未確認,反映禁止,候補テーマが全社業績へどれだけ効くか、受注・セグメント売上・利益で確認する。
2026/6/16 2:52:04,HQ-08-6762.T-PER,財務入力,高,6762.T,TDK,PER,,,,,,,,未確認,反映禁止,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。
2026/6/16 2:52:04,HQ-09-6762.T-PBR,財務入力,高,6762.T,TDK,PBR,,,,,,,,未確認,反映禁止,BPSまたは自己資本、株価基準日、計算式、出所を揃える。
2026/6/16 2:52:04,HQ-10-6762.T-ROE,財務入力,高,6762.T,TDK,ROE,,,,,,,,未確認,反映禁止,親会社株主に帰属する利益と自己資本、または会社公表ROEの出所を記録する。
2026/6/16 2:52:04,HQ-11-6762.T-_,財務入力,高,6762.T,TDK,営業利益率,,,,,,,,未確認,反映禁止,売上収益と営業利益を同じ期間で確認し、営業利益率の計算式を残す。
2026/6/16 2:52:04,HQ-12-6762.T-_,財務入力,高,6762.T,TDK,今期会社予想,,,,,,,,未確認,反映禁止,今期会社予想の売上・営業利益・純利益・EPSの有無を確認する。
2026/6/16 2:52:04,HQ-13-6762.T-_,財務入力,高,6762.T,TDK,前期比増減,,,,,,,,未確認,反映禁止,売上・営業利益・EPSの前年比を、同じ会計基準で確認する。
2026/6/16 2:52:04,HQ-14-6762.T-_,財務入力,高,6762.T,TDK,受注またはセグメント寄与,,,,,,,,未確認,反映禁止,候補テーマが全社業績へどれだけ効くか、受注・セグメント売上・利益で確認する。
2026/6/16 2:52:04,HQ-15-_-_,質的テーマ検証,高,複数,半導体製造装置・材料,仮説・実績・反証,,,,,,,,未確認,反映禁止,テーマニュース後に候補銘柄が指数を上回り、かつ受注または利益率に接続している
2026/6/16 2:52:04,HQ-16-_-_,質的テーマ検証,高,複数,AIインフラ・データセンター,仮説・実績・反証,,,,,,,,未確認,反映禁止,需要増が受注・利益・会社コメントに接続し、イベント後反応も強い
2026/6/16 2:52:04,HQ-17-_-_,質的テーマ検証,高,複数,金利・金融,仮説・実績・反証,,,,,,,,未確認,反映禁止,金利環境が利ざや・運用益にプラスで、信用コスト悪化が限定的
