updated_at,ticker,company,gap_type,impact,required_action
2026/05/26 13:33,6920.T,レーザーテック,下落耐性,半導体テーマ急落時に1年保有で耐えられる根拠が弱い。,SOX/NASDAQ/日経平均の下落イベント後1/5/20営業日反応を継続観察する。
2026/05/26 13:33,6762.T,TDK,下落耐性,半導体テーマ急落時に1年保有で耐えられる根拠が弱い。,SOX/NASDAQ/日経平均の下落イベント後1/5/20営業日反応を継続観察する。
2026/05/26 13:33,8035.T,東京エレクトロン,候補スコア未接続,構造優位は評価できるが、購入候補の比較表には入れられない。,PER/PBR/ROE、売上・利益成長、決算後反応、1年騰落を候補表へ追加する。
2026/05/26 13:33,8035.T,東京エレクトロン,割高確認不足,高シェア企業でも、価格が高すぎるか判断できない。,PER/PBR/ROEを公式資料、Yahoo等の取得済み候補表、または手入力で補完する。
2026/05/26 13:33,8035.T,東京エレクトロン,下落耐性,半導体テーマ急落時に1年保有で耐えられる根拠が弱い。,SOX/NASDAQ/日経平均の下落イベント後1/5/20営業日反応を継続観察する。
2026/05/26 13:33,7735.T,SCREEN HD,候補スコア未接続,構造優位は評価できるが、購入候補の比較表には入れられない。,PER/PBR/ROE、売上・利益成長、決算後反応、1年騰落を候補表へ追加する。
2026/05/26 13:33,7735.T,SCREEN HD,割高確認不足,高シェア企業でも、価格が高すぎるか判断できない。,PER/PBR/ROEを公式資料、Yahoo等の取得済み候補表、または手入力で補完する。
2026/05/26 13:33,7735.T,SCREEN HD,下落耐性,半導体テーマ急落時に1年保有で耐えられる根拠が弱い。,SOX/NASDAQ/日経平均の下落イベント後1/5/20営業日反応を継続観察する。
2026/05/26 13:33,6857.T,アドバンテスト,下落耐性,半導体テーマ急落時に1年保有で耐えられる根拠が弱い。,SOX/NASDAQ/日経平均の下落イベント後1/5/20営業日反応を継続観察する。
2026/05/26 13:33,6146.T,ディスコ,割高確認不足,高シェア企業でも、価格が高すぎるか判断できない。,PER/PBR/ROEを公式資料、Yahoo等の取得済み候補表、または手入力で補完する。
2026/05/26 13:33,6146.T,ディスコ,下落耐性,半導体テーマ急落時に1年保有で耐えられる根拠が弱い。,SOX/NASDAQ/日経平均の下落イベント後1/5/20営業日反応を継続観察する。
