focus_rank,ticker,company,priority_group,source_type,score_status,existing_adjusted_score,reference_priority_score,evidence_summary,required_checks,decision_rule
1,2802.T,味の素,既存主候補,既存候補・独立確認,既存スコアあり,69.5,45,プロ参照では補強できないため、既存の量的データと決算確認で独立評価する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応,公式数値がそろった後に量的スコアへ再投入する
2,6762.T,TDK,第2候補,既存候補・テーマ参照,既存スコアあり,70.1,64,成果ポートフォリオの近いテーマに接続。参照先は6516 山洋電気、テーマは半導体・AI・大型成長。業績接続の確認が必須。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応 / テーマが売上・受注・利益率へ接続しているか,公式数値がそろった後に量的スコアへ再投入する
3,6146.T,ディスコ,第2候補,既存候補・テーマ参照,既存スコアあり,69.0,64,成果ポートフォリオの近いテーマに接続。参照先は6516 山洋電気、テーマは半導体・AI・大型成長。業績接続の確認が必須。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応 / テーマが売上・受注・利益率へ接続しているか,公式数値がそろった後に量的スコアへ再投入する
4,7011.T,三菱重工業,優先追加確認,追加候補A,追加データ未投入,未採点,89.0,成果ポートフォリオから追加抽出。テーマは資本財・重工・景気循環、参照リターン+553.9%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,公式数値がそろった後に量的スコアへ再投入する
5,8053.T,住友商事,優先追加確認,追加候補A,追加データ未投入,未採点,41.0,成果ポートフォリオから追加抽出。テーマは資本財・重工・景気循環、参照リターン+214.1%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,公式数値がそろった後に量的スコアへ再投入する
6,9984.T,ソフトバンクG,反応再確認,既存候補・直接参照,既存スコアあり,67.8,76,成果ポートフォリオと直接一致。参照リターン+155.0%。ただし現在価格での後追いリスクを別判定する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応,公式数値がそろった後に量的スコアへ再投入する
7,8316.T,三井住友FG,警戒解除待ち,既存候補・直接参照,既存スコアあり,58.4,76,成果ポートフォリオと直接一致。参照リターン+279.4%。ただし現在価格での後追いリスクを別判定する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応 / 警戒条件の解除可否,解除条件を満たすまで購入候補にしない
8,8306.T,三菱UFJ FG,警戒解除待ち,既存候補・直接参照,既存スコアあり,56.6,76,成果ポートフォリオと直接一致。参照リターン+160.2%。ただし現在価格での後追いリスクを別判定する。,PER/PBR/ROEの同業比較 / 直近決算の売上・利益・EPS成長 / 決算後1日/5日/20営業日の対指数反応 / 警戒条件の解除可否,解除条件を満たすまで購入候補にしない
9,7735.T,SCREEN HD,比較追加確認,追加候補B,追加データ未投入,未採点,12.7,成果ポートフォリオから追加抽出。テーマは半導体・AI・大型成長、参照リターン+109.0%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,公式数値がそろった後に量的スコアへ再投入する
10,7173.T,東京きらぼしFG,優先追加確認,追加候補A,追加データ未投入,未採点,73.8,成果ポートフォリオから追加抽出。テーマは金利・金融、参照リターン+440.3%。同じ式へ入れる前の追加確認枠。,PER、PBR、ROE、直近決算成長率、決算後20営業日反応、60日最大下落率、200日線乖離、出来高倍率,公式数値がそろった後に量的スコアへ再投入する
