"updated_at","ticker","company","official_source_url","http_status","content_length","check_result"
"2026/05/22 14:22","6857.T","アドバンテスト","https://www.advantest.com/ja/investors/ir-library/result/","200","397355","OK"
"2026/05/22 14:22","5801.T","古河電工","https://www.furukawaelectric.com/ir/library/","200","81277","OK"
"2026/05/22 14:22","6920.T","レーザーテック","https://www.lasertec.co.jp/ir/data/","200","32371","OK"
"2026/05/22 14:22","5803.T","フジクラ","https://www.fujikura.co.jp/ir/financials/","200","36381","OK"
"2026/05/22 14:22","9984.T","ソフトバンクG","https://group.softbank/ir/financials/financial_reports","200","392563","OK"
"2026/05/22 14:22","7012.T","川崎重工業","https://www.khi.co.jp/ir/calendar.html","200","133792","OK"
"2026/05/22 14:22","8306.T","三菱UFJ FG","https://www.mufg.jp/ir/index.html","200","45187","OK"
"2026/05/22 14:22","6762.T","TDK","https://www.tdk.com/ja/ir/ir_library/financial/index.html","200","957281","OK"
"2026/05/22 14:22","5802.T","住友電工","https://sumitomoelectric.com/jp/ir/","200","186930","OK"
"2026/05/22 14:22","6146.T","ディスコ","https://www.disco.co.jp/jp/ir/library/fr.html","200","38951","OK"
"2026/05/22 14:22","8316.T","三井住友FG","https://www.smfg.co.jp/investor/financial/latest_statement.html","200","21863","OK"
"2026/05/22 14:22","9983.T","ファーストリテイリング","https://www.fastretailing.com/eng/ir/library/earning.html","200","34680","OK"
"2026/05/22 14:22","8411.T","みずほFG","https://www.mizuho-fg.co.jp/investors/financial/tanshin/index.html","ERROR","","リモート サーバーがエラーを返しました: (403) 使用不可能"
"2026/05/22 14:22","8766.T","東京海上HD","https://www.tokiomarinehd.com/ir/financial/","200","5187","OK"
"2026/05/22 14:22","8750.T","第一生命HD","https://www.daiichilife-group.com/investor/event/","200","153926","OK"
"2026/05/22 14:22","8035.T","東京エレクトロン","https://www.tel.co.jp/ir/library/report/","200","171511","OK"
"2026/05/22 14:22","8725.T","MS&AD","https://www.ms-ad-hd.com/ja/ir/library/earnings.html","200","133119","OK"
"2026/05/22 14:22","7735.T","SCREEN HD","https://www.screen.co.jp/ir","200","68290","OK"
