優先順位,ticker,銘柄,業種,現在の扱い,作業分類,作業優先度,長期安定性点,量的点,質的接続,補完する項目,取得・確認先,10社選定への条件
1,8316.T,三井住友FG,銀行,優先深掘り,確証強化,82.6,83.6,69,金利・銀行/保険(82),公式値照合 / 同業中央値比較,入力済み数値の原資料照合 / 同業3〜5社のPER/PBR/ROE中央値,公式値照合後に6月イベントで再判定
2,8766.T,東京海上HD,保険,優先深掘り,確証強化,79.4,76.2,74,金利・銀行/保険(78),公式値照合 / 同業中央値比較,入力済み数値の原資料照合 / 同業3〜5社のPER/PBR/ROE中央値,公式値照合後に6月イベントで再判定
3,8306.T,三菱UFJ FG,銀行,長期浮上・量的補完,量的補完,70.9,81.6,未補完,金利・銀行/保険(82),PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
4,7011.T,三菱重工,重工・防衛,長期浮上・量的補完,量的補完,69.7,78.1,未補完,防衛・政策(84),PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
5,8058.T,三菱商事,商社,長期浮上・量的補完,量的補完,69.3,78.2,未補完,円安・資源・商社(82),PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
6,6501.T,日立製作所,総合電機・IT,長期浮上・量的補完,量的補完,67.4,73.8,未補完,AI・データセンター(82) / 防衛・政策(72),PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
7,8031.T,三井物産,商社,長期浮上・量的補完,量的補完,67.2,75.6,未補完,円安・資源・商社(77),PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
8,5802.T,住友電工,電線・通信,長期浮上・量的補完,量的補完,66.7,71.4,未補完,AI・データセンター(84),PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
9,5801.T,古河電工,電線・通信,テーマ接続確認,仮説検算,66.7,64.7,68,AI・データセンター(86),過熱・最大下落確認 / 同業中央値比較,5年最大下落率、1年上昇率、PER、出来高急増 / 同業3〜5社のPER/PBR/ROE中央値,仮説と過熱確認後に比較枠へ
10,8001.T,伊藤忠商事,商社,長期浮上・量的補完,量的補完,66.3,72.7,未補完,円安・資源・商社(79),PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
11,6503.T,三菱電機,総合電機・FA,長期浮上・量的補完,量的補完,65.4,70.3,未補完,AI・データセンター(80),PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
12,2802.T,味の素,食品,長期浮上・量的補完,量的補完,65,71.2,未補完,価格転嫁・消費(76),PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
13,1802.T,大林組,建設,長期浮上・量的補完,量的補完,64.3,72.4,未補完,防災・インフラ更新(70),PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
14,8411.T,みずほFG,銀行,量的優先確認,質的接続追加,55.7,79.5,66,未接続,質的接続仮説 / 同業中央値比較,テーマID、政策・金利・資源・受注などの接続根拠 / 同業3〜5社のPER/PBR/ROE中央値,追加確認後に順位再計算
15,8053.T,住友商事,商社,長期浮上・量的補完,量的補完,54.4,81.5,未補完,未接続,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 質的接続仮説 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / テーマID、政策・金利・資源・受注などの接続根拠 / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
16,8002.T,丸紅,商社,長期浮上・量的補完,量的補完,53.3,79.1,未補完,未接続,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 質的接続仮説 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / テーマID、政策・金利・資源・受注などの接続根拠 / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
17,8725.T,MS&AD,保険,長期浮上・量的補完,量的補完,53.1,78.5,未補完,未接続,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 質的接続仮説 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / テーマID、政策・金利・資源・受注などの接続根拠 / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
18,1605.T,INPEX,エネルギー,長期浮上・量的補完,量的補完,51.9,75.8,未補完,未接続,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 質的接続仮説 / 同業中央値比較,決算短信、IR、EDINET、J-Quants等の公式・準公式データ / 直近決算、過去決算、通期予想 / 株価時系列、日経平均またはTOPIXとの超過リターン / テーマID、政策・金利・資源・受注などの接続根拠 / 同業3〜5社のPER/PBR/ROE中央値,購入候補化前に補完必須
