順位,コード,銘柄,テーマ,役割,最終扱い,実用スコア,4項目平均,信頼度,5年CAGR,10年CAGR,1年騰落,60日騰落,5年最大下落,1年最大下落,1年ボラ,PER,PBR,ROE,警戒点,選定理由
1,7011.T,三菱重工業,電力・冷却・インフラ,電力・冷却・大型インフラ,通過,57.9,57.9,100,65.7,27,15,-27.2,-35.8,-27.2,42.1,34.7,4.3,12.2,,実用スコア57.9点、5年CAGR65.7%、10年CAGR27%、5年S&P差53.2%。警戒点: 重大な警戒表示なし。
2,6503.T,三菱電機,電力・冷却・FA,電力機器・冷却・FA,通過,55.7,55.7,100,33.7,20,123.1,8.9,-34,-16.3,35.8,26.1,2.8,9.7,,実用スコア55.7点、5年CAGR33.7%、10年CAGR20%、5年S&P差21.3%。警戒点: 重大な警戒表示なし。
3,6501.T,日立製作所,電力・データセンター,送配電・電力制御,通過,52.9,52.9,100,37.8,28.9,30.3,4.3,-38.7,-22.8,40.3,26.8,3.5,12.9,,実用スコア52.9点、5年CAGR37.8%、10年CAGR28.9%、5年S&P差25.3%。警戒点: 重大な警戒表示なし。
4,5803.T,フジクラ,データセンター・電力・電線,光配線・高速ケーブル,条件付き通過,69.4,69.4,100,132.4,50.3,314.9,-0.3,-50.7,-45.3,72.6,48.5,13.5,32.5,1年急騰 / 1年下落深い / ボラ高い,実用スコア69.4点、5年CAGR132.4%、10年CAGR50.3%、5年S&P差119.9%。警戒点: 1年急騰、1年下落深い、ボラ高い。
5,5801.T,古河電工,データセンター・電力・電線,光ファイバー・電力線・放熱,条件付き通過,68.1,68.1,100,80.6,37.2,622.5,69,-52.1,-19.5,77.4,43,8.5,19.1,1年急騰 / 60日急騰 / ボラ高い,実用スコア68.1点、5年CAGR80.6%、10年CAGR37.2%、5年S&P差68.1%。警戒点: 1年急騰、60日急騰、ボラ高い。
6,5802.T,住友電工,データセンター・電力・電線,光ファイバー・電力ケーブル,条件付き通過,67.1,67.1,100,53.5,26.5,308,13.1,-41.4,-22,59,26,3,14.7,1年急騰,実用スコア67.1点、5年CAGR53.5%、10年CAGR26.5%、5年S&P差41.1%。警戒点: 1年急騰。
7,6857.T,アドバンテスト,半導体製造装置,AI半導体テスター,条件付き通過,56.7,56.7,100,61.2,57.8,237.4,-0.3,-51.4,-28.9,65.3,42,24.6,57.7,1年急騰 / ボラ高い,実用スコア56.7点、5年CAGR61.2%、10年CAGR57.8%、5年S&P差48.7%。警戒点: 1年急騰、ボラ高い。
8,6146.T,ディスコ,半導体製造装置,切断・研削・先端パッケージ,条件付き通過,52.7,53.6,92,44,36.4,86.1,-13.7,-65.2,-24.7,58.7,0,12.3,25.2,5年下落深い,実用スコア52.7点、5年CAGR44%、10年CAGR36.4%、5年S&P差31.5%。警戒点: 5年下落深い。
9,8035.T,東京エレクトロン,半導体製造装置,前工程装置,補欠,48,48.8,92,29.6,38.3,120.8,21.3,-55.8,-28.8,49.8,0,10.8,29.6,5年下落深い,実用スコア48点、5年CAGR29.6%、10年CAGR38.3%、5年S&P差17.1%。警戒点: 5年下落深い。
10,7735.T,SCREEN HD,半導体製造装置,洗浄装置,補欠,44.8,44.8,100,36.6,25.6,108.4,-0.7,-59.1,-23.8,52.4,18.6,4.2,20.3,5年下落深い,実用スコア44.8点、5年CAGR36.6%、10年CAGR25.6%、5年S&P差24.1%。警戒点: 5年下落深い。
