record_type,event_id,ticker,item,status,amount_yen,actual,memo,reason,created_at
decision,,,overall_decision,未入力あり：新規投入0円,0,,,イベント結果を入力後、画面上で自動判定する,2026/05/20 11:25
event,E01,,米5月CPI,未入力,,,,インフレ再加速が限定的、米10年金利が急騰しない、NASDAQ/SOXが大崩れしない,2026/05/20 11:25
event,E02,,日銀会合,未入力,,,,急な円高ショックなし、日本株全体が75日線を大きく割らない,2026/05/20 11:25
event,E03,,FOMC,未入力,,,,米長期金利が急騰せず、リスク許容度が崩れない,2026/05/20 11:25
event,E04,,最終購入前確認,未入力,,,,下方修正なし、指数75日線割れなし、候補価格が許容範囲,2026/05/20 11:25
allocation,,2802.T,味の素,イベント通過後候補,0,,食品・高PER。全通過でも初回は8万円まで。CPI/金利悪化時は追わない。,全通過時 80000円 / 注意時 50000円,2026/05/20 11:25
allocation,,8058.T,三菱商事,イベント通過後候補,0,,商社・資源/円安/還元。全通過時の主力候補。日銀後の日本株地合いを確認。,全通過時 120000円 / 注意時 80000円,2026/05/20 11:25
allocation,,8035.T,東京エレクトロン,イベント通過後候補,0,,半導体。AI/SOXが追い風なら候補。ただし金利急騰と指数急落に弱い。,全通過時 60000円 / 注意時 0円,2026/05/20 11:25
allocation,,8306.T,三菱UFJ,監視のみ,0,,銀行。金利テーマ候補だが、初回投入では監視中心。,全通過時 0円 / 注意時 0円,2026/05/20 11:25
allocation,,9433.T,KDDI,監視のみ,0,,通信の守り枠。指数超過の主役ではないため初回投入は見送り。,全通過時 0円 / 注意時 0円,2026/05/20 11:25
allocation,,7974.T,任天堂,初回除外,0,,ゲーム・新ハード期待はあるが初回除外。数字確認後の監視。,全通過時 0円 / 注意時 0円,2026/05/20 11:25
allocation,,6857.T,アドバンテスト,初回除外,0,,半導体装置で感応度が高い。現段階は初回除外。,全通過時 0円 / 注意時 0円,2026/05/20 11:25
allocation,,4519.T,中外製薬,初回除外,0,,医薬。決算・薬価・主力品リスクを確認するまで初回除外。,全通過時 0円 / 注意時 0円,2026/05/20 11:25
