updated_at,ticker,company_name,metric_group,official_field,score_area,score_field,formula_after_confirmation,priority,candidate_values,current_status,required_confirmation,source_url,score_bridge_status
2026/05/19 16:31,2802.T,味の素,sales,売上高または売上収益,成長力,sales_growth_pct,(当期売上 - 前期売上) ÷ 前期売上 × 100,高,"03 / -5250 / -8111 / 1 / 2026 / 3 / 1,583,719 / 3.5 / 181,163 / 13.7",候補抽出済み・原文確認待ち,PDF原文の表で、項目名・対象期間・単位・前年比を確認,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,参考反映候補
2026/05/19 16:31,2802.T,味の素,eps,EPS・1株当たり利益,成長力・株主価値,eps_growth_pct,(当期EPS - 前期EPS) ÷ 前期EPS × 100,高,2030 / 3 / 50％,候補抽出済み・原文確認待ち,PDF原文の表で、項目名・対象期間・単位・前年比を確認,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,参考反映候補
2026/05/19 16:31,2802.T,味の素,dividend,年間配当・配当利回り,株主還元,dividend_yield_pct,年間配当 ÷ 株価 × 100,中,"2026 / 3 / 239,351 / 84,229 / 225,603 / 106,693 / 2025 / 209,898 / 77,382 / 137,684 / 164,776 / 1 / 2 / 40.00",候補抽出済み・原文確認待ち,PDF原文の表で、項目名・対象期間・単位・前年比を確認,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,参考反映候補
2026/05/19 16:31,2802.T,味の素,buyback,自社株買い金額または自己株式数,株主還元,buyback_amount_million_yen,自社株買い上限金額を百万円単位へ換算,中,"1株 / 1,723,000 / 8.8 / 197,000 / 8.7 / 120,000 / 10.9 / 126.16 / 2026 / 3 / 977,735,616株 / 2025 / 1,005,637,616株 / 19,290,839株",候補抽出済み・原文確認待ち,PDF原文の表で、項目名・対象期間・単位・前年比を確認,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,参考反映候補
2026/05/19 16:31,2802.T,味の素,forecast,会社予想・通期見通し,決算期待値,forecast_revision_or_growth,会社予想の前年比または前回予想比,高,"31,899 / 30.1 / 346.29 / 2025 / 3 / 1,112,861 / 360,605 / 32.4 / 362.64 / 2026 / 331,899百万円 / 360,605百万円 / 2027 / 4",候補抽出済み・原文確認待ち,PDF原文の表で、項目名・対象期間・単位・前年比を確認,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,参考反映候補
2026/05/19 16:31,2802.T,味の素,operating_profit,営業利益,成長力・利益率,operating_profit_growth_pct,(当期営業利益 - 前期営業利益) ÷ 前期営業利益 × 100,高,"19,290,839株 / 2025 / 3 / 11,237,848株 / 2026 / 973,367,344株 / 1,007,203,566株 / 1 / 317,757 / 1.3 / 20,216 / 121,248 / 2.0 / 142,812",候補抽出済み・原文確認待ち,PDF原文の表で、項目名・対象期間・単位・前年比を確認,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,参考反映候補
2026/05/19 16:31,2802.T,味の素,net_income,純利益または親会社帰属利益,成長力,net_income_growth_pct,(当期利益 - 前期利益) ÷ 前期利益 × 100,中,"9株 / 2025 / 3 / 11,237,848株 / 2026 / 973,367,344株 / 1,007,203,566株 / 1 / 317,757 / 1.3 / 20,216 / 121,248 / 2.0 / 142,812",候補抽出済み・原文確認待ち,PDF原文の表で、項目名・対象期間・単位・前年比を確認,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,参考反映候補
2026/05/19 16:31,6857.T,アドバンテスト,sales,売上高または売上収益,成長力,sales_growth_pct,(当期売上 - 前期売上) ÷ 前期売上 × 100,高,"2026 / 7 / 31 / 6 / 2 / 26 / 1 / 3 / 1,128,610 / 44.7 / 499,120 / 118.8",候補抽出済み・原文確認待ち,PDF原文の表で、項目名・対象期間・単位・前年比を確認,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf,参考反映候補
2026/05/19 16:31,6857.T,アドバンテスト,eps,EPS・1株当たり利益,成長力・株主価値,eps_growth_pct,(当期EPS - 前期EPS) ÷ 前期EPS × 100,高,"5,353 / 132.9 / 432,230 / 189.3 / 2025 / 3 / 779,707 / 60.3 / 228,161 / 179.5 / 224,774 / 187.5 / 161,177 / 158.8",候補抽出済み・原文確認待ち,PDF原文の表で、項目名・対象期間・単位・前年比を確認,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf,参考反映候補
2026/05/19 16:31,6857.T,アドバンテスト,dividend,年間配当・配当利回り,株主還元,dividend_yield_pct,年間配当 ÷ 株価 × 100,中,03 / -3214 / -7500 / 2026 / 7 / 31 / 6 / 2 / 26 / 1,候補抽出済み・原文確認待ち,PDF原文の表で、項目名・対象期間・単位・前年比を確認,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf,参考反映候補
