ticker,name,theme,evidence_level,official_or_observed_evidence,source,usage_limit,next_check
8306.T,三菱UFJ FG,銀行・金利・資本政策,公式財務確認,2026年3月期は経常収益+7.3%・経常利益+27.7%・純利益+30.3%・ROE11.3%。FY2027純利益目標27000億円・配当予想96円。普通株式等Tier1比率12.47%も確認。,三菱UFJフィナンシャル・グループ 2026年3月期決算短信・3Q決算短信,金利上昇だけで買付根拠にしない。過去イベント反応が反証注意のため、銀行セクター指数・信用コスト・日銀政策後反応を確認するまで監視,日銀政策・長期金利・銀行セクター指数・信用コスト・イベント後20営業日反応を更新
8058.T,三菱商事,商社・資源・株主還元,公式財務確認,2026年3月期は親会社所有者帰属当期利益-15.8%だがFY2027会社予想は同利益+37.4%・EPS300.42円・年間配当予想125円。累進配当と自己株式取得方針も確認。,三菱商事 2026年3月期決算短信・決算説明会資料,今期減益のため質的材料だけで買付根拠にしない。資源価格・円高・商社セクター反応・イベント後20営業日を併用,資源価格・円ドル・商社指数・決算後反応を更新
8031.T,三井物産,商社・資源・株主還元,公式資料確認,公式決算でFY2027会社予想の親会社所有者帰属当期利益+10.3%、EPS324.61円、年間配当予想140円を確認。ただし2026年3月期は収益-4.6%、親会社所有者帰属当期利益-7.4%で、直近実績は減収減益。,三井物産 2026年3月期決算短信・決算説明会資料,質的根拠は監視・比較の補助まで。資源市況・円高・商社セクター反応・決算後反応が未接続のため、この材料だけでは買付候補に上げない。,D+1/D+5/D+20の日次株価と日経平均差を取得し、資源・商社テーマが実際に買われたか確認。
8750.T,第一生命HD,保険・金利・資産運用,公式資料確認,公式決算で経常収益+14.5%、ROE11.1%、FY2027会社予想の経常利益+15.3%、親会社株主帰属純利益+17.5%、新契約年換算保険料+5.6%、保有契約年換算保険料+9.6%を確認。,第一ライフグループ 2026年3月期決算短信・財務業績の概要,保険・金利テーマの補助根拠として使う。海外保険、金利変化、保険セクター反応、決算後反応が未接続のため、この材料だけでは買付候補に上げない。,D+1/D+5/D+20の日次株価と日経平均差を取得し、金利・保険テーマが実際に買われたか確認。
6762.T,TDK,フィジカルAI・電子部品・電源部品,公式財務確認＋決算後反応確認,2026年3月期で売上+3.0%・営業利益+13.8%・EPS+17.0%を確認。決算後20営業日で対日経平均+41.6%を確認。,TDK 2026年3月期公式PDF・273_top20_earnings_reaction_completed.csv,AIサーバーやフィジカルAIへの寄与比率は未分離。単独の質的加点ではなく財務・価格・指数条件と併用。,電子部品・電源・センサー・電池関連のセグメント寄与と在庫循環を確認
8316.T,三井住友FG,金利・銀行・株主還元,公式財務確認＋決算後反応確認,主要公式財務はpass。決算後20営業日で対日経平均+4.97%を確認。6月イベント後も+4.31%を確認。,三井住友FG IR/決算短信・273_top20_earnings_reaction_completed.csv・106_june_event_engine_output.csv,金利上昇が必ず利益増になるとは限らない。信用コスト・日銀方針・銀行株全体の反応と併用。,資金利益・信用コスト・自己株式取得・銀行株指数との比較を更新
6503.T,三菱電機,電力・FA・データセンター周辺,公式財務確認＋反応弱さ確認,2026年3月期で売上+7%・営業利益+11%・ROE9.7%・自己資本比率60.9%を確認。ただし決算後20営業日は対日経平均-11.55%。,三菱電機 FY2026決算資料・273_top20_earnings_reaction_completed.csv,財務は改善しているが株価反応は弱い。質的テーマだけで増額しない。,FA・電力制御・データセンター関連の受注や利益率が全社利益に効くか確認
8053.T,住友商事,商社・資源・還元,公式財務確認＋反応弱さ確認,主要公式財務はpass。決算後1日と5日はプラスだが20営業日は対日経平均-14.91%。,住友商事IR/決算資料・273_top20_earnings_reaction_completed.csv,資源・還元テーマは説明材料に留める。20営業日反応が弱いため追加は指数比較の改善後。,資源価格・為替・非資源利益・還元方針・商社株全体との比較を更新
6501.T,日立製作所,AIインフラ・電力・デジタル,公式財務確認＋反応弱さ確認,主要公式財務はpass。ただし決算後20営業日は対日経平均-13.12%。,日立公式IRページ・273_top20_earnings_reaction_completed.csv,AIインフラや電力テーマはあるが、直近反応が弱いため初回は小口まで。,エナジー・デジタル・Lumada・受注・利益率の寄与を確認
6503.T,三菱電機,エネルギーシステム・データセンター周辺需要,公式セグメント確認,"エネルギーシステムは売上高4,733億円（+771）・営業利益453億円（+178）・営業利益率9.6%（+2.7pt）。再生可能エネルギー拡大とデータセンター増設を背景に需要堅調。",三菱電機 2026年3月期 決算説明会資料 P9 / p1_segment_ai_confirmation_draft_20260615.csv,データセンター一般論ではなく、エネルギーシステムの受注・売上・利益率とセットで扱う。決算後20営業日反応は弱いため増額根拠にはしない。,受注高の継続・電力流通事業の利益率・6月以降の指数比を更新
