ticker,name,updated_at,source,period,official_values_confirmed,market_derived_items,gate_change,remaining_checks
8306.T,三菱UFJ FG,2026-06-21,三菱UFJフィナンシャル・グループ 2026年3月期決算短信 8306_FY2026_FULL.pdf・3Q決算短信 8306_FY2026_3Q.pdf,2026年3月期,経常収益+7.3%・経常利益+27.7%・親会社株主帰属当期純利益+30.3%・EPS213.17円・ROE11.3%・BPS1973.31円・自己資本比率5.2%・年間配当86円・FY2027親会社株主帰属当期純利益目標27000億円・年間配当予想96円・総自己資本比率16.85%・普通株式等Tier1比率12.47%を確認,2026-06-19株価3275円基準でPER約15.36倍・PBR約1.66倍を概算。注文前に証券会社画面で再確認,financial_status 補助/注意 から pass 候補に更新,公式財務は確認済み。ただしイベント反証と銀行セクター反応の弱さが残るため買付根拠にはしない
8058.T,三菱商事,2026-06-21,三菱商事 2026年3月期決算短信 202605j.pdf・決算説明会資料 20260501j.pdf,2026年3月期,収益+1.6%・税引前利益-21.3%・当期利益-14.8%・親会社所有者帰属当期利益-15.8%・EPS210.92円・ROE8.5%・BPS2578.33円・親会社所有者帰属持分比率39.1%・FY2027会社予想親会社所有者帰属当期利益+37.4%・EPS300.42円・年間配当予想125円を確認,PER/PBRは株価基準日で再計算。今期は減益実績のため買付根拠はFY2027予想と株主還元の確認に限定,financial_status 補助 から pass 候補に更新,イベント検証は暫定補助。商社セクター・資源価格・円高・指数比を継続確認
8031.T,三井物産,2026-06-21,三井物産 2026年3月期決算短信 ja_263_4q_ta.pdf・決算説明会資料 ja_263_4q_ppt.pdf,2026年3月期,収益-4.6%・税引前利益-4.2%・当期利益-6.2%・親会社所有者帰属当期利益-7.4%・EPS291.12円・ROE10.2%・BPS3093.56円・親会社所有者帰属持分比率42.1%・FY2027会社予想親会社所有者帰属当期利益+10.3%・EPS324.61円・年間配当予想140円を確認,PER/PBRは株価基準日で再計算。今期は減収減益のため買付根拠は翌期予想・還元・資源価格の再確認に限定,financial_status 補助 から pass 候補に更新,イベント後反応と質的実績層が未接続。買付根拠ではなく監視補強
8750.T,第一生命HD,2026-06-21,第一ライフグループ 2026年3月期決算短信 2025_001.pdf・財務業績の概要 index_016.pdf,2026年3月期,経常収益+14.5%・経常利益-0.3%・親会社株主帰属当期純利益-4.8%・EPS119.83円・ROE11.1%・経常収益経常利益率6.7%・FY2027会社予想経常利益+15.3%・親会社株主帰属純利益+17.5%・EPS142.46円・新契約年換算保険料+5.6%・保有契約年換算保険料+9.6%を確認,PER/PBRは株価基準日で再計算。保険KPIは確認済みだが金利感応・海外保険の弱さは継続確認,financial_status 補助 から pass 候補に更新,イベント後反応と質的実績層が未接続。買付根拠ではなく監視補強
6503.T,三菱電機,2026-06-21,三菱電機 FY2026 Consolidated Financial Results 2026-04-28/2026-06-11訂正資料,2026年3月期,売上+7%・営業利益+11%・営業利益率7.3%・ROE9.7%・自己資本比率60.9%・FCF2315億円・FY2027会社予想売上+5%・FY2027調整営業利益+18%,PER/PBRは株価基準日で再計算,financial_status partial から pass に更新,6月イベント後反応・指数比・質的材料の過去反応検証は継続
6762.T,TDK,2026-06-21,TDK 2026年3月期公式PDF・2026年3月期3Q公式PDF・required_field_matrix接続値,2026年3月期,売上+3.0%・営業利益+13.8%・EPS+17.0%・PER26.7倍・PBR2.75倍・ROE9.81%・3Q比で売上とEPS改善,PER/PBRは株価基準日で再確認,financial_status partial から pass に更新,電子部品サイクル・為替・イベント後20営業日反応・受注またはセグメント寄与は継続
6857.T,アドバンテスト,2026-06-21,アドバンテスト 2026年3月期公式PDF・2026年3月期3Q公式PDF,2026年3月期,売上+44.7%・営業利益+118.8%・EPS+135.6%・PER42倍・PBR24.55倍・ROE57.65%を確認,PER/PBRは株価基準日で再確認,financial_status partial から pass に更新,高PER・高PBR・1年上昇率・決算後反応弱めのため初回買付対象にはしない
8035.T,東京エレクトロン,2026-06-21,東京エレクトロン 2026年3月期決算短信 FY26Q4,2026年3月期,売上+0.5%・営業利益-10.4%・EPS1254.57円・ROE29.6%・営業利益率25.6%・FY2027中間会社予想売上+33.1%/営業利益+42.2%を確認,PER/PBRは株価基準日で再確認,financial_status partial から pass に更新,減益・PBR高・下落耐性不足・半導体サイクル確認のため初回買付対象にはしない
8053.T,住友商事,2026-06-21,住友商事 FY2025 Consolidated Financial Results 2026-05-01,2026年3月期,収益+0.6%・親会社所有者帰属利益+6.8%・EPS499.09円・ROE12.9%・親会社所有者帰属持分比率33.9%・営業CF8134.56億円・年間配当150円・FY2027会社予想利益6300億円+4.9%を確認,PER/PBRは株価基準日と2026年7月株式分割調整で再確認,financial_detail_ready を YES に更新,資源価格・円高・商社セクター反応・決算後20営業日反応が弱い点は継続確認
8316.T,三井住友FG,2026-06-21,SMFG FY2025 ended March 31 2026 Consolidated financial results 2026-05-13,2026年3月期,経常収益+6.1%・経常利益+34.0%・親会社株主帰属利益+34.4%・EPS411.97円・ROE10.4%・BPS4135.71円・年間配当157円・FY2027会社予想利益1兆7000億円+7.4%を確認,PER/PBRは株価基準日と2026年10月株式分割調整で再確認,financial_detail_ready を YES に更新,信用コスト・日銀政策・長期金利カーブ・銀行セクター反応は継続確認
6501.T,日立製作所,2026-06-21,日立製作所 2026年3月期決算短信・2026年3月期連結決算の概要,2026年3月期,売上収益+8.2%・調整後営業利益+23.4%・Adjusted EBITA+21.0%・親会社株主帰属利益+30.3%・EPS176.76円・ROE12.9%・BPS1459.71円・調整後営業利益率11.3%・FY2027会社予想売上+4.8%/調整後営業利益+9.6%を確認,PER/PBRは株価基準日で再計算。DSS国内売上+7%・GlobalLogic/HDS・HMAX・エナジー需要は質的実績層で確認,financial_detail_ready を YES に更新,決算後20営業日反応が弱いためイベント根拠にはしない。エナジー・DSS・Lumada・受注残・指数比は継続確認
7011.T,三菱重工,2026-06-21,三菱重工 2025年度決算短信・決算説明資料,2026年3月期,受注高+19.5%・売上収益+14.1%・事業利益+21.8%・親会社所有者帰属利益+35.3%・EPS98.86円・ROE12.2%・BPS919.16円・親会社所有者帰属持分比率37.3%・FY2027会社予想売上+8.6%/事業利益+24.9%を確認,PER/PBRは株価基準日で再計算。防衛・エナジー・航空宇宙の受注と利益寄与は質的実績層で確認,financial_status partial から pass に更新,100社再選定で除外、価格過熱・反動・指数劣後注意のため初回買付対象にはしない
6146.T,ディスコ,2026-06-21,ディスコ 2026年3月期公式決算PDF・2026年3月期3Q公式PDF・top10公式2期入力,2026年3月期,売上+36.4%・営業利益+47.6%・親会社株主帰属利益+36.0%・EPS1082.34円・PBR12.32倍・ROE25.15%・PER約79倍を確認,PERは2026-06-19株価85420円/EPS1082.34円で概算。PBR/ROEは既存取得済み指標を公式財務と併用,financial_status partial から pass に更新,高PER・高PBR・高ボラ・決算後反応弱めのため初回買付対象にはしない
5803.T,フジクラ,2026-06-21,フジクラ 2026年3月期TDnet決算PDF・2026年3月期3Q決算PDF・top10公式2期入力,2026年3月期,売上+20.7%・営業利益+39.2%・親会社株主帰属利益+72.5%・EPS94.93円・PER48.47倍・PBR13.49倍・ROE32.48%を確認,PER/PBR/ROEは2026-05-25時点の取得済み指標。4月株式分割影響と株価基準日は再確認,financial_status partial から pass に更新,1年上昇率346.2%・60日最大下落-45.3%・イベント後-5.67%のため初回買付対象にはしない
5801.T,古河電工,2026-06-21,古河電気工業 2026年3月期決算短信 5801_FY2026_FULL.pdf・3Q決算短信 5801_FY2026_3Q.pdf,2026年3月期,売上高+8.8%・営業利益+35.8%・経常利益+56.4%・親会社株主帰属当期純利益+117.4%・EPS1030.17円・ROE19.1%・BPS5928.21円・自己資本比率39.1%・年間配当210円・FY2027会社予想売上高+11.7%・営業利益+48.8%・当期純利益+13.1%を確認,PER/PBRは株価基準日で再計算。2026年7月予定の1:10株式分割を考慮して再確認,financial_status 補助 から pass 候補に更新,価格未取得・イベント未検証・質的実績層未接続のため買付根拠にはしない
5802.T,住友電工,2026-06-21,住友電気工業 2026年3月期決算短信 5802_FY2026_FULL.pdf / 3Q決算短信 5802_FY2026_3Q.pdf,2026年3月期,"売上高5,110,171百万円(+9.2%)、営業利益418,173百万円(+30.4%)、経常利益431,274百万円(+39.3%)、親会社株主帰属当期純利益369,508百万円(+90.7%)、EPS473.78円、自己資本当期純利益率14.7%、総資産経常利益率9.3%、営業利益率8.2%、自己資本比率56.9%、BPS3,517.58円、営業CF425,192百万円、FY2027会社予想売上5,300,000百万円(+3.7%)","PER/PBRは2026-06-19株価13,390円基準で再計算が必要。2026年7月1日予定の1:4株式分割をまたぐため、注文前に株価・EPS・BPSの基準をそろえる。",financial_status 補助/注意 から pass 候補へ更新,イベント後1日/5日/20営業日反応は未接続。価格過熱と分割前後の指標整合を確認。
7012.T,川崎重工業,2026-06-21,川崎重工業 2026年3月期決算短信 7012_FY2026_FULL.pdf / 3Q決算短信 7012_FY2026_3Q.pdf,2026年3月期,"連結受注高2兆7,391億円(+1,084億円)、売上収益2兆3,112億円(+1,819億円)、事業利益1,451億円(+19億円)、親会社所有者帰属当期利益1,081億円(+201億円)、事業利益率6.3%、税後ROIC9.0%、ROE13.7%、BPS1,050.57円、FY2027会社予想売上収益2,560,000百万円(+10.8%)、事業利益170,000百万円(+17.2%)、EPS131.61円",PER/PBRは価格未取得のため現在株価で未計算。注文前に株価を取得して再計算する。,financial_status 補助/注意 から pass 候補へ更新,価格未取得、イベント後反応未接続、コンプライアンス事案の継続確認が残るため買付候補にはしない。
8766.T,東京海上HD,2026-06-22,東京海上HD 2025年度期末 決算短信 data/official_ir_pdfs/8766_T_3_決算短信.pdf、決算説明資料 data/official_ir_pdfs/8766_T_4_決算説明資料.pdf,2026年3月期,"経常収益8,872,277百万円（+5.1%）、経常利益1,348,630百万円（-7.6%）、親会社株主帰属当期純利益980,428百万円（-7.1%）、EPS515.55円（-4.9%）、自己資本比率17.0%（+0.7pt）、営業CF584,259百万円（-56.6%）、年間配当218円（+26.7%）、2027年3月期会社予想当期利益830,000百万円をPDF本文照合済み。",PER/PBRは注文前の株価基準日で再計算。保険業のため自己資本比率・CFは一般事業会社と同列比較しない。,文字化けしていた公式財務根拠を修正。financial_status pass 候補として整理。,決算後20営業日反応は弱く、通常Aへ上げない。保険セクター、金利、自然災害損害、資本政策を継続確認。
