section,title,url,description
まず見る画面,実用パート 運用フロー,914_daily_operation_flow_20260606.html,今日見る、イベント後に見る、購入前に見る、記録する、の4段階で確認する。
まず見る画面,6月実行コックピット,895_june_execution_cockpit_20260606.html,6月イベント後に、何を見るか、何なら止めるか、次に何をするかを1画面で確認する。
まず見る画面,6月イベント 実数入力シート,912_june_event_actual_input_sheet_20260606.html,CPI、日銀、FOMC後の実数と判定を入力し、判定用CSVを出力する。
まず見る画面,6月イベント実数 反映ワークフロー,post_0618_event_reflection_workflow_20260613.html,イベント入力後に、候補10社・資金配分・当日運用ボードへどう反映されるか確認する。
まず見る画面,銘柄別イベント判定エンジン,june_event_gate_engine.html,イベント結果CSVに連動して、銘柄別の延期・保留・候補復帰を確認する。
まず見る画面,6月ゲート運用表,june_gate_operation.html,18日以降に、イベント入力状況、候補10社、停止条件を一画面で確認する。
まず見る画面,240万円 資金配分ゲート,capital_allocation_plan.html,緑・黄・赤の判定に応じた初回投入上限と現金待機額を確認する。
まず見る画面,購入前 最終ゲートチェック,910_prebuy_final_gate_checklist_20260606.html,市場、候補、NISA口座、税制、記録がそろっているか確認する。
まず見る画面,6月イベント判定エンジン,893_june_event_gate_engine_20260606.html,CPI、金利、SOX、NASDAQ、VIXなどを緑・黄・赤で判定する。
まず見る画面,6月候補別アクション分岐表,894_june_candidate_action_after_gate_20260606.html,市場ゲート後に、アドバンテスト、ディスコ、日立、フジクラ、TDKなどをどう扱うか確認する。
まず見る画面,6月イベント後 実データ入力・入替記録,892_june_event_actual_input_and_replacement_log_20260606.html,イベント後の実数と、候補を入れ替えた理由を記録する。
候補選定・テーマ判断,6月テーマ候補 実行判定表,891_june_theme_execution_matrix_20260605.html,テーマ候補ごとの必要データ、通過条件、停止条件を確認する。
候補選定・テーマ判断,6月テーマ候補 統合ゲート,890_june_theme_integration_gate_20260605.html,既存10社を基準に、テーマ候補を入れる条件を確認する。
候補選定・テーマ判断,テーマ別候補 横並び比較,889_cross_channel_candidate_comparison_20260605.html,総合、半導体、データセンター、フィジカルAI、量子の候補を横並びで見る。
候補選定・テーマ判断,フィジカルAI・量子 数値接続,887_quantum_physical_ai_quant_connection_20260605.html,フィジカルAI・量子候補が既存データに接続できているか確認する。
候補選定・テーマ判断,フィジカルAI・量子 昇格作業キュー,888_quantum_physical_ai_promotion_queue_20260605.html,購入候補に近いもの、補完後候補、長期探索を分ける。
NISA準備・口座運用,NISA口座運用ハブ,882_nisa_account_operation_hub_20260605.html,本人操作、証券会社確認、提案資料、注文票の入口。
NISA準備・口座運用,NISA購入準備 進捗ダッシュボード,883_nisa_readiness_dashboard_20260605.html,本人別の口座準備、スマホ準備、入金、注文票の進捗を見る。
NISA準備・口座運用,NISA証券会社 確認依頼テンプレート,884_nisa_broker_contact_templates_20260605.html,証券会社へ確認する内容を整理する。
NISA準備・口座運用,NISA本人別 注文票テンプレート,879_nisa_person_order_ticket_20260605.html,本人が確認して発注するための注文票を作る。
補足資料・記録,NISA 1年テスト運用計画,nisa_one_year_test_operation_plan_20260527.html,NISA 1年保有テストの運用目的、記録項目、リスクルールを見る。
補足資料・記録,運用記録CSV,https://raw.githubusercontent.com/ob198-cpu/kabu/main/operation_record_template_20260529.csv,判断理由、予想、実績、差分を記録するテンプレート。
補足資料・記録,税制レイヤー Phase 1,842_tax_aware_operation_layer_phase1_20260602.html,NISA、課税口座、損益通算などの確認補助。
補足資料・記録,NISA口座操作時の注意 PDF,nisa_multi_account_pc_ip_risk_report_20260531.pdf,本人操作、別名義口座の注意点、誤解を避ける運用方法を確認する。
