updated_at,ticker,code4,match_status,edinet_code,submitter_name,submitter_name_en,securities_code,industry,fiscal_year_end,listed_flag,consolidated_flag,corporate_number,source_url
2026/05/21 17:39,7203.T,7203,取得済み,E02144,トヨタ自動車株式会社,TOYOTA MOTOR CORPORATION,72030,輸送用機器,3月31日,上場,有,1180301018771,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/codelist/Edinetcode.zip
2026/05/21 17:39,6758.T,6758,取得済み,E01777,ソニーグループ株式会社,SONY GROUP CORPORATION,67580,電気機器,3月31日,上場,有,5010401067252,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/codelist/Edinetcode.zip
2026/05/21 17:39,8306.T,8306,取得済み,E03606,株式会社三菱ＵＦＪフィナンシャル・グループ,"Mitsubishi UFJ Financial Group, Inc.",83060,銀行業,3月31日,上場,有,4010001073486,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/codelist/Edinetcode.zip
2026/05/21 17:39,8316.T,8316,取得済み,E03614,株式会社三井住友フィナンシャルグループ,"Sumitomo Mitsui Financial Group, Inc.",83160,銀行業,3月31日,上場,有,2010001081053,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/codelist/Edinetcode.zip
2026/05/21 17:39,8411.T,8411,取得済み,E03615,株式会社みずほフィナンシャルグループ,"Mizuho Financial Group, Inc.",84110,銀行業,3月31日,上場,有,9010001081419,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/codelist/Edinetcode.zip
2026/05/21 17:39,8766.T,8766,取得済み,E03847,東京海上ホールディングス株式会社,"Tokio Marine Holdings, Inc.",87660,保険業,3月末日,上場,有,7010001078061,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/codelist/Edinetcode.zip
2026/05/21 17:39,8750.T,8750,取得済み,E06141,株式会社第一ライフグループ,,87500,保険業,3月31日,上場,有,8010001131752,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/codelist/Edinetcode.zip
2026/05/21 17:39,8725.T,8725,取得済み,E03854,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,"MS&AD Insurance Group Holdings, Inc.",87250,保険業,3月31日,上場,有,4010001116542,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/codelist/Edinetcode.zip
2026/05/21 17:39,9432.T,9432,取得済み,E04430,ＮＴＴ株式会社,"NTT, Inc.",94320,情報・通信業,3月31日,上場,有,7010001065142,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/codelist/Edinetcode.zip
2026/05/21 17:39,9433.T,9433,取得済み,E04425,ＫＤＤＩ株式会社,KDDI CORPORATION,94330,情報・通信業,3月31日,上場,有,9011101031552,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/codelist/Edinetcode.zip
2026/05/21 17:39,9984.T,9984,取得済み,E02778,ソフトバンクグループ株式会社,SoftBank Group Corp.,99840,情報・通信業,3月31日,上場,有,1010401056795,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/codelist/Edinetcode.zip
2026/05/21 17:39,9434.T,9434,取得済み,E04426,ソフトバンク株式会社,,94340,情報・通信業,3月31日,上場,有,9010401052465,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/codelist/Edinetcode.zip
