updated_at,ticker,company,event_date,event_type,event_source,event_url,event_usable,base_date,after_1d_date,excess_1d_pct,after_5d_date,excess_5d_pct,after_20d_date,excess_20d_pct,earnings_reaction_score,reaction_status
2026/05/25 18:37,4385.T,メルカリ,2026-05-11,2026年6月期3Q決算,TDnet/Yahoo開示PDF,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260511/20260508520767.pdf,通常決算反応として使用,2026-05-11,2026-05-12,-2.42,2026-05-18,7.3,,,56.8,暫定: 20営業日未到達
2026/05/25 18:37,2802.T,味の素,2026-05-07,2026年3月期通期決算,味の素公式PDF,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,通常決算反応として使用,2026-05-07,2026-05-08,1.64,2026-05-14,12.07,,,65.8,暫定: 20営業日未到達
2026/05/25 18:37,8316.T,三井住友FG,2026-05-13,2026年3月期通期決算,SMFG公式/TDnet,https://www.smfg.co.jp/investor/financial/latest_statement/,通常決算反応として使用,2026-05-13,2026-05-14,-2.05,2026-05-20,5.99,,,55.5,暫定: 20営業日未到達
2026/05/25 18:37,5020.T,ENEOS HD,2026-05-14,2026年3月期通期決算,IRBANK/TDnet,https://irbank.net/5020,通常決算反応として使用,2026-05-14,2026-05-15,7.35,2026-05-21,0.94,,,57,暫定: 20営業日未到達
2026/05/25 18:37,8306.T,三菱UFJ FG,,,,,既存反応を使用,,,,,,,,41.3,既存値
2026/05/25 18:37,6146.T,ディスコ,,,,,既存反応を使用,,,,,,,,68.7,既存値
2026/05/25 18:37,6762.T,TDK,,,,,既存反応を使用,,,,,,,,62.9,既存値
2026/05/25 18:37,6503.T,三菱電機,2026-04-28,2026年3月期通期決算,三菱電機公式PDF,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,通常決算反応として使用,2026-04-28,2026-04-30,3.57,2026-05-11,1.9,,,55.1,暫定: 20営業日未到達
2026/05/25 18:37,9984.T,ソフトバンクG,,,,,既存反応を使用,,,,,,,,15.2,既存値
2026/05/25 18:37,7012.T,川崎重工業,,,,,既存反応を使用,,,,,,,,34.8,既存値
2026/05/25 18:37,6501.T,日立製作所,2026-04-27,2026年3月期通期決算,日立公式PDF,https://www.hitachi.com/content/dam/hitachi/global/ja_jp/press/files/2026/04/0427/2025_An.pdf,通常決算反応として使用,2026-04-27,2026-04-28,-4.75,2026-05-08,-11.4,,,32.5,暫定: 20営業日未到達
2026/05/25 18:37,8002.T,丸紅,2026-05-01,2026年3月期通期決算,丸紅公式PDF,https://www.marubeni.com/jp/news/2026/release/data/202605012-1J.pdf,通常決算反応として使用,2026-05-01,2026-05-07,-10.1,2026-05-13,-6.58,,,34,暫定: 20営業日未到達
2026/05/25 18:37,4063.T,信越化学工業,2026-04-28,2026年3月期通期決算,IRBANK/TDnet,https://irbank.net/4063,通常決算反応として使用,2026-04-28,2026-04-30,3.39,2026-05-11,2.79,,,56.1,暫定: 20営業日未到達
2026/05/25 18:37,6857.T,アドバンテスト,,,,,既存反応を使用,,,,,,,,32.5,既存値
2026/05/25 18:37,9983.T,ファーストリテイリング,2026-04-09,2026年8月期2Q決算,ファーストリテイリング公式,https://www.fastretailing.com/jp/ir/news/2604091800.html,通常決算反応として使用,2026-04-09,2026-04-10,10.15,2026-04-16,4.47,2026-05-13,-5.71,59.7,確定: 20営業日到達
2026/05/25 18:37,6594.T,ニデック,2026-05-22,決算発表延期/会計関連開示,IRBANK/TDnet,https://irbank.net/6594,通常決算反応としては使用不可,2026-05-22,2026-05-25,1.03,,,,,,未取得
2026/05/25 18:37,5801.T,古河電工,,,,,既存反応を使用,,,,,,,,88,既存値
2026/05/25 18:37,6920.T,レーザーテック,,,,,既存反応を使用,,,,,,,,12.9,既存値
2026/05/25 18:37,5802.T,住友電工,,,,,既存反応を使用,,,,,,,,37.6,既存値
2026/05/25 18:37,5803.T,フジクラ,,,,,既存反応を使用,,,,,,,,22.8,既存値
