ticker,銘柄,優先度,現在判定,現在上限,解除後参考上限,財務状態,財務不足,100社扱い,期待信頼度,決算後反応,最大下落,初回比率上限,解除に必要な作業,注文票反映,現在止める理由
8053.T,住友商事,A: 最短確認候補,購入不可,0円,"157,500円（参考）",pass,なし,再選定候補,B,43.7,-35.8%,中心候補は18.75%枠まで。ただしイベント後,6月イベント結果を入力 / 本人別NISA口座・本人操作・残枠を入力,反映しない,6月イベント未入力 / 本人別NISA口座未確認
8316.T,三井住友FG,A: 最短確認候補,購入不可,0円,"157,500円（参考）",pass,なし,再選定候補,A,57.1,-29.4%,中心候補は18.75%枠まで。ただしイベント後,6月イベント結果を入力 / 本人別NISA口座・本人操作・残枠を入力,反映しない,6月イベント未入力 / 本人別NISA口座未確認
6501.T,日立製作所,B: 抑制付き確認,購入不可,0円,"157,500円（参考）",pass,なし,再選定候補,C,29.1,-38.7%,初回は6.25%上限,6月イベント結果を入力 / 本人別NISA口座・本人操作・残枠を入力 / 期待仮説Cの理由を解消、または比率抑制 / 決算後反応が弱い理由を確認,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / 期待仮説信頼度Cのため抑制 / 決算後反応が弱い
6503.T,三菱電機,B: 財務補完後に確認,購入不可,0円,"52,500円（参考）",partial,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与,再選定候補,B,43.9,-34.0%,中心候補は18.75%枠まで。ただしイベント後,6月イベント結果を入力 / 本人別NISA口座・本人操作・残枠を入力 / 公式財務partialを補完,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与
6857.T,アドバンテスト,C: 監視継続,購入不可,0円,"52,500円（参考）",partial,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明,監視,C,20.4,-51.4%,初回は6.25%上限,6月イベント結果を入力 / 本人別NISA口座・本人操作・残枠を入力 / 公式財務partialを補完 / 監視・除外理由の解除根拠を入力 / 期待仮説Cの理由を解消、または比率抑制 / 決算後反応が弱い理由を確認,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明 / 監視扱い。初回買付では0円または小口再審査 / 期待仮説信頼度Cのため抑制 / 決算後反応が弱い
8035.T,東京エレクトロン,C: 監視継続,購入不可,0円,"52,500円（参考）",partial,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明,監視,B,68.2,-55.8%,初回は3%上限,6月イベント結果を入力 / 本人別NISA口座・本人操作・残枠を入力 / 公式財務partialを補完 / 監視・除外理由の解除根拠を入力,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明 / 監視扱い。初回買付では0円または小口再審査
7011.T,三菱重工業,C: 除外継続,購入不可,0円,"52,500円（参考）",partial,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与,除外,C,34.5,-35.8%,初回は3%上限,6月イベント結果を入力 / 本人別NISA口座・本人操作・残枠を入力 / 公式財務partialを補完 / 監視・除外理由の解除根拠を入力 / 期待仮説Cの理由を解消、または比率抑制 / 決算後反応が弱い理由を確認,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 100社再選定で除外。解除根拠の入力が必要 / 期待仮説信頼度Cのため抑制 / 決算後反応が弱い
6762.T,TDK,B: 財務補完後に確認,購入不可,0円,"52,500円（参考）",partial,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与,再選定候補,B,91.6,-46.3%,初回は6.25%上限,6月イベント結果を入力 / 本人別NISA口座・本人操作・残枠を入力 / 公式財務partialを補完,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与
6146.T,ディスコ,C: 除外継続,購入不可,0円,"52,500円（参考）",partial,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明,除外,C,32.3,-65.2%,初回は3%上限,6月イベント結果を入力 / 本人別NISA口座・本人操作・残枠を入力 / 公式財務partialを補完 / 監視・除外理由の解除根拠を入力 / 期待仮説Cの理由を解消、または比率抑制 / 決算後反応が弱い理由を確認,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明 / 100社再選定で除外。解除根拠の入力が必要 / 期待仮説信頼度Cのため抑制 / 決算後反応が弱い
5803.T,フジクラ,C: 除外継続,購入不可,0円,"52,500円（参考）",partial,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明,除外,C,0,-50.7%,初回は3%上限,6月イベント結果を入力 / 本人別NISA口座・本人操作・残枠を入力 / 公式財務partialを補完 / 監視・除外理由の解除根拠を入力 / 期待仮説Cの理由を解消、または比率抑制 / 決算後反応が弱い理由を確認,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明 / 100社再選定で除外。解除根拠の入力が必要 / 期待仮説信頼度Cのため抑制 / 決算後反応が弱い
