updated_at,event_id,event_date,ticker,company_name,candidate_flag,original_group,event_title,action_class,action_score_hint,needs_manual_check,source_url
2026/05/18 17:16,TDNET-20260518-1847-8,2026-05-18,1847.T,イチケン,候補外,決算短信,2026年３月期 決算短信〔日本基準〕（連結）,決算短信,0,通常確認,https://www.release.tdnet.info/inbs/140120260515538038.pdf
2026/05/18 17:16,TDNET-20260518-2991-10,2026-05-18,2991.T,ランドネット,候補外,月次,2026年４月度 月次業績速報,月次,0,通常確認,https://www.release.tdnet.info/inbs/140120260518539647.pdf
2026/05/18 17:16,TDNET-20260518-6104-19,2026-05-18,6104.T,芝浦機械,候補外,M&A・資本提携,"Moore Nanotechnology Systems, LLCの持分取得（子会社化）に関するお知らせ",M&A・資本提携,1,要確認,https://www.release.tdnet.info/inbs/140120260515538806.pdf
2026/05/18 17:16,TDNET-20260518-7616-20,2026-05-18,7616.T,コロワイド,候補外,決算短信,（訂正・数値データ訂正）「2026年３月期 決算短信〔ＩＦＲＳ〕（連結）」の一部訂正について,決算短信,0,通常確認,https://www.release.tdnet.info/inbs/140120260518539307.pdf
2026/05/18 17:16,TDNET-20260518-4966-22,2026-05-18,4966.T,上村工業,候補外,配当・増配,剰余金の配当に関するお知らせ,増配,2,要確認,https://www.release.tdnet.info/inbs/140120260518539407.pdf
2026/05/18 17:16,TDNET-20260518-9170-23,2026-05-18,9170.T,成友興業,候補外,配当・増配,株式分割及び株式分割に伴う定款の一部変更並びに配当予想の修正（増配）に関するお知らせ,増配,2,要確認,https://www.release.tdnet.info/inbs/140120260518539376.pdf
2026/05/18 17:16,TDNET-20260518-4275-26,2026-05-18,4275.T,カーリット,候補外,自社株買い,自己株式立会外買付取引(ToSTNeT-3)による自己株式の取得結果及び自己株式取得終了に関するお知らせ,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260518539580.pdf
2026/05/18 17:16,TDNET-20260518-8705-38,2026-05-18,8705.T,日産証券グループ,候補外,月次,2026年４月の月次業績等（速報）に関するお知らせ,月次,0,通常確認,https://www.release.tdnet.info/inbs/140120260507518310.pdf
2026/05/18 17:16,TDNET-20260518-1499-42,2026-05-18,1499.T,ＭＸＳ高配当７０ＭＮ,候補外,決算短信,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信 決算短信（2026年4月期）,決算短信,0,通常確認,https://www.release.tdnet.info/inbs/140120260518539501.pdf
2026/05/18 17:16,TDNET-20260518-1660-43,2026-05-18,1660.T,ＭＸＳ高利Ｊリート,候補外,決算短信,ＭＡＸＩＳ高利回りＪリート上場投信 決算短信（2026年4月期）,決算短信,0,通常確認,https://www.release.tdnet.info/inbs/140120260518539494.pdf
2026/05/18 17:16,TDNET-20260518-9326-47,2026-05-18,9326.T,Ｇ－関通ＨＤ,候補外,自社株買い,自己株式立会外買付取引（ＴｏＳＴＮｅＴ－３）による自己株式の取得結果及び取得終了に関するお知らせ,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260518539352.pdf
2026/05/18 17:16,TDNET-20260518-9402-48,2026-05-18,9402.T,中部日本放送,候補外,自社株買い,自己株式立会外買付取引（Ｎ－ＮＥＴ３）による自己株式の取得結果及び取得終了に関するお知らせ,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260512526180.pdf
2026/05/18 17:16,TDNET-20260518-2784-50,2026-05-18,2784.T,アルフレッサＨＤ,候補外,自社株買い,コミットメント型自己株式取得（FCSR）による自己株式取得のための第三者割当による 第1回新株予約権の発行条件の決定に関するお知らせ,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260517539204.pdf
2026/05/18 17:16,TDNET-20260518-2911-51,2026-05-18,2911.T,旭松食品,候補外,自社株買い,自己株式立会外買付取引（ＴｏＳＴＮｅＴ－３）による自己株式の取得結果及び取得終了に関するお知らせ,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260518539351.pdf
2026/05/18 17:16,TDNET-20260518-3512-52,2026-05-18,3512.T,日フエルト,候補外,自社株買い,自己株式立会外買付取引（ＴｏＳＴＮｅＴ－３）による自己株式の取得結果に関するお知らせ,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260514535741.pdf
2026/05/18 17:16,TDNET-20260518-3675-53,2026-05-18,3675.T,クロスマーケティング,候補外,自社株買い,自己株式立会外買付取引（ToSTNeT-3）による自己株式の取得結果及び自己株式取得終了に関するお知らせ,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260518539366.pdf
2026/05/18 17:16,TDNET-20260518-8742-54,2026-05-18,8742.T,小林洋行,候補外,自社株買い,自己株式立会外買付取引（ToSTNeT-3）による自己株式の取得結果に関するお知らせ,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260518539337.pdf
2026/05/18 17:16,TDNET-20260518-9788-55,2026-05-18,9788.T,ナック,候補外,自社株買い,自己株式立会外買付取引（ToSTNeT-３）による自己株式の取得結果及び取得終了に関するお知らせ,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260518539389.pdf
2026/05/18 17:16,TDNET-20260518-2652-61,2026-05-18,2652.T,まんだらけ,候補外,決算短信,「2026年９月期 第２四半期（中間期）決算短信〔日本基準〕（非連結）」の一部訂正について,決算短信,0,通常確認,https://www.release.tdnet.info/inbs/140120260518539363.pdf
2026/05/18 17:16,TDNET-20260518-3954-63,2026-05-18,3954.T,ＰＡＸＸＳ,候補外,決算短信,（訂正） 「2026年３月期 決算短信〔日本基準〕（連結）」の一部訂正について,決算短信,0,通常確認,https://www.release.tdnet.info/inbs/140120260515538489.pdf
2026/05/18 17:16,TDNET-20260518-5598-64,2026-05-18,5598.T,Ｐ－Ｙｏｔｔａｖｉａ,候補外,自社株買い,自己株式立会外買付取引（ＴｏＳＴＮｅＴ－３）による自己株式の取得結果及び取得終了に関するお知らせ,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260518539341.pdf
2026/05/18 17:16,TDNET-20260518-1397-66,2026-05-18,1397.T,ＳＭＤＡＭ ２２５,候補外,決算短信,2026年4月期 決算短信（2025年10月9日～2026年4月8日）,決算短信,0,通常確認,https://www.release.tdnet.info/inbs/140120260518539334.pdf
2026/05/18 17:16,TDNET-20260518-2557-67,2026-05-18,2557.T,ＳＭＤＡＭトピックス,候補外,決算短信,2026年4月期 決算短信（2025年10月9日～2026年4月8日）,決算短信,0,通常確認,https://www.release.tdnet.info/inbs/140120260518539326.pdf
2026/05/18 17:16,TDNET-20260518-2652-69,2026-05-18,2652.T,まんだらけ,候補外,自社株買い,自己株式立会外買付取引（ToSTNeT-3）による自己株式の取得結果及び自己株式取得終了に関するお知らせ,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260518539265.pdf
2026/05/18 17:16,TDNET-20260518-9980-71,2026-05-18,9980.T,ＭＲＫ ＨＬＤ,候補外,自社株買い,自己株式立会外買付取引（ToSTNeT-3）による自己株式の取得結果,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260518539300.pdf
2026/05/18 17:16,TDNET-20260518-5280-73,2026-05-18,5280.T,ヨシコン,候補外,自社株買い,自己株式立会外買付取引（ＴｏＳＴＮｅＴ－３）による自己株式の取得結果に関するお知らせ,自社株買い,2,要確認,https://www.release.tdnet.info/inbs/140120260514535616.pdf
