ticker,銘柄,役割,イベント判定,口座確認,財務判定,100社扱い,再判定結果,出力金額,注文票反映,止める理由
8053.T,住友商事,中心候補,イベント未入力,0口座,公式財務pass,再選定候補,購入不可,0円,反映しない,6月イベント未入力 / 本人別NISA口座未確認
8316.T,三井住友FG,中心候補,イベント未入力,0口座,公式財務pass,再選定候補,購入不可,0円,反映しない,6月イベント未入力 / 本人別NISA口座未確認
6501.T,日立製作所,中心候補,イベント未入力,0口座,公式財務pass,再選定候補,購入不可,0円,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / 期待仮説信頼度Cのため抑制 / 決算後反応が弱い
6503.T,三菱電機,条件付き候補,イベント未入力,0口座,財務未確認,再選定候補,購入不可,0円,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与
6857.T,アドバンテスト,条件付き候補,イベント未入力,0口座,財務未確認,監視継続,購入不可,0円,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明 / 監視扱い。初回買付では0円または小口再審査 / 期待仮説信頼度Cのため抑制 / 決算後反応が弱い
8035.T,東京エレクトロン,条件付き候補,イベント未入力,0口座,財務未確認,監視継続,購入不可,0円,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明 / 監視扱い。初回買付では0円または小口再審査
7011.T,三菱重工業,条件付き候補,イベント未入力,0口座,財務未確認,除外継続,購入不可,0円,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 100社再選定で除外。解除根拠の入力が必要 / 期待仮説信頼度Cのため抑制 / 決算後反応が弱い
6762.T,TDK,条件付き候補,イベント未入力,0口座,財務未確認,再選定候補,購入不可,0円,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与
6146.T,ディスコ,条件付き候補,イベント未入力,0口座,財務未確認,除外継続,購入不可,0円,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明 / 100社再選定で除外。解除根拠の入力が必要 / 期待仮説信頼度Cのため抑制 / 決算後反応が弱い
5803.T,フジクラ,条件付き候補,イベント未入力,0口座,財務未確認,除外継続,購入不可,0円,反映しない,6月イベント未入力 / 本人別NISA口座未確認 / PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明 / 100社再選定で除外。解除根拠の入力が必要 / 期待仮説信頼度Cのため抑制 / 決算後反応が弱い
