ticker,銘柄,現在扱い,リスク区分,現在買付額,最大下落,下値ルール,上値ルール,急落時ルール,買付反映
8053.T,住友商事,再選定候補,中,0円,-35.8%,買値から-7%で追加停止、-12%で保有理由を再点検、-18%で縮小候補,+20%以上で目標比率超過なら一部利確を確認,ストップ安または前日比-10%以上は当日買い増し停止。翌営業日に出来高、指数差、会社発表、テーマ崩れを確認。,0円維持
8316.T,三井住友FG,再選定候補,中,0円,-29.4%,買値から-7%で追加停止、-12%で保有理由を再点検、-18%で縮小候補,+20%以上で目標比率超過なら一部利確を確認,ストップ安または前日比-10%以上は当日買い増し停止。翌営業日に出来高、指数差、会社発表、テーマ崩れを確認。,0円維持
6501.T,日立製作所,再選定候補,中高,0円,-38.7%,買値から-6%で追加停止、-11%で保有理由を再点検、-15%で縮小候補,+18%以上で目標比率超過なら一部利確を確認,ストップ安または前日比-10%以上は当日買い増し停止。翌営業日に出来高、指数差、会社発表、テーマ崩れを確認。,0円維持
6503.T,三菱電機,再選定候補,中,0円,-34.0%,買値から-7%で追加停止、-12%で保有理由を再点検、-18%で縮小候補,+20%以上で目標比率超過なら一部利確を確認,ストップ安または前日比-10%以上は当日買い増し停止。翌営業日に出来高、指数差、会社発表、テーマ崩れを確認。,0円維持
6857.T,アドバンテスト,監視,中高,0円,-51.4%,買値から-6%で追加停止、-11%で保有理由を再点検、-15%で縮小候補,+18%以上で目標比率超過なら一部利確を確認,ストップ安または前日比-10%以上は当日買い増し停止。翌営業日に出来高、指数差、会社発表、テーマ崩れを確認。,0円維持
8035.T,東京エレクトロン,監視,高,0円,-55.8%,買値から-5%で追加停止、-10%で保有理由を再点検、-15%で縮小候補,+15%以上かつ出来高急増なら、目標比率超過分の利確を確認,ストップ安または前日比-10%以上は当日買い増し停止。翌営業日に出来高、指数差、会社発表、テーマ崩れを確認。,0円維持
7011.T,三菱重工業,除外,高,0円,-35.8%,購入対象に戻す前に、直近60日・決算後20営業日・最大下落理由を再確認,購入対象外のため利確ルールではなく監視ルールで扱う,ストップ安または前日比-10%以上は当日買い増し停止。翌営業日に出来高、指数差、会社発表、テーマ崩れを確認。,0円維持
6762.T,TDK,再選定候補,中高,0円,-46.3%,買値から-6%で追加停止、-11%で保有理由を再点検、-15%で縮小候補,+18%以上で目標比率超過なら一部利確を確認,ストップ安または前日比-10%以上は当日買い増し停止。翌営業日に出来高、指数差、会社発表、テーマ崩れを確認。,0円維持
6146.T,ディスコ,除外,高,0円,-65.2%,購入対象に戻す前に、直近60日・決算後20営業日・最大下落理由を再確認,購入対象外のため利確ルールではなく監視ルールで扱う,ストップ安または前日比-10%以上は当日買い増し停止。翌営業日に出来高、指数差、会社発表、テーマ崩れを確認。,0円維持
5803.T,フジクラ,除外,高,0円,-50.7%,購入対象に戻す前に、直近60日・決算後20営業日・最大下落理由を再確認,購入対象外のため利確ルールではなく監視ルールで扱う,ストップ安または前日比-10%以上は当日買い増し停止。翌営業日に出来高、指数差、会社発表、テーマ崩れを確認。,0円維持
