channel,ticker,name,role,currentStatus,requiredData,passCondition,failCondition,juneAction,note
総合基準,既存10社,現行候補群,基準,維持基準,6月CPI、日銀、FOMC後の日経平均/TOPIX、S&P500、米10年金利、ドル円、候補銘柄の株価反応,指数比で劣後せず、個別株比率を上げる説明が残る,指数を上回る説明が弱い、または主要銘柄に下方修正・急落・未確認データが残る,テーマ銘柄を入れる場合も、この候補群を上回る説明が必要,ここを基準に置かないと、テーマ銘柄を感覚で追加したように見えるため。
半導体製造装置・材料,6857.T,アドバンテスト,攻め枠,昇格候補,SOX指数、米10年金利、決算ガイダンス、受注、PER、決算後反応、直近上昇率,AI向け検査需要の説明が決算・受注で確認でき、金利急騰やSOX急落がない,PER過熱、SOX急落、決算後反応悪化、急騰後の大幅反落,小比率の攻め枠候補。既存10社より期待値が説明できる場合のみ採用検討,AI半導体需要に近い一方、値動きが大きいため全体比率は抑える。
半導体製造装置・材料,6146.T,ディスコ,攻め枠,昇格候補,月次売上、四半期決算、受注、決算後反応、最大下落率、出来高,先端パッケージ・加工需要が数字で確認でき、急落耐性を説明できる,急騰後反落、決算反応悪化、下落率が大きくNISA 1年保有に不向き,半導体枠の比較候補。採用する場合は比率を小さくする,構造需要は強いが、下落幅も大きくなりやすい。
半導体製造装置・材料,8035.T,東京エレクトロン,補欠,補完後候補,設備投資見通し、SOX指数、米金利、決算ガイダンス、PER、決算後反応,半導体設備投資の回復が確認でき、指数・金利条件も悪化していない,半導体サイクル悪化、金利急騰、ガイダンス弱化,データ補完後にアドバンテスト、ディスコと比較,代表性は高いが、6月時点では追加確認を優先する。
データセンター・電力・冷却・電線,6501.T,日立製作所,守り寄り成長,昇格候補,送配電・電力制御・デジタル事業の受注、利益率、決算後反応、指数差,電力・制御・データセンター周辺の寄与が決算で確認できる,大型株でテーマ寄与が見えない、指数並みの反応に留まる,既存10社との入れ替え候補。守りと成長の両方で比較,AIインフラ需要を電力・制御側から見る候補。
データセンター・電力・冷却・電線,5803.T,フジクラ,攻め枠,昇格候補,光通信・電線需要、受注、利益率、直近上昇率、最大下落率、出来高,データセンター需要が受注や利益率に表れ、急騰後でも説明可能,過熱、急落、テーマ織り込み済み、利益率悪化,攻め枠候補。採用時は比率上限を設定,テーマ反応は強いが、過熱管理が必要。
データセンター・電力・冷却・電線,7011.T,三菱重工業,条件付き,補完後候補,電力・防衛・受注残、利益率、直近株価反応、最大下落率、指数差,電力・防衛・大型インフラの寄与が数字で説明できる,テーマが広すぎて株価理由を分離できない、直近反応が弱い,採用前に寄与事業を分けて確認,話題性ではなく、受注・利益率で確認する。
フィジカルAI,6762.T,TDK,代表候補,比較対象,PER/PBR/ROE、電源・センサー・電子部品寄与、決算後反応、スマホ・AIサーバー需要,電子部品サイクルだけでなく、AIサーバー周辺・センサー寄与を説明できる,電子部品市況悪化、テーマ寄与が見えない、決算後反応悪化,フィジカルAIを1銘柄だけ試す場合の代表候補,既存データに接続済みのため、最初に比較しやすい。
フィジカルAI,6954.T,ファナック,補完後候補,未採用,ロボット受注、工作機械需要、PER/PBR/ROE、決算後反応、指数差,産業用ロボット・FA需要の回復が受注で確認できる,設備投資サイクル悪化、受注弱化、決算後反応不足,データ補完後にTDKと比較,テーマ適合はあるが、今すぐ購入候補にしない。
フィジカルAI,6861.T,キーエンス,補完後候補,未採用,PER、利益率、FA投資回復、海外売上、決算後反応、金利感応度,高収益性とFA需要回復が確認でき、割高さを説明できる,高PERを説明できない、金利上昇で売られやすい、決算反応が弱い,補完後に候補化判断,良い会社かどうかではなく、6月から1年で指数を上回る説明が必要。
フィジカルAI,6506.T / 6594.T,安川電機 / ニデック,補完後候補,未採用,モーター・ロボット関連売上、受注、PER/PBR/ROE、決算後反応、設備投資サイクル,物理AI・ロボット需要が売上または受注に確認できる,テーマ連想のみ、既存候補より数値が弱い,6月購入候補ではなく、補完後の観察候補,連想で買わず、決算・受注・株価反応で確認する。
量子コンピューター,6702.T / 6701.T,富士通 / NEC,長期探索,購入候補化しない,量子関連の商用サービス、受注、売上寄与、決算説明、イベント後株価反応,研究開発ではなく、商用化・売上・受注の数字が確認できる,国策・研究開発・話題性だけで、1年リターンの説明ができない,6月NISA 1年テストには入れない,監視価値はあるが、1年保有テストの根拠としてはまだ弱い。
