rank,ticker,company,theme_id,theme_name,qualitative_score,nisa_connected,nisa_score,nisa_category,data_confidence,hard_gate,universe_level,quote_status,performance_status,chart_status,bridge_status,bridge_reason,next_action
1,5801.T,古河電工,AI_DATA_CENTER,AIデータセンター電力・冷却,83.6,接続済み,62.4,保留,100,1年上昇率792%で過熱,A 詳細確認,取得,取得,取得,数値確認中,NISA 1年保有スコアは接続済み。ただし分類=保留、ゲート=1年上昇率792%で過熱。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
2,5802.T,住友電工,AI_DATA_CENTER,AIデータセンター電力・冷却,83.1,接続済み,52.5,落とす,100,1年上昇率307.5%で過熱 / 既存安全分岐で落とす,A 詳細確認,取得,取得,取得,数値確認中,NISA 1年保有スコアは接続済み。ただし分類=落とす、ゲート=1年上昇率307.5%で過熱 / 既存安全分岐で落とす。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
3,6501.T,日立製作所,AI_DATA_CENTER,AIデータセンター電力・冷却,82.6,接続済み,53.5,保留,60,決算後反応未取得 / データ信頼度70未満,B 観察継続,取得,取得,取得,数値確認中,NISA 1年保有スコアは接続済み。ただし分類=保留、ゲート=決算後反応未取得 / データ信頼度70未満。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
4,6503.T,三菱電機,AI_DATA_CENTER,AIデータセンター電力・冷却,82.1,接続済み,48.8,保留,60,決算後反応未取得 / データ信頼度70未満,B 観察継続,取得,取得,取得,数値確認中,NISA 1年保有スコアは接続済み。ただし分類=保留、ゲート=決算後反応未取得 / データ信頼度70未満。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
5,6146.T,ディスコ,AI_DATA_CENTER,AIデータセンター電力・冷却,81.6,接続済み,61.8,残す,95,なし,A 詳細確認,取得,取得,取得,数値ゲート通過候補,時流探索スコアに加え、NISA 1年保有スコアでも残す判定。購入確定ではなく6月イベント後に再判定。,6月イベント後、日経75日線、米10年金利、為替、最新決算コメントを確認して購入可否を再判定。
6,8035.T,東京エレクトロン,AI_DATA_CENTER,AIデータセンター電力・冷却,81.1,未接続,,,,,A 詳細確認,取得,取得,取得,母集団内・NISA点未計算,100社母集団には存在。現在の位置づけ=A 詳細確認、株価=取得、業績=取得。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
7,7011.T,三菱重工業,DEFENSE_POLICY,防衛・安全保障,80.7,未接続,,,,,B 観察継続,取得,取得,取得,母集団内・NISA点未計算,100社母集団には存在。現在の位置づけ=B 観察継続、株価=取得、業績=取得。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
8,8306.T,三菱UFJ FG,RATE_BANK,金利上昇・銀行保険,79.9,接続済み,60.8,残す,95,なし,A 詳細確認,取得,取得,取得,数値ゲート通過候補,時流探索スコアに加え、NISA 1年保有スコアでも残す判定。購入確定ではなく6月イベント後に再判定。,6月イベント後、日経75日線、米10年金利、為替、最新決算コメントを確認して購入可否を再判定。
9,8316.T,三井住友FG,RATE_BANK,金利上昇・銀行保険,79.9,接続済み,57.6,保留,60,決算後反応未取得 / データ信頼度70未満,A 詳細確認,取得,取得,取得,数値確認中,NISA 1年保有スコアは接続済み。ただし分類=保留、ゲート=決算後反応未取得 / データ信頼度70未満。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
10,7012.T,川崎重工業,DEFENSE_POLICY,防衛・安全保障,79.5,接続済み,62.7,保留,100,決算後反応34.8点,A 詳細確認,取得,取得,取得,数値確認中,NISA 1年保有スコアは接続済み。ただし分類=保留、ゲート=決算後反応34.8点。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
