指標,指標順位,コード,銘柄,値,最終扱い,補足
過去5年CAGR,1,5803.T,フジクラ,135,除外,直近1年の下落率が大きい / 急騰後の反動確認が必要
過去5年CAGR,2,5801.T,古河電工,82.7,監視,急騰後の反動確認が必要
過去5年CAGR,3,7011.T,三菱重工,65.9,除外,直近1年でS&P500に劣後 / 直近60日が弱い
過去5年CAGR,4,6857.T,アドバンテスト,63.2,監視,急騰後の反動確認が必要
過去5年CAGR,5,5802.T,住友電工,52.3,監視,急騰後の反動確認が必要
過去5年CAGR,6,7013.T,IHI,51,除外,直近60日が弱い / 直近1年の下落率が大きい
過去5年CAGR,7,7012.T,川崎重工業,45.3,再選定候補,主要指標で通過
過去5年CAGR,8,8002.T,丸紅,45.2,再選定候補,主要指標で通過
過去5年CAGR,9,6146.T,ディスコ,45.1,除外,直近60日が弱い / 5年最大下落率が大きい
過去5年CAGR,10,1605.T,INPEX,43.3,再選定候補,主要指標で通過
過去10年CAGR,1,6920.T,レーザーテック,63,監視,5年最大下落率が大きい
過去10年CAGR,2,6857.T,アドバンテスト,58.5,監視,急騰後の反動確認が必要
過去10年CAGR,3,5803.T,フジクラ,51.5,除外,直近1年の下落率が大きい / 急騰後の反動確認が必要
過去10年CAGR,4,5801.T,古河電工,38.2,監視,急騰後の反動確認が必要
過去10年CAGR,5,8035.T,東京エレクトロン,38.2,監視,5年最大下落率が大きい
過去10年CAGR,6,6146.T,ディスコ,37,除外,直近60日が弱い / 5年最大下落率が大きい
過去10年CAGR,7,8002.T,丸紅,31,再選定候補,主要指標で通過
過去10年CAGR,8,6501.T,日立製作所,28.5,再選定候補,主要指標で通過
過去10年CAGR,9,8031.T,三井物産,27.8,再選定候補,主要指標で通過
過去10年CAGR,10,8058.T,三菱商事,27.5,再選定候補,主要指標で通過
直近1年騰落率,1,5801.T,古河電工,684.6,監視,急騰後の反動確認が必要
直近1年騰落率,2,5803.T,フジクラ,367.4,除外,直近1年の下落率が大きい / 急騰後の反動確認が必要
直近1年騰落率,3,5802.T,住友電工,323.3,監視,急騰後の反動確認が必要
直近1年騰落率,4,6981.T,村田製作所,313.2,監視,急騰後の反動確認が必要
直近1年騰落率,5,9984.T,ソフトバンクG,265.9,除外,直近1年の下落率が大きい / 急騰後の反動確認が必要
直近1年騰落率,6,6857.T,アドバンテスト,264.3,監視,急騰後の反動確認が必要
直近1年騰落率,7,6920.T,レーザーテック,171.6,監視,5年最大下落率が大きい
直近1年騰落率,8,6723.T,ルネサス,147.9,監視,5年最大下落率が大きい
直近1年騰落率,9,6762.T,TDK,146.4,再選定候補,主要指標で通過
直近1年騰落率,10,8035.T,東京エレクトロン,130.3,監視,5年最大下落率が大きい
5年S&P500比較,1,5803.T,フジクラ,122.6,除外,直近1年の下落率が大きい / 急騰後の反動確認が必要
5年S&P500比較,2,5801.T,古河電工,70.4,監視,急騰後の反動確認が必要
5年S&P500比較,3,7011.T,三菱重工,53.5,除外,直近1年でS&P500に劣後 / 直近60日が弱い
5年S&P500比較,4,6857.T,アドバンテスト,50.8,監視,急騰後の反動確認が必要
5年S&P500比較,5,5802.T,住友電工,40,監視,急騰後の反動確認が必要
5年S&P500比較,6,7013.T,IHI,38.6,除外,直近60日が弱い / 直近1年の下落率が大きい
5年S&P500比較,7,7012.T,川崎重工業,32.9,再選定候補,主要指標で通過
5年S&P500比較,8,8002.T,丸紅,32.8,再選定候補,主要指標で通過
5年S&P500比較,9,6146.T,ディスコ,32.7,除外,直近60日が弱い / 5年最大下落率が大きい
5年S&P500比較,10,1605.T,INPEX,30.9,再選定候補,主要指標で通過
直近1年S&P500比較,1,5801.T,古河電工,657.1,監視,急騰後の反動確認が必要
直近1年S&P500比較,2,5803.T,フジクラ,339.9,除外,直近1年の下落率が大きい / 急騰後の反動確認が必要
直近1年S&P500比較,3,5802.T,住友電工,295.8,監視,急騰後の反動確認が必要
直近1年S&P500比較,4,6981.T,村田製作所,285.6,監視,急騰後の反動確認が必要
直近1年S&P500比較,5,9984.T,ソフトバンクG,238.3,除外,直近1年の下落率が大きい / 急騰後の反動確認が必要
直近1年S&P500比較,6,6857.T,アドバンテスト,236.8,監視,急騰後の反動確認が必要
直近1年S&P500比較,7,6920.T,レーザーテック,144.1,監視,5年最大下落率が大きい
直近1年S&P500比較,8,6723.T,ルネサス,120.3,監視,5年最大下落率が大きい
直近1年S&P500比較,9,6762.T,TDK,118.9,再選定候補,主要指標で通過
直近1年S&P500比較,10,8035.T,東京エレクトロン,102.7,監視,5年最大下落率が大きい
5年最大下落率の小ささ,1,9434.T,ソフトバンク,-14.5,除外,直近1年でS&P500に劣後
5年最大下落率の小ささ,2,9433.T,KDDI,-16.8,除外,直近1年でS&P500に劣後 / 5年でS&P500に劣後
5年最大下落率の小ささ,3,4502.T,武田薬品,-19.1,除外,直近1年でS&P500に劣後 / 5年でS&P500に劣後
5年最大下落率の小ささ,4,1925.T,大和ハウス工業,-21.6,除外,直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い
5年最大下落率の小ささ,5,2503.T,キリンHD,-21.8,除外,5年でS&P500に劣後
5年最大下落率の小ささ,6,9432.T,NTT,-23.7,除外,直近1年でS&P500に劣後 / 5年でS&P500に劣後
5年最大下落率の小ささ,7,9020.T,JR東日本,-24.6,除外,直近1年でS&P500に劣後 / 5年でS&P500に劣後
5年最大下落率の小ささ,8,2802.T,味の素,-25.6,再選定候補,主要指標で通過
5年最大下落率の小ささ,9,3407.T,旭化成,-26.2,除外,5年でS&P500に劣後
5年最大下落率の小ささ,10,9202.T,ANA HD,-26.2,除外,直近1年でS&P500に劣後 / 5年でS&P500に劣後
