作成時刻,入力ID,キュー種別,優先度,ticker,銘柄またはテーマ,入力項目,公式確認先,資料扱い,入力へ使う条件,反映前確認,現在の扱い
2026/6/16 2:59:32,HQ-01-6503.T-PER,財務入力,高,6503.T,三菱電機,PER,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,直接資料候補。表紙・対象期・数値位置は未確認,資料名、資料日付、対象期、該当数値を確認してから入力,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-02-6503.T-PBR,財務入力,高,6503.T,三菱電機,PBR,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,直接資料候補。表紙・対象期・数値位置は未確認,資料名、資料日付、対象期、該当数値を確認してから入力,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-03-6503.T-ROE,財務入力,高,6503.T,三菱電機,ROE,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,直接資料候補。表紙・対象期・数値位置は未確認,資料名、資料日付、対象期、該当数値を確認してから入力,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-04-6503.T-_,財務入力,高,6503.T,三菱電機,営業利益率,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,直接資料候補。表紙・対象期・数値位置は未確認,資料名、資料日付、対象期、該当数値を確認してから入力,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-05-6503.T-_,財務入力,高,6503.T,三菱電機,今期会社予想,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,直接資料候補。表紙・対象期・数値位置は未確認,資料名、資料日付、対象期、該当数値を確認してから入力,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-06-6503.T-_,財務入力,高,6503.T,三菱電機,前期比増減,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,直接資料候補。表紙・対象期・数値位置は未確認,資料名、資料日付、対象期、該当数値を確認してから入力,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-07-6503.T-_,財務入力,高,6503.T,三菱電機,受注またはセグメント寄与,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,直接資料候補。表紙・対象期・数値位置は未確認,資料名、資料日付、対象期、該当数値を確認してから入力,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-08-6762.T-PER,財務入力,高,6762.T,TDK,PER,https://www.tdk.com/en/ir/ir_library/financial/index.html,決算資料ページ候補,ページ内で最新決算短信・説明会資料PDFを特定する,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-09-6762.T-PBR,財務入力,高,6762.T,TDK,PBR,https://www.tdk.com/en/ir/ir_library/financial/index.html,決算資料ページ候補,ページ内で最新決算短信・説明会資料PDFを特定する,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-10-6762.T-ROE,財務入力,高,6762.T,TDK,ROE,https://www.tdk.com/en/ir/ir_library/financial/index.html,決算資料ページ候補,ページ内で最新決算短信・説明会資料PDFを特定する,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-11-6762.T-_,財務入力,高,6762.T,TDK,営業利益率,https://www.tdk.com/en/ir/ir_library/financial/index.html,決算資料ページ候補,ページ内で最新決算短信・説明会資料PDFを特定する,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-12-6762.T-_,財務入力,高,6762.T,TDK,今期会社予想,https://www.tdk.com/en/ir/ir_library/financial/index.html,決算資料ページ候補,ページ内で最新決算短信・説明会資料PDFを特定する,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-13-6762.T-_,財務入力,高,6762.T,TDK,前期比増減,https://www.tdk.com/en/ir/ir_library/financial/index.html,決算資料ページ候補,ページ内で最新決算短信・説明会資料PDFを特定する,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-14-6762.T-_,財務入力,高,6762.T,TDK,受注またはセグメント寄与,https://www.tdk.com/en/ir/ir_library/financial/index.html,決算資料ページ候補,ページ内で最新決算短信・説明会資料PDFを特定する,資料名・資料日付・対象期間・入力値・計算式を残す。PER/PBRは株価基準日を必ず分ける。,反映禁止
2026/6/16 2:59:32,HQ-15-_-_,質的テーマ検証,高,複数,半導体製造装置・材料,仮説・実績・反証,theme_event_validation_ledger_20260614.html,既存テーマ検証台帳と、SOX・WFE・候補銘柄反応の確認,テーマ後の指数超過、受注・利益率・会社コメントのいずれかで接続できること,仮説だけでは反映しない。過去反応または業績接続を記録する。,反映禁止
2026/6/16 2:59:32,HQ-16-_-_,質的テーマ検証,高,複数,AIインフラ・データセンター,仮説・実績・反証,theme_event_validation_ledger_20260614.html,AIインフラ・データセンター需要の検証台帳,データセンター投資、電力需要、電線・重電・冷却関連の受注または利益寄与が確認できること,仮説だけでは反映しない。過去反応または業績接続を記録する。,反映禁止
2026/6/16 2:59:32,HQ-17-_-_,質的テーマ検証,高,複数,金利・金融,仮説・実績・反証,june_event_execution_flow_20260615.html,日銀・FOMC・長期金利・銀行株反応の確認,金利上昇が利ざや・運用益へ効く一方、信用コスト悪化が限定的であること,仮説だけでは反映しない。過去反応または業績接続を記録する。,反映禁止
