theme_id,ticker,company,sector,match_reason,qualitative_fit,capital_flow_logic,numeric_needed,status
AI_DATA_CENTER,5801.T,古河電工,電線/光通信,光ファイバー・電力線需要の連想対象,86,データセンター増→通信線・電力線需要,PER/PBR/ROE・受注・1年過熱確認,探索候補
AI_DATA_CENTER,5802.T,住友電工,電線/光通信,光通信・電力インフラ需要の連想対象,84,データセンター増→光ファイバー・電力網,PER/PBR/ROE・受注・利益率,探索候補
AI_DATA_CENTER,6501.T,日立製作所,重電/IT,電力・社会インフラ・デジタル基盤の連想対象,82,電力網投資→重電・制御・IT,受注・セグメント利益・PER,探索候補
AI_DATA_CENTER,6503.T,三菱電機,重電/FA,受変電・FA・データセンター設備の連想対象,80,電力設備需要→重電機器,受注・営業利益率・株価反応,探索候補
AI_DATA_CENTER,6146.T,ディスコ,半導体装置,AI半導体製造投資の連想対象,78,AI需要→半導体製造装置,決算後反応・PER・下落耐性,探索候補
AI_DATA_CENTER,8035.T,東京エレクトロン,半導体装置,半導体設備投資の中核候補,76,AI需要→装置投資,受注・PER・SOX連動,探索候補
RATE_BANK,8306.T,三菱UFJ FG,銀行,金利上昇時の代表候補,82,金利上昇→利ざや改善期待,信用コスト・自己資本・日銀イベント,探索候補
RATE_BANK,8316.T,三井住友FG,銀行,金利上昇時の代表候補,82,金利上昇→利ざや改善期待,信用コスト・自己資本・配当,探索候補
RATE_BANK,8766.T,東京海上HD,保険,金利と保険料・海外事業の連想対象,78,金利上昇→運用収益期待,自然災害損失・PER・ROE,探索候補
YEN_RESOURCE,8058.T,三菱商事,商社,円安・資源・還元の代表候補,82,資源価格・円安→利益と還元期待,資源価格感応度・自社株買い・PER,探索候補
YEN_RESOURCE,8001.T,伊藤忠商事,商社,非資源と消費にも強い商社候補,79,円安・非資源利益→還元期待,セグメント利益・配当・PER,探索候補
YEN_RESOURCE,8031.T,三井物産,商社,資源価格の感応度確認対象,77,資源価格→利益変動,資源依存度・原油金属価格・PER,探索候補
NAPHTHA_CHEM,4063.T,信越化学工業,化学,半導体材料・塩ビ・価格転嫁の確認対象,78,素材市況→利益率格差,製品市況・営業利益率・PER,探索候補
NAPHTHA_CHEM,4188.T,三菱ケミカルG,化学,原料高と価格転嫁の確認対象,70,ナフサ・原油→化学品採算,粗利率・構造改革・財務,探索候補
NAPHTHA_CHEM,5020.T,ENEOS,石油,原油・精製マージンの確認対象,72,原油価格→在庫評価・精製利益,在庫影響・原油価格・還元,探索候補
PRICE_PASS,2802.T,味の素,食品,価格転嫁とABF/ヘルスケアの確認対象,76,値上げ・高付加価値→利益率維持,数量・利益率・PER高止まり,探索候補
PRICE_PASS,2801.T,キッコーマン,食品,海外食品・価格転嫁の確認対象,74,海外販売→円安・値上げ,海外売上・数量・PER,探索候補
PRICE_PASS,4452.T,花王,日用品,原材料高とブランド価格転嫁の確認対象,70,値上げ→利益率回復,営業利益率・数量・原材料費,探索候補
DEFENSE_POLICY,7011.T,三菱重工業,重工/防衛,防衛・宇宙・エネルギー投資の代表候補,84,防衛予算→受注残増加,受注残・採算・PER過熱,探索候補
DEFENSE_POLICY,7012.T,川崎重工業,重工/防衛,防衛・航空・水素の確認対象,79,安全保障→防衛受注,受注残・利益率・決算反応,探索候補
DEFENSE_POLICY,6501.T,日立製作所,重電/IT,社会インフラ・防衛周辺の確認対象,72,国策投資→社会インフラ需要,受注・セグメント利益,探索候補
DISASTER_INFRA,9433.T,KDDI,通信,災害時通信・安定配当の守り候補,68,通信強靭化→安定需要,配当・通信料金・成長鈍化,探索候補
DISASTER_INFRA,1802.T,大林組,建設,インフラ復旧・公共投資の確認対象,70,復旧需要→建設受注,受注残・資材費・利益率,探索候補
HEALTHCARE_POLICY,4519.T,中外製薬,医薬品,新薬・海外販売・薬価の確認対象,76,新薬承認→利益成長期待,薬価・パイプライン・PER,探索候補
