rank,ticker,name,channel,role,green_action,yellow_action,stop_rule,profit_rule,required_confirmation
1,8053.T,住友商事,総合候補,商社・資源・還元の総合候補,少額から中心候補として検討。資源価格、円相場、株主還元方針を同時確認。,保守候補。資源価格や商社全体が弱い場合は比率を下げる。,決算で利益見通し悪化、資源価格急落、日経平均/TOPIXより大きく劣後する場合は追加停止。,短期急騰時は一部利益確定を検討し、残りは1年保有テストで検証。,PER/PBR/ROE、セグメント利益、株主還元、同業商社との比較。
2,8316.T,三井住友FG,総合候補,銀行・金利上昇耐性候補,日銀後の金利環境が悪化していなければ中心候補として検討。,金融政策が不明瞭なら小さく扱う。信用コスト増加の兆候を確認。,急な金利低下、信用コスト悪化、銀行株全体の下落が続く場合は追加停止。,銀行株全体が過熱し、短期で指数を大きく上回った場合は一部利益確定候補。,利ざや、与信費用、自己資本、配当方針、日銀政策後の銀行指数反応。
3,6503.T,三菱電機,データセンター・電力・冷却・電線,電力制御・FA・社会インフラ候補,AIインフラ、電力制御、FA需要が崩れていなければ候補継続。,設備投資関連が弱い場合は条件付き。決算確認後に扱う。,受注鈍化、利益率低下、FA関連の需要悪化が出る場合は追加停止。,電力・FAテーマで短期上昇が強い場合は、決算前に一部利確も検討。,受注、営業利益率、FA・社会システムの伸び、同業比較。
4,6857.T,アドバンテスト,半導体製造装置・材料,AI半導体検査装置候補,SOX/NASDAQが崩れず、AI半導体需要が継続する場合のみ候補。,高PER・高ボラを前提に小さく扱う。指数が弱い場合は保留。,米金利急騰、SOX急落、決算後反応悪化、高PER説明不能なら追加停止。,急騰時は利益確定を優先し、1年保有比率を上げすぎない。,PER、受注、検査装置需要、SOXとの連動、決算後1日/5日/20日反応。
5,6146.T,ディスコ,半導体製造装置・材料,切断・研削・先端パッケージ候補,半導体製造の構造需要が強く、株価が過熱しすぎていない場合に候補。,未確認データが残る場合は補欠。高値追いは避ける。,SOX急落、決算後失速、受注・利益率の鈍化が見える場合は追加停止。,高値更新後の急伸は一部利確を検討し、反落耐性を確認。,受注、利益率、PER/PBR/ROE、過去最大下落率、同業装置株との比較。
6,8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置の代表候補,半導体製造装置全体が買われ、米金利・SOXが悪化していなければ候補。,半導体指数が弱い場合は保留寄り。買う場合も分割前提。,SOX/NASDAQが大きく崩れる、受注見通し悪化、決算後反応悪化なら追加停止。,半導体テーマが過熱した場合は比率調整し、指数劣後を監視。,受注、売上見通し、PER、SOX連動、決算後反応。
7,6501.T,日立製作所,データセンター・電力・冷却・電線,電力網・制御・デジタルインフラ候補,電力網、制御、AIインフラ需要が強い場合に中心候補として検討。,株価が過熱している場合は条件付き。決算・受注確認後に扱う。,大型案件の鈍化、利益率低下、指数に対する劣後が続く場合は追加停止。,インフラテーマで短期急伸した場合は一部利確し、残りで検証。,受注、営業利益率、電力・デジタル部門、5年/10年CAGR、最大下落率。
8,5803.T,フジクラ,データセンター・電力・冷却・電線,光通信・電線・データセンター候補,データセンター・光通信需要が継続し、過熱が許容範囲なら候補。,上昇が急すぎる場合は補欠。反落時の下値ルールを優先。,光通信需要の鈍化、急落、決算後反応悪化、過熱指標が強い場合は追加停止。,短期上昇幅が大きい場合は一部利確を優先し、残りを検証。,売上成長、利益率、光通信関連、最大下落率、出来高急増の持続性。
9,7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・防衛・大型インフラ候補,電力・防衛・大型インフラ需要が継続し、直近の弱さが致命的でない場合に候補。,直近調整が続く場合は補欠。反転確認なしの高比率は避ける。,直近下落が継続、決算後反応悪化、テーマ過熱の剥落が見える場合は追加停止。,大型テーマで急騰した場合は一部利益確定し、下落耐性を確認。,受注残、利益率、電力・防衛・冷却関連、直近60日騰落、最大下落率。
10,6762.T,TDK,フィジカルAI,電源・センサー・電子部品候補,AI端末、電源、センサー需要が強く、電子部品市況が悪化していなければ候補。,電子部品市況の確認が弱い場合は条件付き。,電子部品需要悪化、為替逆風、決算後反応悪化なら追加停止。,テーマ上昇後は比率を抑え、1年保有の検証を優先。,受注、在庫、営業利益率、為替感応度、同業電子部品比較。

common_trigger,action
-5%下落,市場全体も下げているか、銘柄固有かを確認。固有悪材料なら追加停止。
-10%下落,購入理由が崩れていないか再判定。崩れていれば損切り候補、崩れていなければ保留・小口確認。
指数比 -3%以上劣後,S&P500、TOPIX、日経平均のどれに劣後したかを記録し、次回配分を下げる候補にする。
決算前,未確認リスクが大きい銘柄は比率を落とす。決算またぎを目的にしない。
決算後,1日、5日、20営業日の反応を記録し、候補継続・保留・除外を再分類する。
短期急騰,急騰の理由が決算・受注・政策で説明できるか確認。説明不能なら一部利益確定候補。
