ticker,name,ev_pct,target_weight_pct,target_yen,expected_contribution_pt,bull_add_pct,bull_add_yen,basis
3099.T,三越伊勢丹HD,33.27,9.0,216000,2.994,2,48000,消費・インバウンド、決算後20日指数差+22.63pt
5333.T,日本ガイシ,16.83,7.0,168000,1.178,0,0,電力・産業部材、決算後20日指数差+22.18pt
6479.T,ミネベアミツミ,27.63,8.0,192000,2.21,2,48000,電子部品・機械、決算後20日指数差+15.27pt
8316.T,三井住友FG,37.23,10.0,240000,3.723,2,48000,銀行・金利、EV上位、銀行枠の中心
1942.T,関電工,40.48,10.0,240000,4.048,2,48000,電力設備・データセンター周辺、EV最上位
8306.T,三菱UFJ FG,34.88,8.0,192000,2.79,2,48000,銀行・金利、EV上位、三井住友FGの補完
8750.T,第一生命HD,28.15,7.0,168000,1.97,0,0,保険・金利、リスク点高いが短期反応は弱め
8630.T,SOMPO HD,30.61,7.0,168000,2.143,0,0,保険・防御、安定補完
8795.T,T&D HD,14.6,5.0,120000,0.73,0,0,保険・金利、20日反応良いがEV低め
8411.T,みずほFG,8.57,4.0,96000,0.343,0,0,銀行・金利、補完枠。比率は抑える
