updated_at,source,date,observation_count,peak_block_demand_mw,min_reserve_rate_pct,max_usage_rate_pct,avg_reserve_rate_pct
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-01,48,84464,10.19,90.76,17.25
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-02,48,69414,13.4,88.18,24.51
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-03,48,68015,8.8,91.91,20.31
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-04,48,71791,11.5,89.69,20.24
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-05,48,65318,13,88.5,27.42
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-06,48,75206,11.65,89.56,24.21
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-07,48,87826,11.11,90,21.76
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-08,48,89340,10.77,90.28,16.24
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-09,48,75081,8.75,91.96,20.26
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-10,48,66382,11.26,89.88,27.54
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-11,48,89407,10.01,90.9,18.76
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-12,48,91187,8.78,91.93,16.62
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-13,48,86053,6.95,93.5,14.61
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-14,48,92638,9.26,91.53,15.39
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-15,48,89681,9.49,91.34,15.82
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-16,48,80864,9.75,91.11,18.38
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-17,48,81208,9.1,91.66,17.09
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-18,48,95772,8.8,91.91,15.56
2026/05/20 00:30,OCCTO 広域予備率CSV,2026-05-19,48,103424,8.52,92.15,18.43
