priority,issue,why,current_status,done,evidence,next_action,owner_note
最重要,質的イベントを単純加点してしまう危険,ニュース、TOB、新商品、戦争、停戦などを点数に直接足すと、実績のない期待だけで高スコアになる。,回収中,イベントは「候補発見」と「確認優先度」に限定し、本体の購入候補スコアへ直接加点しない方針へ変更。,event_score_adjustment.html / dual_axis_selection_model.html / model_integrity_audit.html,イベント仮説ごとに、過去の類似イベント後リターンを確認する表を追加する。,購入判断には未使用。探索入口としてのみ使用。
最重要,仮説データ層と実績データ層の混同,仮説Sと実績Sは意味が違う。足し算すると論理が崩れる。,回収中,質的データ軸と量的データ軸を分け、仮説は「検証対象」、実績は「通過条件」として扱う設計に変更。,264_dual_axis_rating_rules.csv / 265_dual_axis_selection_logic.csv / dual_axis_selection_model.html,画面上でも「仮説」「実績」「量的スコア」を列分けして、総合点に混ぜない表示へ寄せる。,仮説だけで買い候補にしない。
最重要,購入候補と調査候補が混ざって見える,候補と表示されると、買える銘柄と誤認される。,一部回収済み,10社は「検証候補」とし、予備2社は購入候補ではないと明記。6月判定ルールも追加。,candidate_supplement_10_plan.html / supplement_reaction_check.html / candidate_june_rulebook.html,メイン画面の文言も「保有候補」から「検証候補」寄りにさらに整理する。,現段階の購入判断は不可。
高,未取得データを点数に混ぜる危険,PER/PBR/ROEや決算後反応が未取得なのに仮値で埋めると、計算したふりになる。,一部回収済み,未取得は非加点または信頼度低下に回す方針へ変更。予備候補の決算反応は実データで補完開始。,supplement_reaction_check.html / 279_supplement_earnings_reaction_check.csv,全候補で「取得済み/未取得/代替/非加点」を明示する列を追加する。,未取得が多い銘柄は購入候補に進めない。
高,100社母集団の条件が恣意的に見える,意味ある100社を作るには、選定条件を固定しないと後出しに見える。,未完了,暫定母集団と上位20補完再計算までは作成済み。,meaningful_universe_design.html / top20_completion_recalculated_candidates.html,母集団条件を「決算成長、流動性、時価総額、除外条件」で固定し、同じ条件で再生成する。,6月テスト前に優先して整える。
高,業種別補正がまだ弱い,PER/PBR/ROEは業種で意味が違う。銀行と半導体を同じ閾値で比べるのは危険。,未完了,収益型の分類、ストック/フロー/混合の見方は追加済み。,index.html / 285_june_ticker_rulebook.csv,業種別中央値または同業比較を入れ、割高判定を業種内比較にする。,これがないと精密な順位付けは弱い。
高,過去検証・バックテストが不足,スコア上位が本当に指数を上回ったかを確認しないと、モデルの有効性は言えない。,未完了,決算後1日/5日/20日の対日経平均反応を一部取得開始。,top10_earnings_reaction_check.html / supplement_reaction_check.html,過去決算日と株価を結合し、1年保有に近い検証を追加する。,購入判断へ進む前の必須課題。
高,+1%目標との接続が弱い,個別株を選ぶ意味は、S&P500・日経平均・TOPIX等を最低1%上回る見込みを説明できること。,回収中,6月判定ルールに+1%目標の判定式を追加。,candidate_june_rulebook.html / plus1_practical_validation_model_20260525.html,候補ごとにベンチマーク比較欄を追加し、勝てない場合は個別株比率を下げるルールを明文化する。,目的は「買うこと」ではなく、指数を上回る根拠を作ること。
中,イベントと株価の因果を誤解する危険,相関やイベント後リターンは因果ではない。市場全体、金利、為替の影響を分ける必要がある。,未完了,対日経平均超過リターンで市場影響を少し分離し始めた。,236_top10_earnings_reaction_detail.csv / 279_supplement_earnings_reaction_check.csv,日経平均、TOPIX、SOX、金利、為替を同時に見た複合条件へ拡張する。,単純な相関だけでは買い判断にしない。
中,表示上の誤解・旧文言の残存,「購入開始」「候補」などの言葉が強すぎると顧客説明で誤解される。,継続回収,旧表現を複数回削除・修正。6月開始前提と検証候補の扱いへ寄せた。,index.html / daily_progress_report_20260525.html,全ページで「購入候補」「保有候補」の文言を棚卸しし、必要に応じて検証候補へ変更する。,顧客向け表示は継続監査が必要。
