優先,区分,対象,入力先,必須入力,現在,不足,合格条件,赤なら何をするか,完了後
P0-01,6月イベント,E01 2026-06-10 米5月CPI,redecision_event_input_template_20260614.csv,実数 / 市場反応 / 判定入力 / 入力メモ,注意,実数確定,インフレ再加速と米金利急騰が同時に起きず、NASDAQ/SOXが大崩れしない,半導体・高PER・高ボラ候補は買付前ゲートを厳格化,全体ゲートを再判定。赤・未入力が残れば全銘柄0円。
P0-02,6月イベント,E02 2026-06-15〜2026-06-16 日銀会合,redecision_event_input_template_20260614.csv,実数 / 市場反応 / 判定入力 / 入力メモ,未入力,実数確定 / 市場反応 / 判定入力,急な円高ショックと日本株指数の大幅下落が同時に出ない,日本株の予定買付を延期、または比率を下げる,全体ゲートを再判定。赤・未入力が残れば全銘柄0円。
P0-03,6月イベント,E03 2026-06-16〜2026-06-17 FOMC,redecision_event_input_template_20260614.csv,実数 / 市場反応 / 判定入力 / 入力メモ,未入力,実数確定 / 市場反応 / 判定入力,米長期金利が急騰せず、ハイテク株のリスク許容度が崩れない,半導体・高PER・高ボラ候補を延期,全体ゲートを再判定。赤・未入力が残れば全銘柄0円。
P0-04,6月イベント,E04 2026-06-18以降 最終購入前確認,redecision_event_input_template_20260614.csv,実数 / 市場反応 / 判定入力 / 入力メモ,未入力,実数確定 / 市場反応 / 判定入力,停止条件なし、未確認データを点数に混ぜない、本人操作とNISA口座区分を確認,監視継続または初回除外,全体ゲートを再判定。赤・未入力が残れば全銘柄0円。
P0-05,本人別NISA口座,口座1,redecision_account_input_template_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名義、本人スマホ、本人ログイン、NISA口座区分、二段階認証、NISA残枠を確認,該当本人分は買付不可。注文票へ反映しない。,本人別注文票の作成可否を再判定。
P0-06,本人別NISA口座,口座2,redecision_account_input_template_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名義、本人スマホ、本人ログイン、NISA口座区分、二段階認証、NISA残枠を確認,該当本人分は買付不可。注文票へ反映しない。,本人別注文票の作成可否を再判定。
P0-07,本人別NISA口座,口座3,redecision_account_input_template_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名義、本人スマホ、本人ログイン、NISA口座区分、二段階認証、NISA残枠を確認,該当本人分は買付不可。注文票へ反映しない。,本人別注文票の作成可否を再判定。
P0-08,本人別NISA口座,口座4,redecision_account_input_template_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名義、本人スマホ、本人ログイン、NISA口座区分、二段階認証、NISA残枠を確認,該当本人分は買付不可。注文票へ反映しない。,本人別注文票の作成可否を再判定。
P0-09,本人別NISA口座,口座5,redecision_account_input_template_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名義、本人スマホ、本人ログイン、NISA口座区分、二段階認証、NISA残枠を確認,該当本人分は買付不可。注文票へ反映しない。,本人別注文票の作成可否を再判定。
P0-10,本人別NISA口座,口座6,redecision_account_input_template_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名義、本人スマホ、本人ログイン、NISA口座区分、二段階認証、NISA残枠を確認,該当本人分は買付不可。注文票へ反映しない。,本人別注文票の作成可否を再判定。
P0-11,本人別NISA口座,口座7,redecision_account_input_template_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名義、本人スマホ、本人ログイン、NISA口座区分、二段階認証、NISA残枠を確認,該当本人分は買付不可。注文票へ反映しない。,本人別注文票の作成可否を再判定。
P0-12,本人別NISA口座,口座8,redecision_account_input_template_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名義、本人スマホ、本人ログイン、NISA口座区分、二段階認証、NISA残枠を確認,該当本人分は買付不可。注文票へ反映しない。,本人別注文票の作成可否を再判定。
P0-13,本人別NISA口座,口座9,redecision_account_input_template_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名義、本人スマホ、本人ログイン、NISA口座区分、二段階認証、NISA残枠を確認,該当本人分は買付不可。注文票へ反映しない。,本人別注文票の作成可否を再判定。
P0-14,本人別NISA口座,口座10,redecision_account_input_template_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,未確認,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名義、本人スマホ、本人ログイン、NISA口座区分、二段階認証、NISA残枠を確認,該当本人分は買付不可。注文票へ反映しない。,本人別注文票の作成可否を再判定。
