課題,以前の状態,今回の改善,現在の状態,次に必要な入力
決算後反応,10社すべて20営業日反応まで接続済み,買付判断ではなく、銘柄別停止理由・反応弱い判定へ接続,改善済み,新しい決算後は1/5/20営業日で更新
財務データpartial,一部銘柄でPER/PBR/ROE・受注・利益率が未確認,partial銘柄は比率引上げ禁止、公式財務入力欄と再判定ゲートへ接続,入力待ち,公式IR・決算短信・資料日付・参照元
銘柄別リスク,最大下落・ボラ・停止条件はあるが粗い,銘柄別の下値1/下値2/上値/ストップ安対応/初回上限をCSV化,実装済み,買付後は実際の取得単価を入れて運用
税制・口座,NISA・本人操作チェックはあるが、実口座と未連動,本人別の税制・口座・残枠入力テンプレートを作成。未入力なら0円,入力待ち,本人名義スマホ、銀行、二段階認証、NISA残枠
S&P500/TOPIX +1%目標,目標と買付比率・撤退条件の接続が弱い,緑35%、黄15%、橙/赤0%と、2週/4週/8週の縮小条件を明文化,実装済み,イベント後の候補バスケット対指数差
質的テーマ検証,テーマ整理はあるが、過去イベント検証が不足,仮説データ層と実績データ層を分け、証拠2種類未満は購入スコア加点禁止,監視・入力待ち,受注、売上寄与、指数超過、イベント後反応
ストップ安・急落対策,ルール化途中,当日買い増し禁止、翌営業日再判定、銘柄別下落率ルールを追加,実装済み,実際の保有単価と当日材料
税制レイヤー,確認補助で、保有ロット・年間損益・残枠と未連動,口座・税制入力テンプレートでロット、年間損益、残枠を受ける入口を追加,入力待ち,実際の保有ロット、年間損益、NISA残枠
実用画面の複雑さ,画面が増え、導線が複雑,毎日見る項目だけの実用日次ボードを作成,実装済み,実データ更新
期待リターンの扱い,期待リターンは検証用の仮説として扱う必要がある,仮説と検証済みデータを分け、未検証テーマは購入スコアへ加点禁止,実装済み,イベント後リターンと指数比較
100社母集団,条件はあるが完全固定には余地,80〜120社許容、最低データ、除外・監視条件を固定ルールとして再整理,改善済み,候補追加時に同じ条件で監査
