作成時刻,入力ID,ticker,銘柄またはテーマ,入力項目,転記候補値,単位,対象期間,根拠資料,資料日付,URL,根拠行,計算式,状態,反映可否,反映先,注意
2026/6/16 3:10:48,HQ-01-6503.T-PER,6503.T,三菱電機,PER,予想PER 25.36倍 / 実績PER 29.54倍,倍,株価基準 2026-06-15 15:30 JST / EPS 2026年3月期・2027年3月期予想,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版 / PER・PBR計算ログ,2026-06-11 / 株価 2026-06-15,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,"PDF p1 L63-L78, L115-L122 / p1_per_pbr_calculation_apply_audit_20260615.csv","予想PER=5,858÷231.01=25.36 / 実績PER=5,858÷198.31=29.54",転記候補,検算後に財務入力へ反映候補,P1財務入力,公式PERそのものではなく、公式EPSと同一基準日の株価から計算した値。
2026/6/16 3:10:48,HQ-02-6503.T-PBR,6503.T,三菱電機,PBR,PBR 2.67倍,倍,株価基準 2026-06-15 15:30 JST / BPS 2026年3月期末,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版 / PER・PBR計算ログ,2026-06-11 / 株価 2026-06-15,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,PDF p1 L80-L90 / p1_per_pbr_calculation_apply_audit_20260615.csv,"PBR=5,858÷2,191.26=2.67",転記候補,検算後に財務入力へ反映候補,P1財務入力,公式BPSと同一基準日の株価から計算した値。
2026/6/16 3:10:48,HQ-03-6503.T-ROE,6503.T,三菱電機,ROE,9.7,%,2026年3月期,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,PDF p1 L69-L78,会社公表値を使用,転記候補,検算後に財務入力へ反映候補,P1財務入力,収益性確認に使用できる候補値。
2026/6/16 3:10:48,HQ-04-6503.T-MARGIN,6503.T,三菱電機,営業利益率,7.3,%,2026年3月期,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,PDF p1 L69-L78,会社公表値を使用,転記候補,検算後に財務入力へ反映候補,P1財務入力,利益率確認に使用できる候補値。
2026/6/16 3:10:48,HQ-05-6503.T-FORECAST,6503.T,三菱電機,今期会社予想,"売上高予想 6,200,000百万円（+5.2%） / EPS予想 231.01円",百万円・円,2027年3月期予想,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,PDF p1 L115-L122,会社予想値を使用,転記候補,検算後に財務入力へ反映候補,P1財務入力,1年保有の先行き確認に使う候補値。
2026/6/16 3:10:48,HQ-06-6503.T-YOY,6503.T,三菱電機,前期比増減,売上 +6.8% / 営業利益 +10.5% / 親会社株主帰属当期純利益 +25.8%,%,2026年3月期,2026年3月期 決算短信〔IFRS〕（連結）一部訂正版,2026-06-11 / 原決算発表 2026-04-28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,PDF p1 L55-L62,会社公表の前期比を使用,転記候補,検算後に財務入力へ反映候補,P1財務入力,成長確認に使う候補値。
2026/6/16 3:10:48,HQ-07-6503.T-SEGMENT,6503.T,三菱電機,受注またはセグメント寄与,未接続,,,未接続,,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf,未接続,未設定,未接続,反映禁止,なし,FA・電力制御等の事業寄与を、全社売上・利益または受注に接続する資料がまだ必要。
2026/6/16 3:10:48,HQ-08-6762.T-PER,6762.T,TDK,PER,未接続（公式EPS 103.09円 / 予想EPS 118.54円は確認済み）,,FY March 2026 / FY March 2027 forecast,Consolidated Financial Results for FY March 2026,2026-04-28,https://www.tdk.com/system/files/2026042800_0mqf56xw_en.pdf,"PDF p1 L65-L71, p2 L142-L154",同一基準日の株価が未接続のためPER計算は保留,未接続,反映禁止,なし,古いスクリーニング値は流用しない。同一基準日の株価を接続してから計算する。
2026/6/16 3:10:48,HQ-09-6762.T-PBR,6762.T,TDK,PBR,"未接続（公式BPS 1,152.30円は確認済み）",,FY March 2026 year-end,Consolidated Financial Results for FY March 2026,2026-04-28,https://www.tdk.com/system/files/2026042800_0mqf56xw_en.pdf,PDF p2 L86-L99,同一基準日の株価が未接続のためPBR計算は保留,未接続,反映禁止,なし,古いスクリーニング値は流用しない。同一基準日の株価を接続してから計算する。
2026/6/16 3:10:48,HQ-10-6762.T-ROE,6762.T,TDK,ROE,9.8,%,FY March 2026,Consolidated Financial Results for FY March 2026,2026-04-28,https://www.tdk.com/system/files/2026042800_0mqf56xw_en.pdf,PDF p1 L72-L80,会社公表値を使用,転記候補,検算後に財務入力へ反映候補,P1財務入力,収益性確認に使用できる候補値。
